date,cum_return_xgboost,cum_return_random_forest,cum_return_lstm,cum_return_equal_weight,cum_return_hrp,cum_return_market_cap,cum_return_markowitz,cum_return_markowitz_unc
1998-01-02,0.011014,0.012054,0.009850,0.008551,0.007250,0.008959,0.009629,0.009387
1998-01-05,0.018277,0.020723,0.017677,0.013743,0.010818,0.014869,0.018216,0.019755
1998-01-06,0.009925,0.011828,0.005800,0.004472,0.001521,0.005024,0.008102,0.009583
1998-01-07,0.001152,0.003605,0.000635,0.001313,0.001007,0.003212,0.002487,0.003415
1998-01-08,-0.002609,0.000012,-0.002602,-0.003278,-0.005125,-0.000475,-0.002798,-0.002691
1998-01-09,-0.034969,-0.033220,-0.034314,-0.032611,-0.033834,-0.030104,-0.034557,-0.034633
1998-01-12,-0.015133,-0.012786,-0.016840,-0.013346,-0.016424,-0.008411,-0.016004,-0.015373
1998-01-13,-0.003811,-0.001598,-0.005105,-0.004599,-0.009019,-0.000553,-0.005112,-0.004076
1998-01-14,-0.000983,0.001112,-0.000598,-0.001133,-0.006334,0.001529,-0.003789,-0.003259
1998-01-15,-0.004901,-0.002998,-0.006295,-0.008366,-0.014797,-0.006467,-0.011887,-0.012589
1998-01-16,0.005177,0.006683,0.003604,0.002371,-0.003740,0.005084,-0.001050,-0.002101
1998-01-20,0.030641,0.033344,0.031168,0.028568,0.021169,0.030606,0.023038,0.021930
1998-01-21,0.017119,0.019116,0.015596,0.016874,0.011010,0.019715,0.011678,0.011276
1998-01-22,0.009874,0.011974,0.005270,0.009504,0.005054,0.012684,0.004401,0.003619
1998-01-23,0.007759,0.009648,0.002930,0.005368,0.000906,0.007409,-0.002318,-0.004451
1998-01-26,0.006170,0.007852,-0.000731,0.004871,0.001912,0.009018,-0.001833,-0.004125
1998-01-27,0.024382,0.026457,0.015629,0.021263,0.017390,0.023764,0.015830,0.014415
1998-01-28,0.041341,0.043527,0.032026,0.033081,0.025500,0.034909,0.027371,0.025801
1998-01-29,0.050890,0.053041,0.041877,0.040823,0.032616,0.042405,0.035136,0.033859
1998-01-30,0.044666,0.047385,0.034967,0.036320,0.028171,0.038486,0.032171,0.031603
1998-02-02,0.069562,0.071102,0.055843,0.057171,0.048163,0.060350,0.056167,0.055999
1998-02-03,0.071155,0.073140,0.055849,0.059114,0.049292,0.063856,0.059949,0.058953
1998-02-04,0.073617,0.075643,0.059828,0.059107,0.047681,0.063521,0.058857,0.057078
1998-02-05,0.064870,0.067195,0.053976,0.052271,0.041769,0.057557,0.051680,0.049554
1998-02-06,0.072495,0.075432,0.060614,0.060083,0.048764,0.065717,0.059758,0.057899
1998-02-09,0.062654,0.066254,0.052007,0.053712,0.044347,0.060003,0.052101,0.049597
1998-02-10,0.074675,0.079976,0.062846,0.064920,0.054841,0.071613,0.063568,0.060540
1998-02-11,0.077136,0.082050,0.067268,0.069024,0.060138,0.076132,0.069969,0.067774
1998-02-12,0.078984,0.085675,0.073600,0.073843,0.064992,0.080486,0.072811,0.069556
1998-02-13,0.072176,0.079032,0.068823,0.069086,0.061266,0.074976,0.065599,0.061636
1998-02-17,0.071133,0.078885,0.068992,0.069120,0.060202,0.074034,0.062329,0.058371
1998-02-18,0.079950,0.089034,0.078986,0.080532,0.071163,0.086807,0.070876,0.065556
1998-02-19,0.079697,0.088447,0.079384,0.076496,0.065051,0.083378,0.068979,0.063694
1998-02-20,0.088503,0.097434,0.087166,0.084544,0.072941,0.091918,0.078447,0.073379
1998-02-23,0.105349,0.113340,0.097434,0.096610,0.081494,0.105397,0.091299,0.085507
1998-02-24,0.096129,0.103597,0.089005,0.088678,0.074171,0.097969,0.081588,0.074775
1998-02-25,0.114577,0.122054,0.107018,0.102714,0.085882,0.111217,0.098987,0.092185
1998-02-26,0.113426,0.121366,0.105495,0.102988,0.086972,0.111562,0.100828,0.093986
1998-02-27,0.107053,0.113708,0.098904,0.100591,0.087068,0.109571,0.095930,0.089400
1998-03-02,0.097669,0.104158,0.091536,0.093855,0.081419,0.100524,0.084602,0.076885
1998-03-03,0.097064,0.104307,0.093719,0.097303,0.086434,0.104337,0.086643,0.078648
1998-03-04,0.086070,0.093647,0.083871,0.085711,0.074338,0.092728,0.073498,0.065299
1998-03-05,0.061244,0.068981,0.061730,0.070800,0.063680,0.076924,0.060397,0.054182
1998-03-06,0.086028,0.093669,0.084993,0.094598,0.086176,0.100286,0.081683,0.075422
1998-03-09,0.073676,0.083112,0.080026,0.093416,0.090406,0.098737,0.073205,0.065543
1998-03-10,0.088875,0.097021,0.091176,0.104328,0.100341,0.110165,0.086928,0.079960
1998-03-11,0.095820,0.103472,0.098178,0.109551,0.104951,0.113649,0.092577,0.085979
1998-03-12,0.103480,0.111105,0.110955,0.114766,0.109067,0.116243,0.095584,0.088649
1998-03-13,0.104662,0.112096,0.112221,0.114115,0.107862,0.114173,0.095357,0.087741
1998-03-16,0.115312,0.123183,0.124999,0.126466,0.121268,0.125248,0.107672,0.100161
1998-03-17,0.111962,0.121648,0.123942,0.126404,0.121601,0.124670,0.106190,0.099105
1998-03-18,0.111374,0.119835,0.118083,0.126726,0.123210,0.128762,0.109055,0.101696
