label,dotcom_sharpe,dotcom_sortino,dotcom_ulcer,dotcom_max_dd,dotcom_cum_ret,dotcom_calmar,gfc_sharpe,gfc_sortino,gfc_ulcer,gfc_max_dd,gfc_cum_ret,gfc_calmar,mon_pol_sharpe,mon_pol_sortino,mon_pol_ulcer,mon_pol_max_dd,mon_pol_cum_ret,mon_pol_calmar,covid19_sharpe,covid19_sortino,covid19_ulcer,covid19_max_dd,covid19_cum_ret,covid19_calmar,russia_sharpe,russia_sortino,russia_ulcer,russia_max_dd,russia_cum_ret,russia_calmar,trade_sharpe,trade_sortino,trade_ulcer,trade_max_dd,trade_cum_ret,trade_calmar,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
hrp,1.606394,1.593405,-1.472749,1.732587,1.635174,1.809107,0.143285,0.100518,-0.203590,-0.297844,-0.007448,0.044774,0.102435,0.127302,-1.478176,2.020725,0.039749,0.095370,-1.055486,-1.048130,0.009455,0.383542,-1.058075,-0.946711,-0.246114,-0.311582,-1.920886,1.921824,-0.628797,-0.353090,-1.608230,-1.635962,-1.874038,1.886413,-1.343294,-1.585129,,,,,,,,
market_cap,-0.140309,-0.137953,0.027421,0.022813,-0.157882,-0.238205,-0.444378,-0.441298,0.247578,0.421506,-0.428240,-0.435746,-0.014018,0.015983,0.991137,-1.200660,0.027651,-0.037565,0.849659,0.849886,-0.609006,0.707348,0.843458,0.754179,-0.965054,-0.961071,0.557294,-0.339700,-0.871760,-0.945885,0.643070,0.646833,0.417163,-0.797590,0.659944,0.648583,,,,,,,,
markowitz,-0.062426,-0.053966,0.406157,-0.425600,-0.070984,-0.131944,0.494904,0.448943,-1.054196,1.819156,0.185758,0.374584,-0.743414,-0.668333,0.914338,-0.638401,-0.680490,-0.711630,0.274927,0.266877,-0.603882,0.214631,0.250878,0.164423,-1.818633,-1.763827,0.374515,0.429320,-1.583952,-1.744017,1.230196,1.214651,-0.263146,-0.070472,1.311919,1.245316,,,,,,,,
markowitz_unc,-1.678800,-1.683625,1.790018,-1.320134,-1.565597,-1.433520,2.161121,2.197777,0.088765,-0.424441,2.337532,2.250555,-2.044017,-2.103973,1.389926,-0.379407,-2.067182,-2.044813,1.987450,1.990872,-1.792339,1.682506,1.997260,2.093567,0.340768,0.364392,1.337657,-1.081540,0.579363,0.434114,-0.102290,-0.096274,0.885162,-1.089735,-0.381498,-0.175586,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== BORDA SCORES ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borda_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.333333,14.500000,24.666667,24.333333,23.500000,18.500000,23.166667,18.000000
borda_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.557954,8.404147,28.127464,27.123215,32.545037,16.604351,24.856220,14.781611
borda_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.844862,10.440156,25.872129,24.140233,25.973768,18.800626,25.291978,19.636247
borda_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.859522,12.901103,23.873826,23.053894,21.710455,20.474127,24.740831,21.386242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== FINAL RANKINGS (1=best) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rank_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.000000,8.000000,1.000000,2.000000,3.000000,6.000000,4.000000,7.000000
rank_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,8.000000,2.000000,3.000000,1.000000,5.000000,4.000000,7.000000
rank_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.000000,8.000000,2.000000,4.000000,1.000000,6.000000,3.000000,5.000000
rank_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.000000,8.000000,2.000000,3.000000,4.000000,6.000000,1.000000,5.000000
