date,cum_return_xgboost,cum_return_random_forest,cum_return_lstm,cum_return_equal_weight,cum_return_hrp,cum_return_market_cap,cum_return_markowitz,cum_return_markowitz_unc
1998-01-02,0.012689,0.012604,0.009777,0.008551,0.007250,0.008959,0.009629,0.009387
1998-01-05,0.018362,0.019505,0.016683,0.013743,0.010818,0.014869,0.018216,0.019755
1998-01-06,0.009404,0.008704,0.004731,0.004472,0.001521,0.005024,0.008102,0.009583
1998-01-07,0.002429,0.002401,0.001303,0.001313,0.001007,0.003212,0.002487,0.003415
1998-01-08,-0.002926,0.000042,-0.000793,-0.003278,-0.005125,-0.000475,-0.002798,-0.002691
1998-01-09,-0.033571,-0.031915,-0.030776,-0.032611,-0.033834,-0.030104,-0.034557,-0.034633
1998-01-12,-0.012117,-0.010278,-0.011175,-0.013346,-0.016424,-0.008411,-0.016004,-0.015373
1998-01-13,-0.001404,0.001883,-0.000237,-0.004599,-0.009019,-0.000553,-0.005112,-0.004076
1998-01-14,0.000763,0.005353,0.004735,-0.001133,-0.006334,0.001529,-0.003789,-0.003259
1998-01-15,-0.003171,0.000448,-0.001256,-0.008366,-0.014797,-0.006467,-0.011887,-0.012589
1998-01-16,0.005770,0.011428,0.012491,0.002371,-0.003740,0.005084,-0.001050,-0.002101
1998-01-20,0.028103,0.036599,0.040292,0.028568,0.021169,0.030606,0.023038,0.021930
1998-01-21,0.017400,0.023574,0.023575,0.016874,0.011010,0.019715,0.011678,0.011276
1998-01-22,0.009492,0.015399,0.016515,0.009504,0.005054,0.012684,0.004401,0.003619
1998-01-23,0.005478,0.011714,0.012717,0.005368,0.000906,0.007409,-0.002318,-0.004451
1998-01-26,0.005433,0.011900,0.013289,0.004871,0.001912,0.009018,-0.001833,-0.004125
1998-01-27,0.024383,0.029121,0.026704,0.021263,0.017390,0.023764,0.015830,0.014415
1998-01-28,0.037048,0.044713,0.040412,0.033081,0.025500,0.034909,0.027371,0.025801
1998-01-29,0.046563,0.054731,0.050793,0.040823,0.032616,0.042405,0.035136,0.033859
1998-01-30,0.039589,0.048570,0.046418,0.036320,0.028171,0.038486,0.032171,0.031603
1998-02-02,0.063056,0.072323,0.068767,0.057366,0.048194,0.060503,0.054609,0.053599
1998-02-03,0.065853,0.075673,0.072613,0.059365,0.049319,0.064037,0.054535,0.051188
1998-02-04,0.066804,0.077464,0.075054,0.059129,0.047629,0.063688,0.052774,0.048172
1998-02-05,0.060866,0.071716,0.067819,0.052571,0.041994,0.057766,0.042920,0.037437
1998-02-06,0.067508,0.079071,0.077797,0.060036,0.048808,0.065850,0.051351,0.047498
