date,cum_log_return_xgboost,cum_log_return_random_forest,cum_log_return_lstm,cum_log_return_equal_weight,cum_log_return_hrp,cum_log_return_market_cap,cum_log_return_markowitz,cum_log_return_markowitz_unc
1998-01-02,0.012610,0.012526,0.009730,0.008515,0.007224,0.008919,0.009583,0.009344
1998-01-05,0.018196,0.019317,0.016546,0.013650,0.010760,0.014759,0.018052,0.019562
1998-01-06,0.009360,0.008666,0.004720,0.004462,0.001520,0.005011,0.008069,0.009537
1998-01-07,0.002426,0.002398,0.001303,0.001312,0.001006,0.003207,0.002484,0.003409
1998-01-08,-0.002931,0.000042,-0.000792,-0.003283,-0.005138,-0.000475,-0.002802,-0.002695
1998-01-09,-0.034147,-0.032435,-0.031258,-0.033154,-0.034420,-0.030567,-0.035168,-0.035247
1998-01-12,-0.012191,-0.010331,-0.011236,-0.013436,-0.016561,-0.008447,-0.016134,-0.015493
1998-01-13,-0.001405,0.001881,-0.000235,-0.004609,-0.009060,-0.000554,-0.005125,-0.004085
1998-01-14,0.000763,0.005339,0.004726,-0.001134,-0.006354,0.001528,-0.003796,-0.003265
1998-01-15,-0.003176,0.000448,-0.001254,-0.008401,-0.014908,-0.006488,-0.011958,-0.012669
1998-01-16,0.005754,0.011363,0.012417,0.002368,-0.003747,0.005071,-0.001051,-0.002103
1998-01-20,0.027716,0.035945,0.039504,0.028168,0.020948,0.030147,0.022777,0.021693
1998-01-21,0.017250,0.023301,0.023304,0.016733,0.010950,0.019523,0.011611,0.011213
1998-01-22,0.009447,0.015282,0.016383,0.009460,0.005041,0.012604,0.004392,0.003612
1998-01-23,0.005463,0.011646,0.012640,0.005354,0.000906,0.007382,-0.002320,-0.004461
1998-01-26,0.005418,0.011830,0.013205,0.004860,0.001910,0.008977,-0.001835,-0.004134
1998-01-27,0.024091,0.028705,0.026356,0.021040,0.017241,0.023486,0.015706,0.014312
1998-01-28,0.036378,0.043743,0.039619,0.032545,0.025180,0.034314,0.027003,0.025474
1998-01-29,0.045511,0.053286,0.049547,0.040012,0.032096,0.041531,0.034533,0.033299
1998-01-30,0.038825,0.047427,0.045375,0.035676,0.027781,0.037764,0.031664,0.031114
1998-02-02,0.061148,0.069827,0.066508,0.055781,0.047068,0.058743,0.053170,0.052212
1998-02-03,0.063776,0.072946,0.070100,0.057669,0.048141,0.062070,0.053100,0.049921
1998-02-04,0.064667,0.074610,0.072373,0.057447,0.046529,0.061742,0.051428,0.047047
1998-02-05,0.059085,0.069261,0.065621,0.051236,0.041136,0.056159,0.042024,0.036754
1998-02-06,0.065327,0.076100,0.074922,0.058302,0.047654,0.063773,0.050076,0.046404
1998-02-09,0.056686,0.068004,0.066582,0.052479,0.043539,0.058410,0.042695,0.038625
1998-02-10,0.066416,0.077722,0.077575,0.062992,0.053353,0.069294,0.054677,0.051195
1998-02-11,0.072599,0.083234,0.081518,0.067192,0.058682,0.073530,0.059135,0.055578
1998-02-12,0.074198,0.086578,0.085164,0.071827,0.063216,0.077587,0.060655,0.056236
1998-02-13,0.068447,0.081343,0.080299,0.067445,0.059841,0.072454,0.054449,0.049155
1998-02-17,0.065361,0.078055,0.077971,0.067240,0.058619,0.071527,0.051848,0.046744
1998-02-18,0.073517,0.086641,0.088312,0.077590,0.068822,0.083240,0.058988,0.052829
1998-02-19,0.072176,0.086151,0.087638,0.073567,0.062992,0.080050,0.054829,0.048544
1998-02-20,0.080891,0.094660,0.095859,0.081039,0.070338,0.087874,0.063023,0.056103
1998-02-23,0.090317,0.104097,0.106794,0.091484,0.077600,0.100169,0.076993,0.071163
1998-02-24,0.082174,0.096824,0.098115,0.084445,0.070912,0.093541,0.067946,0.061036
1998-02-25,0.096603,0.112551,0.113303,0.097236,0.081648,0.105573,0.082491,0.076329
1998-02-26,0.095861,0.112199,0.113549,0.097615,0.082704,0.105914,0.084722,0.079585
1998-02-27,0.092665,0.108279,0.108670,0.095655,0.083043,0.104143,0.080953,0.075556
1998-03-02,0.085859,0.102458,0.103116,0.089891,0.078232,0.096204,0.073068,0.065845
1998-03-03,0.085796,0.102265,0.106778,0.093191,0.082891,0.099810,0.075280,0.069154
