date,da_xgboost,da_random_forest
1998-01-02,0.700000,0.700000
1998-02-02,0.750000,0.750000
1998-03-02,0.800000,0.800000
1998-04-01,0.500000,0.450000
1998-05-01,0.450000,0.400000
1998-06-01,0.550000,0.700000
1998-07-01,0.400000,0.550000
1998-08-03,0.350000,0.050000
1998-09-01,0.550000,0.550000
1998-10-01,0.850000,1.000000
1998-11-02,0.850000,0.850000
1998-12-01,0.550000,0.700000
1999-01-04,0.800000,0.800000
1999-02-01,0.500000,0.450000
1999-03-01,0.700000,0.650000
1999-04-01,0.550000,0.500000
1999-05-03,0.150000,0.250000
1999-06-01,0.650000,0.750000
1999-07-01,0.350000,0.350000
1999-08-02,0.500000,0.700000
1999-09-01,0.350000,0.400000
1999-10-01,0.800000,0.800000
1999-11-01,0.500000,0.400000
1999-12-01,0.500000,0.600000
2000-01-03,0.550000,0.600000
2000-02-01,0.300000,0.400000
2000-03-01,0.750000,0.600000
2000-04-03,0.350000,0.450000
2000-05-01,0.400000,0.350000
2000-06-01,0.750000,0.650000
2000-07-03,0.600000,0.550000
2000-08-01,0.400000,0.400000
2000-09-01,0.600000,0.700000
2000-10-02,0.500000,0.450000
2000-11-01,0.500000,0.450000
2000-12-01,0.350000,0.500000
2001-01-02,0.600000,0.650000
2001-02-01,0.250000,0.400000
2001-03-01,0.300000,0.250000
2001-04-02,0.700000,0.600000
2001-05-01,0.400000,0.350000
2001-06-01,0.550000,0.550000
2001-07-02,0.550000,0.550000
2001-08-01,0.400000,0.200000
2001-09-04,0.400000,0.400000
2001-10-01,0.700000,0.700000
2001-11-01,0.600000,0.650000
2001-12-03,0.600000,0.600000
2002-01-02,0.300000,0.300000
2002-02-01,0.650000,0.600000
2002-03-01,0.400000,0.450000
2002-04-01,0.150000,0.150000
2002-05-01,0.450000,0.300000
2002-06-03,0.400000,0.450000
2002-07-01,0.300000,0.300000
2002-08-01,0.750000,0.750000
2002-09-03,0.200000,0.150000
2002-10-01,0.750000,0.750000
2002-11-01,0.600000,0.600000
2002-12-02,0.200000,0.350000
2003-01-02,0.150000,0.050000
2003-02-03,0.300000,0.200000
2003-03-03,0.750000,0.800000
2003-04-01,0.850000,0.850000
2003-05-01,0.650000,0.550000
2003-06-02,0.600000,0.500000
2003-07-01,0.350000,0.400000
2003-08-01,0.550000,0.550000
2003-09-02,0.450000,0.400000
2003-10-01,0.500000,0.650000
2003-11-03,0.300000,0.250000
2003-12-01,0.850000,0.750000
2004-01-02,0.750000,0.800000
2004-02-02,0.650000,0.650000
2004-03-01,0.250000,0.250000
2004-04-01,0.500000,0.550000
2004-05-03,0.600000,0.600000
2004-06-01,0.500000,0.500000
2004-07-01,0.400000,0.400000
2004-08-02,0.650000,0.650000
2004-09-01,0.450000,0.450000
2004-10-01,0.550000,0.550000
2004-11-01,0.700000,0.700000
2004-12-01,0.650000,0.650000
2005-01-03,0.250000,0.250000
2005-02-01,0.500000,0.500000
2005-03-01,0.150000,0.150000
2005-04-01,0.600000,0.600000
2005-05-02,0.800000,0.700000
2005-06-01,0.250000,0.300000
2005-07-01,0.750000,0.750000
2005-08-01,0.300000,0.300000
2005-09-01,0.550000,0.500000
2005-10-03,0.550000,0.600000
2005-11-01,0.950000,0.950000
2005-12-01,0.250000,0.250000
2006-01-03,0.350000,0.350000
2006-02-01,0.600000,0.600000
2006-03-01,0.600000,0.500000
2006-04-03,0.550000,0.550000
2006-05-01,0.250000,0.250000
2006-06-01,0.300000,0.250000
2006-07-03,0.650000,0.650000
2006-08-01,0.800000,0.850000
2006-09-01,0.900000,0.900000
2006-10-02,0.850000,0.850000
2006-11-01,0.600000,0.600000
2006-12-01,0.750000,0.700000
2007-01-03,0.578947,0.473684
2007-02-01,0.105263,0.368421
2007-03-01,0.631579,0.473684
2007-04-02,0.894737,0.894737
2007-05-01,0.789474,0.684211
2007-06-01,0.210526,0.315789
2007-07-02,0.368421,0.368421
2007-08-01,0.736842,0.736842
2007-09-04,0.684211,0.526316
2007-10-01,0.421053,0.421053
2007-11-01,0.473684,0.473684
2007-12-03,0.473684,0.421053
2008-01-02,0.263158,0.263158
2008-02-01,0.263158,0.210526
2008-03-03,0.578947,0.631579
2008-04-01,0.631579,0.631579
2008-05-01,0.315789,0.263158
2008-06-02,0.105263,0.105263
2008-07-01,0.631579,0.631579
2008-08-01,0.684211,0.684211
2008-09-02,0.300000,0.300000
2008-10-01,0.050000,0.050000
2008-11-03,0.250000,0.250000
2008-12-01,0.900000,0.900000
2009-01-02,0.157895,0.105263
2009-02-02,0.052632,0.105263
2009-03-02,0.947368,1.000000
2009-04-01,0.578947,0.578947
2009-05-01,0.842105,0.789474
2009-06-01,0.368421,0.421053
2009-07-01,0.947368,0.894737
2009-08-03,0.578947,0.526316
2009-09-01,0.789474,0.842105
2009-10-01,0.736842,0.789474
2009-11-02,0.947368,0.842105
2009-12-01,0.473684,0.421053
2010-01-04,0.150000,0.150000
2010-02-01,0.500000,0.550000
2010-03-01,0.850000,0.850000
2010-04-01,0.600000,0.500000
2010-05-03,0.000000,0.000000
2010-06-01,0.150000,0.150000
2010-07-01,0.950000,0.950000
2010-08-02,0.150000,0.150000
2010-09-01,0.950000,0.950000
2010-10-01,0.850000,0.850000
2010-11-01,0.300000,0.300000
2010-12-01,0.850000,0.850000
2011-01-03,0.600000,0.600000
2011-02-01,0.550000,0.650000
2011-03-01,0.450000,0.450000
2011-04-01,0.750000,0.750000
2011-05-02,0.300000,0.300000
2011-06-01,0.550000,0.550000
2011-07-01,0.300000,0.200000
2011-08-01,0.300000,0.250000
2011-09-01,0.250000,0.250000
2011-10-03,1.000000,1.000000
2011-11-01,0.650000,0.650000
2011-12-01,0.700000,0.700000
2012-01-03,0.578947,0.578947
2012-02-01,0.789474,0.789474
2012-03-01,0.789474,0.736842
2012-04-02,0.400000,0.300000
2012-05-01,0.100000,0.150000
2012-06-01,0.950000,0.950000
2012-07-02,0.900000,0.900000
2012-08-01,0.550000,0.500000
2012-09-04,0.750000,0.800000
2012-10-01,0.200000,0.300000
2012-11-01,0.350000,0.350000
2012-12-03,0.450000,0.550000
2013-01-02,0.700000,0.650000
2013-02-01,0.700000,0.700000
2013-03-01,0.750000,0.800000
2013-04-01,0.750000,0.800000
2013-05-01,0.600000,0.650000
2013-06-03,0.300000,0.300000
2013-07-01,0.800000,0.800000
2013-08-01,0.100000,0.100000
2013-09-03,0.700000,0.750000
2013-10-01,0.850000,0.850000
2013-11-01,0.800000,0.850000
2013-12-02,0.550000,0.650000
2014-01-02,0.250000,0.200000
2014-02-03,0.950000,0.950000
2014-03-03,0.800000,0.850000
2014-04-01,0.550000,0.550000
2014-05-01,0.500000,0.500000
2014-06-02,0.550000,0.550000
2014-07-01,0.300000,0.300000
2014-08-01,0.900000,0.950000
2014-09-02,0.700000,0.550000
2014-10-01,0.750000,0.800000
2014-11-03,0.700000,0.700000
2014-12-01,0.500000,0.550000
2015-01-02,0.105263,0.105263
2015-02-02,0.789474,0.842105
2015-03-02,0.052632,0.052632
2015-04-01,0.631579,0.684211
2015-05-01,0.526316,0.473684
2015-06-01,0.315789,0.263158
2015-07-01,0.684211,0.684211
2015-08-03,0.052632,0.052632
2015-09-01,0.684211,0.736842
2015-10-01,0.736842,0.894737
2015-11-02,0.368421,0.421053
2015-12-01,0.315789,0.263158
2016-01-04,0.421053,0.421053
2016-02-01,0.421053,0.368421
2016-03-01,0.894737,0.894737
2016-04-01,0.473684,0.526316
2016-05-02,0.631579,0.684211
2016-06-01,0.500000,0.500000
2016-07-01,0.700000,0.700000
2016-08-01,0.650000,0.650000
2016-09-01,0.500000,0.450000
2016-10-03,0.550000,0.550000
2016-11-01,0.600000,0.600000
2016-12-01,0.850000,0.900000
2017-01-03,0.500000,0.550000
2017-02-01,0.750000,0.800000
2017-03-01,0.400000,0.400000
2017-04-03,0.350000,0.350000
2017-05-01,0.600000,0.550000
2017-06-01,0.400000,0.450000
2017-07-03,0.700000,0.550000
2017-08-01,0.350000,0.400000
2017-09-01,0.650000,0.650000
2017-10-02,0.750000,0.750000
2017-11-01,0.700000,0.850000
2017-12-01,0.700000,0.800000
2018-01-02,0.750000,0.800000
2018-02-01,0.150000,0.150000
2018-03-01,0.250000,0.250000
2018-04-02,0.800000,0.700000
2018-05-01,0.700000,0.700000
2018-06-01,0.550000,0.600000
2018-07-02,0.800000,0.850000
2018-08-01,0.750000,0.750000
2018-09-04,0.400000,0.450000
2018-10-01,0.300000,0.300000
2018-11-01,0.800000,0.800000
2018-12-03,0.000000,0.000000
2019-01-02,0.800000,0.900000
2019-02-01,0.800000,0.800000
2019-03-01,0.750000,0.750000
2019-04-01,0.600000,0.600000
2019-05-01,0.200000,0.200000
2019-06-03,0.900000,1.000000
2019-07-01,0.600000,0.600000
2019-08-01,0.250000,0.450000
2019-09-03,0.700000,0.700000
2019-10-01,0.850000,0.850000
2019-11-01,0.800000,0.800000
2019-12-02,1.000000,1.000000
2020-01-02,0.600000,0.550000
2020-02-03,0.300000,0.000000
2020-03-02,0.300000,0.050000
2020-04-01,0.750000,0.900000
2020-05-01,0.900000,0.950000
2020-06-01,0.350000,0.250000
2020-07-01,0.800000,0.800000
2020-08-03,0.900000,0.950000
2020-09-01,0.150000,0.250000
2020-10-01,0.400000,0.300000
2020-11-02,1.000000,1.000000
2020-12-01,0.700000,0.700000
2021-01-04,0.650000,0.650000
2021-02-01,0.500000,0.550000
2021-03-01,0.550000,0.500000
2021-04-01,0.800000,0.850000
2021-05-03,0.450000,0.500000
2021-06-01,0.650000,0.700000
2021-07-01,0.500000,0.500000
2021-08-02,0.750000,0.700000
2021-09-01,0.400000,0.450000
2021-10-01,0.750000,0.500000
2021-11-01,0.400000,0.450000
2021-12-01,0.750000,0.650000
2022-01-03,0.250000,0.250000
2022-02-01,0.200000,0.250000
2022-03-01,0.750000,0.750000
2022-04-01,0.150000,0.200000
2022-05-02,0.350000,0.450000
2022-06-01,0.100000,0.100000
2022-07-01,0.800000,0.800000
2022-08-01,0.150000,0.150000
2022-09-01,0.000000,0.000000
2022-10-03,0.750000,0.750000
2022-11-01,0.800000,0.800000
2022-12-01,0.150000,0.150000
2023-01-03,0.750000,0.750000
2023-02-01,0.250000,0.250000
2023-03-01,0.750000,0.850000
2023-04-03,0.750000,0.750000
2023-05-01,0.600000,0.400000
2023-06-01,0.750000,0.850000
2023-07-03,0.700000,0.700000
2023-08-01,0.500000,0.550000
2023-09-01,0.250000,0.250000
2023-10-02,0.350000,0.350000
2023-11-01,0.950000,0.900000
2023-12-01,0.700000,0.650000
2024-01-02,0.700000,0.800000
2024-02-01,0.800000,0.800000
2024-03-01,0.550000,0.600000
2024-04-01,0.450000,0.350000
2024-05-01,0.750000,0.700000
2024-06-03,0.950000,0.800000
2024-07-01,0.450000,0.500000
2024-08-01,0.800000,0.800000
2024-09-03,0.750000,0.650000
2024-10-01,0.350000,0.500000
2024-11-01,0.800000,0.700000
2024-12-02,0.300000,0.400000
2025-01-02,0.700000,0.650000
2025-02-03,0.300000,0.450000
2025-03-03,0.200000,0.300000
2025-04-01,0.500000,0.500000
2025-05-01,0.750000,0.750000
2025-06-02,0.650000,0.650000
2025-07-01,0.600000,0.550000
2025-08-01,0.600000,0.700000
2025-09-02,0.700000,0.650000
2025-10-01,0.450000,0.400000
2025-11-03,0.550000,0.500000
2025-12-01,0.600000,0.550000
