date,da_xgboost,da_random_forest
1998-01-02,0.550000,0.500000
1998-07-01,0.700000,0.700000
1999-01-04,0.700000,0.700000
1999-07-01,0.700000,0.600000
2000-01-03,0.700000,0.500000
2000-07-03,0.400000,0.300000
2001-01-02,0.600000,0.450000
2001-07-02,0.450000,0.400000
2002-01-02,0.250000,0.250000
2002-07-01,0.400000,0.400000
2003-01-02,0.850000,0.850000
2003-07-01,0.800000,0.800000
2004-01-02,0.700000,0.700000
2004-07-01,0.650000,0.400000
2005-01-03,0.500000,0.550000
2005-07-01,0.500000,0.600000
2006-01-03,0.500000,0.500000
2006-07-03,0.900000,0.850000
2007-01-03,0.578947,0.578947
2007-07-02,0.526316,0.473684
2008-01-02,0.157895,0.052632
2008-07-01,0.105263,0.105263
2009-01-02,0.421053,0.473684
2009-07-01,0.947368,0.736842
2010-01-04,0.050000,0.050000
2010-07-01,0.900000,0.900000
2011-01-03,0.600000,0.550000
2011-07-01,0.600000,0.550000
2012-01-03,0.842105,0.842105
2012-07-02,0.600000,0.550000
2013-01-02,0.750000,0.850000
2013-07-01,0.850000,0.900000
2014-01-02,0.550000,0.600000
2014-07-01,0.650000,0.650000
2015-01-02,0.421053,0.421053
2015-07-01,0.421053,0.368421
2016-01-04,0.578947,0.526316
2016-07-01,0.700000,0.700000
2017-01-03,0.800000,0.750000
2017-07-03,0.800000,0.650000
2018-01-02,0.550000,0.550000
2018-07-02,0.400000,0.350000
2019-01-02,1.000000,0.600000
2019-07-01,0.800000,0.650000
2020-01-02,0.650000,0.650000
2020-07-01,0.600000,0.550000
2021-01-04,0.800000,0.800000
2021-07-01,0.450000,0.450000
2022-01-03,0.250000,0.150000
2022-07-01,0.350000,0.450000
2023-01-03,0.750000,0.700000
2023-07-03,0.700000,0.650000
2024-01-02,0.650000,0.700000
2024-07-01,0.650000,0.650000
2025-01-02,0.800000,0.700000
2025-07-01,0.650000,0.600000
