date,sharpe_xgboost,sharpe_random_forest,sharpe_lstm,sharpe_equal_weight,sharpe_hrp,sharpe_market_cap,sharpe_markowitz,sharpe_markowitz_unc,sortino_xgboost,sortino_random_forest,sortino_lstm,sortino_equal_weight,sortino_hrp,sortino_market_cap,sortino_markowitz,sortino_markowitz_unc,calmar_xgboost,calmar_random_forest,calmar_lstm,calmar_equal_weight,calmar_hrp,calmar_market_cap,calmar_markowitz,calmar_markowitz_unc,cum_ret_xgboost,cum_ret_random_forest,cum_ret_lstm,cum_ret_equal_weight,cum_ret_hrp,cum_ret_market_cap,cum_ret_markowitz,cum_ret_markowitz_unc,ann_ret_xgboost,ann_ret_random_forest,ann_ret_lstm,ann_ret_equal_weight,ann_ret_hrp,ann_ret_market_cap,ann_ret_markowitz,ann_ret_markowitz_unc,var_xgboost,var_random_forest,var_lstm,var_equal_weight,var_hrp,var_market_cap,var_markowitz,var_markowitz_unc,cvar_xgboost,cvar_random_forest,cvar_lstm,cvar_equal_weight,cvar_hrp,cvar_market_cap,cvar_markowitz,cvar_markowitz_unc
overall,0.507480,0.464599,0.530405,0.507330,0.492668,0.492207,0.476091,0.485102,0.661753,0.605711,0.691766,0.651641,0.625345,0.638219,0.619977,0.656645,0.201206,0.168363,0.229332,0.196546,0.177298,0.200680,0.183170,0.177894,19.626688,15.818581,19.485944,14.465815,10.882538,15.384615,12.461994,21.842593,0.114390,0.106280,0.114117,0.102966,0.092612,0.105246,0.097502,0.118467,0.021242,0.021773,0.019753,0.018777,0.016894,0.020093,0.019386,0.023161,0.031906,0.032581,0.030452,0.029020,0.027092,0.030571,0.029276,0.034274
zscore,0.676450,-1.555787,1.869866,0.668647,-0.094599,-0.118599,-0.957522,-0.488457,0.698316,-1.491523,1.871068,0.303164,-0.724355,-0.221280,-0.934100,0.498710,0.518554,-1.294217,2.070973,0.261333,-0.801054,0.489524,-0.476948,-0.768166,0.954139,-0.120662,0.914416,-0.502467,-1.513813,-0.243145,-1.068026,1.579557,0.956685,-0.020134,0.923801,-0.419383,-1.666521,-0.144731,-1.077449,1.447730,0.612599,0.906323,-0.211412,-0.751377,-1.793462,-0.022949,-0.414576,1.674853,0.596342,0.915913,-0.092171,-0.770034,-1.682897,-0.035601,-0.648956,1.717404
borda_score,34.000000,10.000000,39.000000,29.000000,21.000000,23.000000,17.000000,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borda_rank,2.000000,8.000000,1.000000,3.000000,6.000000,4.000000,7.000000,5.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
