rebalance_date,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,16.0,0.1,0.01,0.0471714213490486,0.3131759735090991,0.0980791903833719,0.2571715328097343,-0.1799000346871815,-74.96215323672813,0.2075187969924811,0.55,0.5345224838248488
1998-02-02,16.0,0.1,0.01,0.0465798638761043,0.3174755513575182,0.1007907257097601,0.2580357638001441,-0.2125200085384682,-61.14450299921084,-0.0120300751879699,0.55,0.6110100926607787
1998-03-02,16.0,0.3,0.01,0.0459857806563377,0.2970331009326476,0.0882286630496644,0.2668192741274833,-0.061397450221527,-26.10239070028435,-0.048138401298223,0.55,0.6123724356957945
1998-04-01,16.0,0.1,0.01,0.0460498705506324,0.2922345848232077,0.0854010525667926,0.2279160213470458,-0.0273810835102867,-35.490674160497214,0.2947368421052631,0.6,0.6030226891555273
1998-05-01,16.0,0.3,0.01,0.0460029616951942,0.2825753830084768,0.0798488470823873,0.249440949857235,0.0394123659261667,-87.40852272286247,0.2270676691729323,0.5,0.5
1998-06-01,16.0,0.1,0.01,0.046425424516201,0.3291323153949811,0.1083280810372613,0.2748521998524665,-0.3031949598467529,-15.49373536287063,-0.2240601503759398,0.5,0.3464101615137754
1998-07-01,16.0,0.1,0.01,0.0453215353190898,0.3047365552909582,0.0928643681305992,0.2620659500360489,-0.1171653308944267,-69.42681501921984,0.1007518796992481,0.55,0.5318160234783105
1998-08-03,16.0,0.3,0.01,0.0460103563964366,0.2918958691956377,0.0852031984534768,0.2548089221119881,-0.0250008836508495,-17.20815229433288,0.0045112781954887,0.35,0.5619514869490163
1998-09-01,16.0,0.1,0.01,0.0469501912593841,0.2570573333541247,0.0660784726311336,0.2232403233647346,0.2050710059412498,-22.58837893506963,0.2887218045112781,0.55,0.5504818825631803
1998-10-01,16.0,0.3,0.01,0.0461087189614772,0.2714074376277636,0.0736619971996684,0.2383747592568397,0.1138406351919592,-5.476133307068378,0.4285714285714286,0.45,
1998-11-02,16.0,0.3,0.01,0.0455221012234687,0.2844144320702829,0.0808915691698615,0.2507342621684074,0.0268683408136953,-19.98232730847963,0.2225563909774435,0.7,0.6859943405700354
1998-12-01,16.0,0.3,0.01,0.04783371463418,0.3073613638513092,0.0944710079885369,0.2675327807664871,-0.1364933291854062,-44.71604243877608,-0.2075187969924811,0.65,0.5976143046671968
1999-01-04,16.0,0.3,0.01,0.044593546539545,0.2952337791344024,0.0871629843419811,0.2543084099888801,-0.0485772552418777,-20.52977237541308,0.0556390977443608,0.55,0.5303300858899106
1999-02-01,16.0,0.1,0.01,0.0452816821634769,0.3162742557686465,0.1000294048620112,0.2806442946195602,-0.2033612614978794,-68.66365163305767,-0.0541353383458646,0.45,0.4264014327112208
1999-03-01,16.0,0.3,0.01,0.0458090268075466,0.3164268634797175,0.1001259599316118,0.2811811164021492,-0.2045228262449543,-34.18890607964678,-0.2270676691729323,0.5,0.57282196186948
1999-04-01,16.0,0.3,0.01,0.0465633757412433,0.2814262975934244,0.0792007609771426,0.2384733974933624,0.0472088905005391,-21.187798980750447,0.2661654135338345,0.55,0.5318160234783105
1999-05-03,16.0,0.3,0.01,0.0447322092950344,0.342188567282751,0.1170930155790217,0.2807639998197555,-0.4086377814017659,-65.04245739489656,-0.4051209413571126,0.3,0.3131121455425747
1999-06-01,16.0,0.3,0.01,0.0454982556402683,0.2712652171058871,0.073584818011504,0.244314121901989,0.1147691066285225,-12.987115461993422,0.2887218045112781,0.65,0.6567895774291853
1999-07-01,16.0,0.1,0.01,0.0456525981426239,0.3257383552531235,0.1061054760830101,0.2725596797466278,-0.2764568551339559,-78.86808961138604,-0.1607558615623628,0.25,0.2672612419124244
1999-08-02,16.0,0.3,0.01,0.0462039075791835,0.3145214493105983,0.0989237420764392,0.2608973479270935,-0.1900600550549085,-37.87885367558863,0.0766917293233082,0.6,0.5669467095138409
1999-09-01,16.0,0.3,0.01,0.0440862104296684,0.2857688757997162,0.0816638503758336,0.2395915910601616,0.0175777398395949,-43.65900768100588,0.0195488721804511,0.3,0.0
1999-10-01,16.0,0.3,0.01,0.0449915938079357,0.2990263121380312,0.0894167353508712,0.2634759441018105,-0.0756900493337895,-10.20682704669482,-0.0411709632439729,0.65,0.6567895774291853
1999-11-01,16.0,0.3,0.01,0.0435939840972423,0.3087958863776059,0.0953548994437313,0.2467324033379554,-0.1471266098493993,-45.49137649237262,0.310241315686116,0.65,0.6123724356957945
1999-12-01,16.0,0.3,0.01,0.043834138661623,0.268577162661978,0.0721336923035586,0.2224111193418503,0.1322262580023026,-14.829395511988476,0.3954887218045112,0.7,0.6963106238227913
2000-01-03,16.0,0.1,0.01,0.0443921536207199,0.3029525541834681,0.0917802500862872,0.2572928279638291,-0.1041233093087181,-21.409962385777504,0.1818233995066686,0.5,0.5
2000-02-01,16.0,0.1,0.01,0.0457138046622276,0.2675549360138868,0.071585643785395,0.2295316690206527,0.1388193228824651,-14.997955202264798,0.4240601503759398,0.6,0.5590169943749475
2000-03-01,16.0,0.3,0.01,0.0446099862456321,0.2915451439390894,0.0849985709544643,0.2535673156380653,-0.0225391994522028,-7.452041573015249,-0.0586466165413533,0.55,0.4428074427700476
2000-04-03,16.0,0.1,0.01,0.0431525744497776,0.331304457828708,0.1097626437771742,0.2778102427721023,-0.3204528574697647,-32.86334550826121,-0.2103044088418507,0.45,0.4320493798938573
2000-05-01,16.0,0.1,0.01,0.044020552188158,0.3170689816660102,0.1005327391347207,0.2633130890130997,-0.209416410643257,-18.60415285428891,-0.3413533834586466,0.4,0.4020151261036848
2000-06-01,16.0,0.3,0.01,0.0444597043097019,0.2846109240581648,0.0810033780932424,0.243628271818161,0.0255232710587375,-31.65685282902519,0.0568589365756198,0.75,0.0
2000-07-03,16.0,0.1,0.01,0.0458310097455978,0.280529145223259,0.0786966013196923,0.2432693839073181,0.0532739690864078,-50.52312820278437,0.3082706766917293,0.65,0.6513389472789296
2000-08-01,16.0,0.1,0.01,0.0435733124613761,0.323957406769204,0.1049484014006275,0.2782202714681624,-0.2625371597067971,-24.526499109455774,-0.3022556390977443,0.4,0.3481553119113956
2000-09-01,16.0,0.3,0.01,0.0451984629034996,0.2995129394656665,0.089708000907364,0.2593873843550682,-0.0791939958780632,-13.67657936944936,-0.1368421052631578,0.35,0.3227486121839514
2000-10-02,16.0,0.3,0.01,0.0441881604492664,0.3106491736146246,0.0965029090674492,0.268826262652874,-0.1609372519392382,-20.179071624811066,-0.2677698572213655,0.35,0.3481553119113956
2000-11-01,16.0,0.3,0.01,0.0445172674953937,0.2884892202435063,0.0832260301967063,0.2449097272753715,-0.0012154008626323,-27.79014753115678,0.1819548872180451,0.55,0.4923659639173309
2000-12-01,16.0,0.1,0.01,0.0458050034940242,0.298671360668825,0.0892045816837673,0.2477803954482078,-0.0731378247671259,-33.456936259008714,0.1233082706766917,0.5,0.4898979485566356
2001-01-02,16.0,0.1,0.01,0.0452686138451099,0.3162728760623582,0.1000285321327558,0.251626634299755,-0.2033507624993178,-13.85961506139084,-0.069172932330827,0.4,0.264575131106459
2001-02-01,16.0,0.3,0.01,0.0449934601783752,0.3234388584700565,0.1046126951684132,0.2675171366333961,-0.2584985884921897,-20.71323263864052,-0.0796992481203007,0.45,0.5940885257860046
2001-03-01,16.0,0.3,0.01,0.0447769127786159,0.2890731541864927,0.0835632884713278,0.257678173482418,-0.0052726432640937,-22.157847802457773,0.2156382163124774,0.4,0.5423261445466404
2001-04-02,16.0,0.3,0.01,0.0446254052221775,0.2823711733413225,0.0797334795341551,0.2460785028338432,0.0408002462056518,-14.906785792153968,0.2015037593984962,0.6,0.0
2001-05-01,16.0,0.3,0.01,0.0460848324000835,0.3055851850704472,0.0933823053345394,0.2504053805768489,-0.1233961544004744,-153.26713070647384,0.1488721804511278,0.55,0.5590169943749475
2001-06-01,16.0,0.3,0.01,0.0466349981725215,0.2747512061428161,0.0754882252769322,0.2371079057455063,0.0918709741120935,-54.95981664880102,0.3825101928935112,0.45,0.0
2001-07-02,16.0,0.3,0.01,0.0445797964930534,0.294542285095683,0.0867551577093865,0.2568541422486305,-0.0436710701881091,-51.73459020900085,0.0212941610669816,0.4,0.3481553119113956
2001-08-01,16.0,0.3,0.01,0.0457145832479,0.3376469781658137,0.1140054818645055,0.2918210610747337,-0.3714945186707432,-27.85466526551552,-0.6781555212653883,0.55,0.4428074427700476
2001-09-04,16.0,0.3,0.01,0.0444872267544269,0.315474803555516,0.0995243516783914,0.2527916300296783,-0.1972854337250096,-33.7943032989648,-0.2451127819548871,0.4,0.3952847075210474
2001-10-01,16.0,0.3,0.01,0.0457418076694011,0.2605322275053515,0.0678770415689002,0.2281132668256759,0.1834340863891699,-13.44363367678502,0.4270676691729323,0.7,0.6267831705280087
2001-11-01,16.0,0.3,0.01,0.0452806204557418,0.2925047410672953,0.0855590235468455,0.2531785887479782,-0.0292814862778407,-26.957501631552944,-0.0827067669172932,0.5,0.3144854510165755
2001-12-03,16.0,0.3,0.01,0.0455586351454257,0.2985810431511867,0.0891506393292508,0.2559678241610527,-0.072488894186476,-68.9684330962447,-0.0601503759398496,0.45,0.4330127018922193
2002-01-02,16.0,0.1,0.01,0.0448814779520034,0.2936066215924496,0.0862048482429319,0.2564527758955955,-0.0370508059300083,-92.04875228910316,0.0616541353383458,0.4,0.4225771273642583
