rebalance_date,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,0.3452756984689458,0.1192153079532183,0.2878292849659919,-0.4341691182342062,-0.0270676691729323,0.5,0.6882472016116853
1998-07-01,0.2537629131517632,0.0643956160912693,0.2000810727477073,0.2253158966463838,0.5383458646616541,0.65,0.6900655593423543
1999-01-04,0.3433297742862592,0.1178753339114537,0.2765283346176147,-0.4180491297618494,-0.1082706766917293,0.45,0.3086066999241838
1999-07-01,0.3583858567183434,0.128440422295741,0.2957071954011916,-0.5451479373923731,-0.1759398496240601,0.4,0.3872983346207417
2000-01-03,0.3141995428440471,0.0987213527234082,0.2589841616153717,-0.1876252959207005,0.025563909774436,0.6,0.5685352436149611
2000-07-03,0.4025168383560599,0.1620198051601584,0.3587677896022796,-0.9491104380169436,-0.6481203007518795,0.25,0.2449489742783178
2001-01-02,0.352793618921349,0.124463337551622,0.2952407184243202,-0.4973033088916934,-0.2360902255639097,0.3,0.3086066999241838
2001-07-02,0.2954407218417962,0.0872852201224016,0.2472929581999778,-0.0500477608709968,-0.0090225563909774,0.4,0.2659080117391552
2002-01-02,0.3673471728208184,0.1349439453794482,0.3237320885062217,-0.6233858090760689,-0.4766917293233082,0.3,0.2581988897471611
2002-07-01,0.3733186364888204,0.139366804349872,0.3096329078078269,-0.6765931350360543,-0.1804511278195488,0.35,0.3779644730092272
2003-01-02,0.2940649101469613,0.0864741713797404,0.2548012495040893,-0.0402907835156747,0.1593984962406014,0.15,0.1980295085953348
2003-07-01,0.2804440627074169,0.0786488723078416,0.2385361611843109,0.0538481526876196,0.5458646616541353,0.35,0.4330127018922193
2004-01-02,0.3828701790712404,0.1465895740220437,0.303288961648941,-0.7634835972576681,-0.3819548872180451,0.65,0.3779644730092272
2004-07-01,0.3384066193869928,0.114519040044933,0.2824212419986726,-0.3776726621946831,0.0360902255639097,0.6,0.5669467095138409
2005-01-03,0.293868204178441,0.0863585214270619,0.2398069185018539,-0.0388995058894667,0.2330827067669172,0.6,0.60380736442456
