rebalance_date,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,0.36246023377695236,0.1313817079815304,0.3020812082290649,-0.5805318253417193,-0.07744360902255634,0.5,0.25
1998-04-01,0.28374949894593765,0.08073979611020735,0.2436781543493271,0.028694182132843492,0.2932330827067668,0.475,0.4461420286601643
1998-07-01,0.30194633383084146,0.09117882466657105,0.2636480313539505,-0.096888116289577,0.150375939849624,0.575,0.543860921388155
1998-10-01,0.2975476829019523,0.0887752897288399,0.24412642553448669,-0.06797341027175845,0.15563909774436085,0.7,
1999-01-04,0.316928670105228,0.10059279237272489,0.2701293063908815,-0.21013885561172874,-0.18796992481203004,0.275,0.2863967434728325
1999-04-01,0.303530886155139,0.0923401997986662,0.25168854683637615,-0.11085954645012004,0.1195488721804511,0.6,0.5882730675724457
1999-07-01,0.32075630024271096,0.10294774201199369,0.2666512271761894,-0.23846907683601515,-0.13383458646616536,0.32499999999999996,0.3268197397976805
1999-10-01,0.280897094545678,0.0792049149618801,0.2355500715970993,0.04715891775181805,0.42330827067669163,0.7,0.6938715796270416
2000-01-03,0.2950463749774347,0.08708031675493196,0.26062283426523203,-0.047582757954069396,0.17142857142857135,0.5,0.48818192885643796
2000-04-03,0.334170839172392,0.11177319765404431,0.2830075559020042,-0.3446399717779771,-0.21503759398496236,0.5,0.4309246595894187
2000-07-03,0.3270560047023878,0.1079204139938183,0.26419542938470836,-0.29829069466247576,-0.01954887218045115,0.525,0.5214239232402555
2000-10-02,0.32385475549715403,0.10489409002627856,0.27548976898193356,-0.261883789789818,-0.28721804511278193,0.375,0.3464101615137754
2001-01-02,0.34872872421756135,0.1218327823720643,0.2828825467824936,-0.46565753229551055,0.06240601503759395,0.6,0.7415816237971964
2001-04-02,0.28761015303903376,0.0832224545650351,0.2443350352346897,-0.0011723857447835107,0.0789473684210526,0.42500000000000004,0.4429784845569048
2001-07-02,0.35959086936936285,0.13143600764827654,0.2965148358047008,-0.5811850544153572,-0.4428571428571427,0.375,0.38090084052856843
2001-10-01,0.25081316144263577,0.063100789413425,0.21213266685605045,0.24089275893623985,0.6157894736842104,0.675,0.3856811846219744
2002-01-02,0.3191121674788162,0.10196194994946925,0.2770188510417938,-0.226609924204142,-0.6518796992481202,0.275,0.09078412990032035
2002-04-01,0.32957725624934114,0.10864542357205201,0.2810945481061935,-0.30701261440062577,-0.6759398496240601,0.30000000000000004,0.14002800840280094
2002-07-01,0.30861684457944355,0.0955411303477483,0.26328651830554006,-0.14936698162704748,-0.026315789473684202,0.7,0.42919753763947605
2002-10-01,0.3186238393621421,0.1015959188164943,0.26332986265420905,-0.22220654215331545,0.06691729323308271,0.55,0.5136948319120536
2003-01-02,0.29607469156694977,0.08766022300568274,0.2538325391709805,-0.05455907375257435,-0.1533834586466165,0.65,0.1976423537605237
2003-04-01,0.28485131120204504,0.08121398499963814,0.24624539136886595,0.0229896541396911,0.30902255639097737,0.6499999999999999,0.7940280510605966
2003-07-01,0.2863310244020243,0.0819992835752981,0.2463858902454376,0.01354245322949615,0.2999999999999999,0.525,0.1767766952966369
2003-10-01,0.2895757849437743,0.08386580389748055,0.2489559903740882,-0.00891192658623245,0.15714285714285708,0.35000000000000003,0.2214037213850238
2004-01-02,0.2906817198677377,0.0844981075491045,0.25154631361365315,-0.0165185870568965,0.0210526315789474,0.525,0.5265003950963931
2004-04-01,0.281603279683853,0.0793011453227027,0.2441769696772098,0.04600125927575585,0.4917293233082707,0.65,0.576217080281558
2004-07-01,0.29132119710529336,0.08486902260138734,0.25159609168767927,-0.020980723024209252,-0.17067669172932323,0.55,0.15891043154093204
2004-10-01,0.30974195411458333,0.09627062140796945,0.2600883775949478,-0.15814281393045998,-0.0030075187969925005,0.425,0.4414213562373095
2005-01-03,0.30813804905547115,0.09500124778297765,0.2539435437321662,-0.1428721537801831,-0.10902255639097741,0.325,0.35184851119220456
2005-04-01,0.26440924456602877,0.06997996188776259,0.21688397675752635,0.15813579683894616,0.431578947368421,0.7,0.6180100973806387
2005-07-01,0.3776119950849469,0.1441847262139971,0.317409700974822,-0.734553097311244,-0.28571428571428564,0.375,0.3725552995912256
2005-10-03,0.32269688533592056,0.10447005556478815,0.27595280870795247,-0.2567826233357973,0.006766917293233053,0.6000000000000001,0.5495393596211346
2006-01-03,0.28714470468415726,0.0824789907084186,0.2437083004415035,0.007771540349851199,0.22330827067669168,0.575,0.47386127875258305
2006-04-03,0.32084682005912246,0.10294555673782865,0.2693100024759769,-0.23844278782350337,-0.1022556390977443,0.55,0.4828427124746191
