model,frequency,dotcom_crash_Max Drawdown (%),bm_dotcom_crash_Max Drawdown (%),dotcom_crash_Days: Trough to Breakeven,bm_dotcom_crash_Days: Trough to Breakeven,dotcom_crash_Days: Peak to Breakeven (Total),bm_dotcom_crash_Days: Peak to Breakeven (Total),dotcom_crash_Cumulative Return (Crisis),bm_dotcom_crash_Cumulative Return (Crisis),dotcom_crash_Annualized Volatility (Crisis),bm_dotcom_crash_Annualized Volatility (Crisis),dotcom_crash_Sharpe Ratio (Crisis),bm_dotcom_crash_Sharpe Ratio (Crisis),dotcom_crash_Sortino Ratio (Crisis),bm_dotcom_crash_Sortino Ratio (Crisis),gfc_Max Drawdown (%),bm_gfc_Max Drawdown (%),gfc_Days: Trough to Breakeven,bm_gfc_Days: Trough to Breakeven,gfc_Days: Peak to Breakeven (Total),bm_gfc_Days: Peak to Breakeven (Total),gfc_Cumulative Return (Crisis),bm_gfc_Cumulative Return (Crisis),gfc_Annualized Volatility (Crisis),bm_gfc_Annualized Volatility (Crisis),gfc_Sharpe Ratio (Crisis),bm_gfc_Sharpe Ratio (Crisis),gfc_Sortino Ratio (Crisis),bm_gfc_Sortino Ratio (Crisis),monetary_policy_Max Drawdown (%),bm_monetary_policy_Max Drawdown (%),monetary_policy_Days: Trough to Breakeven,bm_monetary_policy_Days: Trough to Breakeven,monetary_policy_Days: Peak to Breakeven (Total),bm_monetary_policy_Days: Peak to Breakeven (Total),monetary_policy_Cumulative Return (Crisis),bm_monetary_policy_Cumulative Return (Crisis),monetary_policy_Annualized Volatility (Crisis),bm_monetary_policy_Annualized Volatility (Crisis),monetary_policy_Sharpe Ratio (Crisis),bm_monetary_policy_Sharpe Ratio (Crisis),monetary_policy_Sortino Ratio (Crisis),bm_monetary_policy_Sortino Ratio (Crisis),covid-19_Max Drawdown (%),bm_covid-19_Max Drawdown (%),covid-19_Days: Trough to Breakeven,bm_covid-19_Days: Trough to Breakeven,covid-19_Days: Peak to Breakeven (Total),bm_covid-19_Days: Peak to Breakeven (Total),covid-19_Cumulative Return (Crisis),bm_covid-19_Cumulative Return (Crisis),covid-19_Annualized Volatility (Crisis),bm_covid-19_Annualized Volatility (Crisis),covid-19_Sharpe Ratio (Crisis),bm_covid-19_Sharpe Ratio (Crisis),covid-19_Sortino Ratio (Crisis),bm_covid-19_Sortino Ratio (Crisis),russia-ukraine_Max Drawdown (%),bm_russia-ukraine_Max Drawdown (%),russia-ukraine_Days: Trough to Breakeven,bm_russia-ukraine_Days: Trough to Breakeven,russia-ukraine_Days: Peak to Breakeven (Total),bm_russia-ukraine_Days: Peak to Breakeven (Total),russia-ukraine_Cumulative Return (Crisis),bm_russia-ukraine_Cumulative Return (Crisis),russia-ukraine_Annualized Volatility (Crisis),bm_russia-ukraine_Annualized Volatility (Crisis),russia-ukraine_Sharpe Ratio (Crisis),bm_russia-ukraine_Sharpe Ratio (Crisis),russia-ukraine_Sortino Ratio (Crisis),bm_russia-ukraine_Sortino Ratio (Crisis),trade_policy_shock_Max Drawdown (%),bm_trade_policy_shock_Max Drawdown (%),trade_policy_shock_Days: Trough to Breakeven,bm_trade_policy_shock_Days: Trough to Breakeven,trade_policy_shock_Days: Peak to Breakeven (Total),bm_trade_policy_shock_Days: Peak to Breakeven (Total),trade_policy_shock_Cumulative Return (Crisis),bm_trade_policy_shock_Cumulative Return (Crisis),trade_policy_shock_Annualized Volatility (Crisis),bm_trade_policy_shock_Annualized Volatility (Crisis),trade_policy_shock_Sharpe Ratio (Crisis),bm_trade_policy_shock_Sharpe Ratio (Crisis),trade_policy_shock_Sortino Ratio (Crisis),bm_trade_policy_shock_Sortino Ratio (Crisis),overall_Annualized Return,bm_overall_Annualized Return,overall_Annualized Volatility,bm_overall_Annualized Volatility,overall_Value at Risk (95%),bm_overall_Value at Risk (95%),overall_CVaR / Expected Shortfall,bm_overall_CVaR / Expected Shortfall,overall_1st Quartile Average Drawdown,bm_overall_1st Quartile Average Drawdown,overall_1st Quartile Average Duration to Trough,bm_overall_1st Quartile Average Duration to Trough,overall_1st Quartile Average Recovery Duration,bm_overall_1st Quartile Average Recovery Duration
lstm,Semi-Annual,-0.4771,-0.4915,4192.0,1694.0,5118.0,2623.0,-0.0294,0.02,0.1902,0.1732,-0.022,0.016,-0.031,0.023,-0.5717,-0.5678,1849.0,1480.0,5118.0,1997.0,-0.1099,0.0107,0.2576,0.2562,-0.082,0.008,-0.112,0.01,-0.1786,-0.1978,100.0,120.0,217.0,215.0,0.038,0.001,0.185,0.1829,0.359,0.009,0.505,0.013,-0.3076,-0.3392,114.0,148.0,147.0,181.0,0.0619,0.003,0.4564,0.4692,0.287,0.013,0.391,0.017,-0.3286,-0.2543,232.0,464.0,514.0,746.0,0.2457,0.0154,0.2393,0.1932,0.475,0.039,0.679,0.055,-0.189,-0.189,86.0,80.0,140.0,128.0,-0.0156,0.0019,0.2846,0.2755,-0.153,0.019,-0.223,0.028,0.1058,0.0725,0.2083,0.1938,-0.0202,-0.0187,-0.0314,-0.0296,0.2914,0.340644,394.094388,316.833333,479.433673,665.0
lstm,Yearly,-0.4769,-0.4915,1818.0,1694.0,2590.0,2623.0,0.0339,0.02,0.1868,0.1732,0.025,0.016,0.036,0.023,-0.5074,-0.5678,1256.0,1480.0,1773.0,1997.0,0.0647,0.0107,0.2544,0.2562,0.045,0.008,0.063,0.01,-0.1997,-0.1978,101.0,120.0,218.0,215.0,0.0433,0.001,0.2155,0.1829,0.352,0.009,0.496,0.013,-0.3388,-0.3392,154.0,148.0,187.0,181.0,-0.0041,0.003,0.4951,0.4692,-0.017,0.013,-0.022,0.017,-0.3097,-0.2543,225.0,464.0,547.0,746.0,0.316,0.0154,0.2292,0.1932,0.629,0.039,0.909,0.055,-0.1999,-0.189,106.0,80.0,160.0,128.0,-0.0213,0.0019,0.2999,0.2755,-0.197,0.019,-0.288,0.028,0.111,0.0725,0.2098,0.1938,-0.0206,-0.0187,-0.0314,-0.0296,0.269249,0.340644,292.126984,316.833333,381.581349,665.0
market_cap,Monthly,-0.4787,-0.4915,3675.0,1694.0,4526.0,2623.0,-0.0458,0.02,0.1809,0.1732,-0.036,0.016,-0.051,0.023,-0.5108,-0.5678,1254.0,1480.0,4526.0,1997.0,0.0671,0.0107,0.2387,0.2562,0.05,0.008,0.07,0.01,-0.2027,-0.1978,115.0,120.0,197.0,215.0,0.02,0.001,0.2144,0.1829,0.162,0.009,0.226,0.013,-0.29,-0.3392,79.0,148.0,112.0,181.0,0.1071,0.003,0.4575,0.4692,0.507,0.013,0.696,0.017,-0.3247,-0.2543,319.0,464.0,686.0,746.0,0.0783,0.0154,0.2409,0.1932,0.156,0.039,0.219,0.055,-0.229,-0.189,80.0,80.0,185.0,128.0,0.0048,0.0019,0.3336,0.2755,0.041,0.019,0.062,0.028,0.1075,0.0725,0.2031,0.1938,-0.0201,-0.0187,-0.0305,-0.0296,0.250334,0.340644,495.75,316.833333,259.0,665.0
market_cap,Quarterly,-0.4787,-0.4915,3698.0,1694.0,4549.0,2623.0,-0.0505,0.02,0.1805,0.1732,-0.04,0.016,-0.057,0.023,-0.5186,-0.5678,1277.0,1480.0,4549.0,1997.0,0.0556,0.0107,0.2394,0.2562,0.042,0.008,0.058,0.01,-0.2023,-0.1978,115.0,120.0,197.0,215.0,0.0196,0.001,0.2139,0.1829,0.159,0.009,0.222,0.013,-0.2902,-0.3392,79.0,148.0,112.0,181.0,0.1046,0.003,0.4571,0.4692,0.495,0.013,0.679,0.017,-0.3231,-0.2543,319.0,464.0,686.0,746.0,0.0762,0.0154,0.2409,0.1932,0.152,0.039,0.213,0.055,-0.2293,-0.189,83.0,80.0,188.0,128.0,0.0011,0.0019,0.3342,0.2755,0.009,0.019,0.014,0.028,0.1059,0.0725,0.2031,0.1938,-0.0201,-0.0187,-0.0305,-0.0296,0.251357,0.340644,495.75,316.833333,262.25,665.0
market_cap,Semi-Annual,-0.4847,-0.4915,3705.0,1694.0,4556.0,2623.0,-0.0638,0.02,0.1811,0.1732,-0.051,0.016,-0.072,0.023,-0.5224,-0.5678,1284.0,1480.0,4556.0,1997.0,0.0591,0.0107,0.2388,0.2562,0.044,0.008,0.061,0.01,-0.2026,-0.1978,115.0,120.0,197.0,215.0,0.0192,0.001,0.2142,0.1829,0.156,0.009,0.217,0.013,-0.2902,-0.3392,79.0,148.0,112.0,181.0,0.1061,0.003,0.4576,0.4692,0.501,0.013,0.689,0.017,-0.3278,-0.2543,327.0,464.0,694.0,746.0,0.0684,0.0154,0.2414,0.1932,0.137,0.039,0.191,0.055,-0.2293,-0.189,83.0,80.0,188.0,128.0,0.0015,0.0019,0.3336,0.2755,0.012,0.019,0.019,0.028,0.1051,0.0725,0.2032,0.1938,-0.0201,-0.0187,-0.0306,-0.0296,0.252462,0.340644,495.75,316.833333,264.125,665.0
market_cap,Yearly,-0.4871,-0.4915,3705.0,1694.0,4556.0,2623.0,-0.0688,0.02,0.1814,0.1732,-0.055,0.016,-0.077,0.023,-0.5244,-0.5678,1284.0,1480.0,4556.0,1997.0,0.0598,0.0107,0.2389,0.2562,0.045,0.008,0.062,0.01,-0.2029,-0.1978,119.0,120.0,201.0,215.0,0.0189,0.001,0.2143,0.1829,0.153,0.009,0.213,0.013,-0.2902,-0.3392,79.0,148.0,112.0,181.0,0.106,0.003,0.4576,0.4692,0.501,0.013,0.688,0.017,-0.3295,-0.2543,342.0,464.0,709.0,746.0,0.068,0.0154,0.2415,0.1932,0.136,0.039,0.19,0.055,-0.229,-0.189,83.0,80.0,188.0,128.0,0.0015,0.0019,0.3336,0.2755,0.012,0.019,0.019,0.028,0.1049,0.0725,0.2033,0.1938,-0.0201,-0.0187,-0.0306,-0.0296,0.252698,0.340644,495.75,316.833333,266.5,665.0
markowitz,Monthly,-0.4997,-0.4915,3487.0,1694.0,4324.0,2623.0,-0.0618,0.02,0.1771,0.1732,-0.05,0.016,-0.07,0.023,-0.4355,-0.5678,1066.0,1480.0,4324.0,1997.0,0.2807,0.0107,0.2111,0.2562,0.219,0.008,0.309,0.01,-0.1895,-0.1978,178.0,120.0,273.0,215.0,-0.0345,0.001,0.1941,0.1829,-0.303,0.009,-0.424,0.013,-0.2852,-0.3392,113.0,148.0,146.0,181.0,0.0612,0.003,0.4327,0.4692,0.299,0.013,0.414,0.017,-0.2815,-0.2543,482.0,464.0,763.0,746.0,-0.0225,0.0154,0.1864,0.1932,-0.059,0.039,-0.083,0.055,-0.1828,-0.189,108.0,80.0,162.0,128.0,-0.0149,0.0019,0.262,0.2755,-0.159,0.019,-0.229,0.028,0.0908,0.0725,0.1871,0.1938,-0.0188,-0.0187,-0.028,-0.0296,0.236149,0.340644,176.25,316.833333,570.25,665.0
markowitz,Quarterly,-0.5128,-0.4915,3516.0,1694.0,4353.0,2623.0,-0.1035,0.02,0.1778,0.1732,-0.085,0.016,-0.119,0.023,-0.4541,-0.5678,1095.0,1480.0,4353.0,1997.0,0.2879,0.0107,0.209,0.2562,0.227,0.008,0.32,0.01,-0.201,-0.1978,177.0,120.0,272.0,215.0,-0.0425,0.001,0.2031,0.1829,-0.356,0.009,-0.499,0.013,-0.2975,-0.3392,113.0,148.0,146.0,181.0,0.0604,0.003,0.4413,0.4692,0.289,0.013,0.4,0.017,-0.2888,-0.2543,353.0,464.0,784.0,746.0,-0.0778,0.0154,0.1895,0.1932,-0.205,0.039,-0.284,0.055,-0.1838,-0.189,120.0,80.0,174.0,128.0,-0.0192,0.0019,0.2595,0.2755,-0.206,0.019,-0.295,0.028,0.0881,0.0725,0.1875,0.1938,-0.019,-0.0187,-0.0281,-0.0296,0.240327,0.340644,200.0,316.833333,572.0,665.0
markowitz,Semi-Annual,-0.5221,-0.4915,3488.0,1694.0,4334.0,2623.0,-0.1284,0.02,0.1785,0.1732,-0.106,0.016,-0.149,0.023,-0.4554,-0.5678,1067.0,1480.0,4334.0,1997.0,0.3399,0.0107,0.2087,0.2562,0.264,0.008,0.372,0.01,-0.213,-0.1978,182.0,120.0,277.0,215.0,-0.0531,0.001,0.2083,0.1829,-0.431,0.009,-0.601,0.013,-0.2975,-0.3392,130.0,148.0,163.0,181.0,0.0429,0.003,0.4463,0.4692,0.201,0.013,0.279,0.017,-0.3311,-0.2543,458.0,464.0,889.0,746.0,-0.1531,0.0154,0.1973,0.1932,-0.396,0.039,-0.536,0.055,-0.1828,-0.189,120.0,80.0,174.0,128.0,-0.0212,0.0019,0.2613,0.2755,-0.225,0.019,-0.326,0.028,0.0851,0.0725,0.1886,0.1938,-0.0189,-0.0187,-0.0284,-0.0296,0.24876,0.340644,204.25,316.833333,590.5,665.0
markowitz,Yearly,-0.5472,-0.4915,3283.0,1694.0,4129.0,2623.0,-0.1076,0.02,0.1804,0.1732,-0.087,0.016,-0.123,0.023,-0.4582,-0.5678,862.0,1480.0,4129.0,1997.0,0.3456,0.0107,0.2142,0.2562,0.261,0.008,0.369,0.01,-0.1818,-0.1978,165.0,120.0,260.0,215.0,-0.0179,0.001,0.1872,0.1829,-0.164,0.009,-0.229,0.013,-0.2975,-0.3392,133.0,148.0,166.0,181.0,0.0439,0.003,0.4461,0.4692,0.206,0.013,0.285,0.017,-0.3498,-0.2543,465.0,464.0,896.0,746.0,-0.1808,0.0154,0.2088,0.1932,-0.446,0.039,-0.603,0.055,-0.1828,-0.189,120.0,80.0,174.0,128.0,-0.0212,0.0019,0.2613,0.2755,-0.225,0.019,-0.326,0.028,0.0896,0.0725,0.1916,0.1938,-0.019,-0.0187,-0.0289,-0.0296,0.251952,0.340644,204.0,316.833333,552.75,665.0
markowitz_unconstrained,Monthly,-0.6492,-0.4915,6607.0,1694.0,7538.0,2623.0,-0.4487,0.02,0.2442,0.1732,-0.327,0.016,-0.442,0.023,-0.789,-0.5678,4062.0,1480.0,7538.0,1997.0,-0.034,0.0107,0.2309,0.2562,-0.027,0.008,-0.038,0.01,-0.3715,-0.1978,605.0,120.0,7538.0,215.0,-0.1213,0.001,0.2143,0.1829,-0.934,0.009,-1.267,0.013,-0.3453,-0.3392,150.0,148.0,7538.0,181.0,0.0476,0.003,0.4488,0.4692,0.223,0.013,0.32,0.017,-0.3829,-0.2543,484.0,464.0,825.0,746.0,-0.0092,0.0154,0.2497,0.1932,-0.018,0.039,-0.025,0.055,-0.1937,-0.189,156.0,80.0,210.0,128.0,-0.0726,0.0019,0.2681,0.2755,-0.716,0.019,-0.986,0.028,0.0625,0.0725,0.2441,0.1938,-0.0238,-0.0187,-0.0376,-0.0296,0.441285,0.340644,976.0,316.833333,1214.75,665.0
