rebalance_date,invest_year,select_year,ticker,assigned_weight,hrp_success,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.0688956375381458,True,1.0,0.0
1998-01-02,1998,1997,MSFT,0.038404655154601446,True,0.0,0.0
1998-01-02,1998,1997,XOM,0.07153721312247352,True,0.0,0.0
1998-01-02,1998,1997,GE,0.06258777705761645,True,0.0,0.0
1998-01-02,1998,1997,INTC,0.028435348628461206,True,0.0,0.0
1998-01-02,1998,1997,MRK,0.04220039841001717,True,0.0,0.0
1998-01-02,1998,1997,PG,0.06718984865986842,True,0.0,0.0
1998-01-02,1998,1997,IBM,0.039486179272582085,True,0.0,0.0
1998-01-02,1998,1997,PFE,0.03963830231553907,True,0.0,0.0
1998-01-02,1998,1997,BMY,0.06216964486437204,True,0.0,0.0
1998-01-02,1998,1997,WMT,0.03526513873873367,True,0.0,0.0
1998-01-02,1998,1997,JNJ,0.04488528005539738,True,0.0,0.0
1998-01-02,1998,1997,LLY,0.03843381810611215,True,0.0,0.0
1998-01-02,1998,1997,VZ,0.0532286076885505,True,0.0,0.0
1998-01-02,1998,1997,DIS,0.06074030660400411,True,0.0,0.0
1998-01-02,1998,1997,AIG,0.08150855159010298,True,0.0,0.0
1998-01-02,1998,1997,C,0.03531384691431813,True,0.0,0.0
1998-01-02,1998,1997,CSCO,0.015563084629189558,True,0.0,0.0
1998-01-02,1998,1997,PEP,0.06212569465969045,True,0.0,0.0
1998-01-02,1998,1997,T,0.0523906659902238,True,0.0,0.0
1998-07-01,1998,1997,KO,0.06859844140252722,True,0.109825,0.0
1998-07-01,1998,1997,MSFT,0.04068193847414657,True,0.0,0.0
1998-07-01,1998,1997,XOM,0.06494771615015191,True,0.0,0.0
1998-07-01,1998,1997,GE,0.057605632056020324,True,0.0,0.0
1998-07-01,1998,1997,INTC,0.028664200873702524,True,0.0,0.0
1998-07-01,1998,1997,MRK,0.049199838024347076,True,0.0,0.0
1998-07-01,1998,1997,PG,0.06355935408356586,True,0.0,0.0
1998-07-01,1998,1997,IBM,0.035354037848387684,True,0.0,0.0
1998-07-01,1998,1997,PFE,0.04353869301690933,True,0.0,0.0
1998-07-01,1998,1997,BMY,0.06378687059058633,True,0.0,0.0
1998-07-01,1998,1997,WMT,0.03804512553488039,True,0.0,0.0
1998-07-01,1998,1997,JNJ,0.05408325225342026,True,0.0,0.0
1998-07-01,1998,1997,LLY,0.03857770618678491,True,0.0,0.0
1998-07-01,1998,1997,VZ,0.050928801397099384,True,0.0,0.0
1998-07-01,1998,1997,DIS,0.06339261752295224,True,0.0,0.0
1998-07-01,1998,1997,AIG,0.07710627903710603,True,0.0,0.0
1998-07-01,1998,1997,C,0.03863202543898693,True,0.0,0.0
1998-07-01,1998,1997,CSCO,0.01821982030515762,True,0.0,0.0
1998-07-01,1998,1997,PEP,0.058768780484542,True,0.0,0.0
1998-07-01,1998,1997,T,0.04630886931872537,True,0.0,0.0
1999-01-04,1999,1998,MSFT,0.039012682421657695,True,0.311146,0.0
1999-01-04,1999,1998,GE,0.06420950911806941,True,0.0,0.0
1999-01-04,1999,1998,INTC,0.03206740664803895,True,0.0,0.0
1999-01-04,1999,1998,WMT,0.057700266192858896,True,0.0,0.0
1999-01-04,1999,1998,XOM,0.07657537451063785,True,0.0,0.0
1999-01-04,1999,1998,KO,0.05982591436356634,True,0.0,0.0
1999-01-04,1999,1998,IBM,0.044061485880211256,True,0.0,0.0
1999-01-04,1999,1998,MRK,0.05883094718204074,True,0.0,0.0
1999-01-04,1999,1998,PFE,0.048275572529232466,True,0.0,0.0
1999-01-04,1999,1998,CSCO,0.01680270557851179,True,0.0,0.0
1999-01-04,1999,1998,BMY,0.07111957727706485,True,0.0,0.0
1999-01-04,1999,1998,PG,0.05957877356237726,True,0.0,0.0
1999-01-04,1999,1998,C,0.01902017586031016,True,0.0,0.0
1999-01-04,1999,1998,JNJ,0.06061753807542925,True,0.0,0.0
1999-01-04,1999,1998,BAC,0.02941396496814892,True,0.0,0.0
1999-01-04,1999,1998,LLY,0.03651567384128002,True,0.0,0.0
1999-01-04,1999,1998,VZ,0.0547549039037997,True,0.0,0.0
1999-01-04,1999,1998,HD,0.04911342222215685,True,0.0,0.0
1999-01-04,1999,1998,AIG,0.07165965777567561,True,0.0,0.0
1999-01-04,1999,1998,T,0.05084444808893212,True,0.0,0.0
1999-07-01,1999,1998,MSFT,0.043315880282981695,True,0.220885,0.0
1999-07-01,1999,1998,GE,0.0678885887191307,True,0.0,0.0
1999-07-01,1999,1998,INTC,0.031569133711938306,True,0.0,0.0
1999-07-01,1999,1998,WMT,0.0511161691156046,True,0.0,0.0
1999-07-01,1999,1998,XOM,0.08809555341377415,True,0.0,0.0
1999-07-01,1999,1998,KO,0.06542184541479862,True,0.0,0.0
1999-07-01,1999,1998,IBM,0.04546686754023014,True,0.0,0.0
1999-07-01,1999,1998,MRK,0.0598952226859764,True,0.0,0.0
1999-07-01,1999,1998,PFE,0.04613591118579662,True,0.0,0.0
1999-07-01,1999,1998,CSCO,0.022497518596908437,True,0.0,0.0
1999-07-01,1999,1998,BMY,0.04371791515620686,True,0.0,0.0
1999-07-01,1999,1998,PG,0.06620505642696446,True,0.0,0.0
1999-07-01,1999,1998,C,0.021722604588487054,True,0.0,0.0
1999-07-01,1999,1998,JNJ,0.052206173837606,True,0.0,0.0
1999-07-01,1999,1998,BAC,0.04964338280649137,True,0.0,0.0
1999-07-01,1999,1998,LLY,0.052236342994824464,True,0.0,0.0
1999-07-01,1999,1998,VZ,0.05057359697999819,True,0.0,0.0
1999-07-01,1999,1998,HD,0.04824448317760368,True,0.0,0.0
1999-07-01,1999,1998,AIG,0.04208425831396665,True,0.0,0.0
1999-07-01,1999,1998,T,0.05196349505071156,True,0.0,0.0
2000-01-03,2000,1999,MSFT,0.02761841643993508,True,0.358836,0.0
2000-01-03,2000,1999,CSCO,0.018068319931363597,True,0.0,0.0
2000-01-03,2000,1999,WMT,0.05462118646235134,True,0.0,0.0
2000-01-03,2000,1999,GE,0.058667812261534086,True,0.0,0.0
