rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_min_samples_split,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.2969951448301289,0.0882061160526692,0.2626108947791577,-0.0611262081524119,-60.0966783819261,-0.0586466165413533,0.4,0.2886751345948128,1,230,1,5,-0.1811699582286989,0.9999999999999998,0.0
1998-02-02,1998,1997,20,0.2789130869239778,0.0777925100574624,0.2400799162939241,0.0641502549478202,-55.66539211822941,0.2796992481203007,0.8,0.6110100926607787,1,100,4,2,-0.1604486032318246,0.390941738695604,0.0
1998-03-02,1998,1997,20,0.3001277391109203,0.0900766597838326,0.2621358299439213,-0.0836289898806936,-27.924150840021703,-0.2541353383458646,0.6,0.414578098794425,5,100,10,2,0.0034790060363598,0.4830997143084563,0.0
1998-04-01,1998,1997,20,0.3003412148713665,0.0902048453504083,0.2496155346238671,-0.0851710718846117,-38.67554186792832,-0.1639097744360902,0.5,0.4605661864718383,1,180,10,5,0.0633336167959061,0.3924330615055794,0.0
1998-05-01,1998,1997,20,0.2976818788959665,0.0886145010230328,0.2577303988982524,-0.0660391100515229,-89.9865746326321,-0.1684210526315789,0.4,0.3535533905932738,1,230,10,2,-0.0388791986203309,0.3888150663683539,0.0
1998-06-01,1998,1997,20,0.2859797793952733,0.0817844342229691,0.2357952634746628,0.0161271070920999,-15.121497990563388,0.1007518796992481,0.65,0.4,1,50,1,2,-0.0050679171383307,0.5126773860354943,0.0
1998-07-01,1998,1997,20,0.3177743114550383,0.1009805130207237,0.2893968731052444,-0.2148031641590821,-68.38412877800553,-0.1714285714285714,0.3,0.2842676218074805,10,100,1,2,0.2551981765909322,0.6093316443103152,0.0
1998-08-03,1998,1997,20,0.2912686937794329,0.084837451975977,0.2556278614490994,-0.0206009260267912,-17.171128277474907,0.0526315789473684,0.2,0.3973597071195131,1,135,10,2,-0.0875575518805371,0.5084527729469067,0.0
1998-09-01,1998,1997,20,0.3132411055337656,0.0981199901960156,0.2754960496814803,-0.1803908595009402,-26.088875337347424,-0.4180451127819548,0.35,0.2461829819586654,1,230,10,2,0.0265284984090781,0.5168242462273113,0.0
1998-10-01,1998,1997,20,0.3105606624661887,0.0964479250714379,0.2700262397974909,-0.1602757903330884,-6.581646260702755,-0.1984962406015037,0.9,,1,50,1,5,0.0158343116487563,0.4681895008058097,0.0
1998-11-02,1998,1997,20,0.2909145729541994,0.0846312887571242,0.247037462110889,-0.0181207670029979,-22.12570353408272,0.1052631578947368,0.5,0.0,1,100,10,5,-0.0028729270952809,0.4880641597026782,0.0
1998-12-01,1998,1997,20,0.3031755363066528,0.0919154058148265,0.2583505843039817,-0.1057492428851316,-43.11155747067602,-0.1864661654135338,0.55,0.3450327796711771,2,50,10,2,-0.0648894903544632,0.5480031625724023,0.0
1999-01-04,1999,1998,20,0.2853626588582242,0.0814318470706352,0.2436504762731458,0.0203687570449893,-22.18094068489093,0.0857142857142857,0.6,0.414578098794425,1,50,1,10,-0.1201009893785061,0.892146915791963,0.0
1999-02-01,1999,1998,20,0.2862434664385055,0.0819353220787318,0.2502037380957313,0.0143119148423238,-59.67380372812987,0.1458646616541353,0.4,0.3481553119113957,1,135,10,5,-0.264783385775456,0.5137837785598993,0.0
1999-03-01,1999,1998,20,0.3223381568326154,0.1039018873502478,0.2799331237006588,-0.2499475169954621,-38.757651844665,-0.2812030075187969,0.65,0.5863019699779287,5,180,1,2,-0.0582296641147719,0.6849612389552865,0.0
1999-04-01,1999,1998,20,0.2595881827698132,0.0673860246337339,0.2151940818625818,0.1893410570377868,-21.620137293623248,0.4466165413533834,0.65,0.6513389472789296,20,50,1,5,-0.2411776563583303,0.5702549854547327,0.0
