rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_min_samples_split,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.3053839410408453,0.0932593514456384,0.2635004037555939,-0.1219170098723427,0.5216989726357126,0.0661654135338345,0.55,0.0,5,50,2,10,0.0995461542035921,1.0000000000000002,0.0
1999-01-04,1999,1998,20,0.2757684951940154,0.0760482629415717,0.2327853651745199,0.0851336788983855,0.0909809557733679,0.3080984747868463,0.55,0.554700196225229,1,230,1,2,0.0364952252773672,0.7807279901618971,0.0
2000-01-03,2000,1999,20,0.3450375355765599,0.1190509009567458,0.3001333700410502,-0.4321912897052131,-3.211470271193546,-0.3037593984962406,0.45,0.4264014327112208,20,50,1,10,0.2401587635706173,0.7612815017094545,0.0
2001-01-02,2001,2000,20,0.284318724058493,0.0808371368502495,0.2462827276674093,0.0275231657112839,-5.305880307345601,-0.0390977443609022,0.55,0.5590169943749475,2,50,1,2,0.1531008001140368,0.7384203866648905,0.0
2002-01-02,2002,2001,20,0.3102370828901851,0.0962470476002116,0.26915249659106,-0.157859219250666,-6.178961469648571,-0.5703040602511003,0.55,0.5270462766947299,1,50,4,10,-0.1165867800578088,0.7628340903041844,0.0
2003-01-02,2003,2002,20,0.2805822024844963,0.0787263723510508,0.2442722753757742,0.0529158213407416,-0.5569453468464665,-0.0461255054350269,0.5,0.4200840252084029,1,50,1,5,-0.1915552854470401,0.6314467558875938,0.0
2004-01-02,2004,2003,20,0.3175835605863202,0.1008593179546849,0.2704969580128505,-0.2133451784022244,-6.074278387131914,-0.5468036359699939,0.4,0.3779644730092272,1,135,1,2,0.0307888203318292,0.4972043001455795,0.0
2005-01-03,2005,2004,20,0.2878528355947882,0.0828592549599601,0.2461117610090285,0.0031969328125091,-30.829530556209143,-0.0030075187969924,0.45,0.0,1,230,10,2,-0.0116492484439989,1.1705931760515615,0.0
2006-01-03,2006,2005,20,0.2903032996166896,0.0842760057683374,0.2493265240704239,-0.0138466859348871,-3.128046049722996,-0.1518796992481203,0.85,0.0,1,180,1,2,-0.0120589891572977,0.9676375677688158,0.0
2007-01-03,2007,2006,19,0.2978590672525195,0.0887200239445409,0.2600821154321895,-0.0675976214659757,-4.637144944555227,-0.2378236297398824,0.4736842105263157,0.408248290463863,1,50,1,2,0.020549272730315,0.6681548298460179,0.0
2008-01-02,2008,2007,19,0.312089829610044,0.0974000617460263,0.2657168180316805,-0.1720474096771833,-3.539681322938491,-0.2356447897661363,0.0526315789473684,0.0,1,100,2,10,0.0455853652770263,0.6405415427034091,0.0
2009-01-02,2009,2008,19,0.2846134998453854,0.0810048442942392,0.2472126333409252,0.025241706992655,-0.5563555940814611,0.2947368421052631,0.5263157894736842,0.4780914437337574,2,180,10,2,0.0392376654052196,0.7458156669822961,0.0
2010-01-04,2010,2009,20,0.2940519658131796,0.0864665585985953,0.2515043071612251,-0.0401992011861096,-6.8777455223004935,0.0436090225563909,0.65,0.0,1,135,1,2,-0.1351948205786335,0.975441552439817,0.0
2011-01-03,2011,2010,20,0.3134558670000192,0.0982545805567337,0.2639874770665241,-0.1820099916599544,-5.310382412754521,-0.2526315789473684,0.65,0.4916891718944416,2,180,1,5,-0.1158855842057815,0.6326385170002307,0.0
2012-01-03,2012,2011,19,0.2952113651287532,0.087149750101182,0.2569746670821929,-0.0487019928842236,-5.031361773535104,0.0228070175438596,0.9473684210526316,0.0,1,50,1,2,-0.1496397879765554,0.6614004007303316,0.0
2013-01-02,2013,2012,20,0.3019985885435075,0.0912031474822707,0.255174293693835,-0.0971807215912268,-0.8621272398791495,-0.037593984962406,0.8,0.8885233166386386,5,50,10,2,-0.0667616132722765,0.7894161001874873,0.0
2014-01-02,2014,2013,20,0.2872775872866897,0.0825284121572616,0.2478692612863721,0.0071769966043712,-5.908191551117325,0.0571428571428571,0.7,0.3779644730092272,1,100,1,2,-0.1154789903979005,0.648619091926457,0.0
2015-01-02,2015,2014,19,0.2855637217518806,0.0815466391807854,0.2472200277424794,0.018722108524548,-11.192666912732877,0.4653206358799115,0.631578947368421,0.5477225575051661,1,100,2,10,-0.1478749648391972,0.7700490297714904,0.0
2016-01-04,2016,2015,19,0.2897308278991919,0.0839439526351511,0.2456369426811634,-0.0101255633763193,-2.867703805914565,0.2019315967026031,0.4736842105263157,,1,230,1,2,0.0530732945172245,1.1290974478429754,0.0
2017-01-03,2017,2016,20,0.2631008063188355,0.0692220342856214,0.2263560331614674,0.1672537228797426,-0.1152380657819078,0.3819548872180451,0.7,0.816496580927726,5,135,1,10,0.079763781676426,0.8621313321061297,0.0
2018-01-02,2018,2017,20,0.3208654136085138,0.1029546136501626,0.2665341670038265,-0.2385517431598518,-13.463708841140544,-0.1037593984962405,0.45,0.4494665749754947,2,100,1,2,0.2593474162049944,0.6022134032979598,0.0
2019-01-02,2019,2018,20,0.2494491801243544,0.0622248934647126,0.2134873982579326,0.2514298530560886,0.3561766468863753,0.5329202104182579,0.6,0.7608859102526822,1,180,2,2,0.084664815440538,0.5546564859132196,0.0
