rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_min_samples_split,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.3133577118297576,0.0981930555631813,0.2668656865595561,-0.1812698413615807,-4.478974287380646,-0.1548872180451127,0.5,0.0,2,50,2,5,0.0587058784706713,1.0,0.0
1998-04-01,1998,1997,20,0.2890088304418769,0.0835261040733815,0.2471878798340397,-0.0048253121609809,-15.203101039662318,0.1082706766917293,0.5,0.529150262212918,1,50,2,5,-0.2539294164600272,0.5315132720962178,0.0
1998-07-01,1998,1997,20,0.2752775379305216,0.0757777228890897,0.2329626947437259,0.0883882960711004,-10.47809294934959,0.4075187969924811,0.65,0.6793662204867574,1,50,10,2,-0.0050663416561598,0.5122064390105235,0.0
1998-10-01,1998,1997,20,0.2833751668392646,0.080301485181181,0.2445567006872488,0.033967095564739,0.3057618580538728,0.3804511278195489,0.55,,1,230,10,2,-0.0154970225879265,0.9333574366490748,0.0
1999-01-04,1999,1998,20,0.2714137392995051,0.0736654178805397,0.2342022216538158,0.1137994841438833,-10.88228422298041,0.3909774436090225,0.55,0.554700196225229,5,180,4,10,0.1546643225488743,0.7626384952829437,0.0
1999-04-01,1999,1998,20,0.294147283737225,0.0865226245299875,0.2589069269764462,-0.0408736785562409,-9.146904420023418,0.1323308270676691,0.5,0.4803844614152613,20,100,10,2,0.1115077325639846,0.6946516848915162,0.0
1999-07-01,1999,1998,20,0.2969079907965886,0.0881543549988671,0.2602323389171618,-0.060503518783364,-24.24639401277292,-0.1398496240601503,0.4,0.4364357804719847,1,50,10,2,0.0044942711500894,0.7824934277703779,0.0
1999-10-01,1999,1998,20,0.3071470807193652,0.0943393291944282,0.2682740711259738,-0.134909223391618,-2.34939244668747,-0.0781954887218045,0.5,0.4923659639173309,2,50,10,2,0.0638716622458772,0.7224896456469195,0.0
2000-01-03,2000,1999,20,0.2811049156125503,0.079019973581539,0.2521078932220877,0.0493837764626885,-5.250879650346842,0.2587439069779486,0.5,0.4898979485566356,1,50,2,10,0.082382607896473,0.6246261469339329,0.0
2000-04-03,2000,1999,20,0.3269066390526529,0.1068679506567014,0.2820659253005243,-0.2856294815843787,-8.243975528676563,-0.2309450405543803,0.55,0.4629100498862757,1,100,1,2,0.218766786540672,0.5409003523771762,0.0
2000-07-03,2000,1999,20,0.3129869722648482,0.0979608448075168,0.2698403762556985,-0.1784763285114807,-12.54527036999064,-0.0498873196112757,0.4,0.2659080117391552,1,180,10,2,-0.0923755667954262,0.3254549269733764,0.0
2000-10-02,2000,1999,20,0.3250326750326473,0.1056462398388785,0.270880147615634,-0.2709322085880121,-9.199107256895813,-0.0453431815251968,0.4,0.264575131106459,1,50,1,2,-0.3583063077967774,0.1562101817501515,0.0
2001-01-02,2001,2000,20,0.3136872002428926,0.0983996595962246,0.2721666474560049,-0.1837553034132284,-9.705071918851012,-0.3578947368421052,0.65,0.5773502691896257,1,230,1,2,-0.3958895414051675,0.594417808907372,0.0
2001-04-02,2001,2000,20,0.3119252894391447,0.0972973861916942,0.2663921930569431,-0.1704948714790286,-8.88525046547506,-0.1729323308270676,0.35,0.2672612419124244,20,100,1,5,-0.0734484656572256,0.6059878117483095,0.0
2001-07-02,2001,2000,20,0.3038471596735737,0.0923230964416982,0.2582419822396092,-0.110653791779828,-10.237941391707825,-0.3338345864661654,0.5,0.408248290463863,1,180,4,2,-0.0257120849716554,0.7331759616143754,0.0
2001-10-01,2001,2000,20,0.2432279885282419,0.0591598544034945,0.2175786994977911,0.2883025034166067,-2.686396452412025,0.7022556390977444,0.8,0.809173593712687,2,180,1,10,0.0435680197032177,0.6228866538279636,0.0
2002-01-02,2002,2001,20,0.2877330886936951,0.0827903303292138,0.2471103980601588,0.0040261013026909,-34.83921433940195,-0.0120300751879699,0.4,0.3631365196012814,2,100,10,10,0.0082142744310869,0.91796049454779,0.0
2002-04-01,2002,2001,20,0.3086349477905631,0.0952555309976836,0.2534045217557008,-0.145931199972134,-12.488253512228953,-0.1488721804511278,0.35,0.3429971702850177,2,230,1,5,-0.1487895396276541,0.3208662445691063,0.0
