rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.2865984566076528,0.0821386753298886,0.2475998528828494,0.0118655599411889,-0.4310621125754132,0.0481203007518796,0.5,0.0,3,200,5,0.04554458588502,0.9999999999999998,0.0
1998-07-01,1998,1997,20,0.2841487980466611,0.0807405394313622,0.2435584233118651,0.0286852399234618,-1.2224894148333307,0.3338345864661654,0.7,0.0,1,135,2,0.0017772531944585,0.4972633468269894,0.0
1999-01-04,1999,1998,20,0.2795415408959417,0.0781434730864774,0.2436803928819181,0.0599281433205717,-2.988439065109604,0.269172932330827,0.7,0.0,1,135,2,0.0050695805205024,0.8605749841025659,0.0
1999-07-01,1999,1998,20,0.2813302647241832,0.079146717849779,0.2363021995227282,0.0478590333861169,-1.874204731869347,0.1789473684210526,0.6,0.5656854249492381,3,135,5,0.036842749192403,0.4959105126888887,0.0
2000-01-03,2000,1999,20,0.2856283856461358,0.0815835746868177,0.2537461811488454,0.0185434624142231,-3.021607959046455,0.1864661654135338,0.5,0.502518907629606,4,135,5,0.0906232398459789,0.6641875458385881,0.0
2000-07-03,2000,1999,20,0.2960561667311392,0.0876492538595361,0.2621010418655465,-0.0544271140996825,-4.422795998383772,-0.031578947368421,0.3,0.282842712474619,5,100,5,0.0603806315328478,0.5704251291933762,0.0
2001-01-02,2001,2000,20,0.2987623985951017,0.0892589708142984,0.2546311334443493,-0.0737921300968231,-5.512003065917413,-0.2270676691729323,0.45,0.4879500364742666,3,100,4,0.0525856325604124,0.8638363389078044,0.0
2001-07-02,2001,2000,20,0.2961409743160743,0.0876994766688737,0.2574453459283063,-0.0550312982721654,-19.958833049482024,-0.1458646616541353,0.4,0.3481553119113957,2,200,5,0.0207224395709454,0.4745213755999086,0.0
2002-01-02,2002,2001,20,0.3018903196667437,0.0911377651084887,0.2637196605576167,-0.0963941667186611,-7.721078249081462,-0.6872180451127818,0.25,0.0,1,100,5,-0.04109411869306,0.5335489563769303,0.0
2002-07-01,2002,2001,20,0.2890158739322467,0.0835301753848203,0.2529463071661223,-0.0048742903437035,-19.03904044199473,0.0045112781954887,0.4,0.3779644730092272,1,200,2,-0.0133039026329655,0.3658494653331529,0.0
2003-01-02,2003,2002,20,0.2865208896375612,0.0820942201986995,0.2489687140998719,0.0124003585118855,-17.347282426626006,0.0631578947368421,0.85,0.0,1,100,2,-0.0332440595929717,0.6261924192621664,0.0
2003-07-01,2003,2002,20,0.2784873196198784,0.0775551871890642,0.2421327049709691,0.0670052668984747,-4.873020251009738,0.512781954887218,0.8,0.0,1,100,2,-0.0060690904351985,0.3558157586168062,0.0
2004-01-02,2004,2003,20,0.2953337882121596,0.0872220464597447,0.2559252075973298,-0.0492877769593353,-56.08379486582104,-0.4300751879699248,0.7,0.0,1,100,3,0.0032072031310848,0.7702815647719994,0.0
2004-07-01,2004,2003,20,0.317828053338952,0.1010146714892276,0.2753265968083924,-0.2152140931034909,-11.05407824742307,-0.544360902255639,0.4,0.0,4,100,5,0.0373947510417989,0.3878441988003481,0.0
2005-01-03,2005,2004,20,0.2807949731125725,0.0788458169252903,0.2429284349061807,0.0514788941318457,-28.97893959338696,0.3142857142857143,0.55,0.5,3,135,2,-0.0130621210843151,0.7703094302060265,0.0
2005-07-01,2005,2004,20,0.2876880541028302,0.082764416473473,0.2480615082017467,0.0043378469356631,-35.53595661792512,0.1353383458646616,0.6,0.4564354645876384,5,100,2,0.0387695954135982,0.7084793562756644,0.0
2006-01-03,2006,2005,20,0.2891159755171525,0.0835880472992347,0.249218222004408,-0.0055704938253799,-29.95289296903364,0.144360902255639,0.5,0.0,1,100,2,-0.0102790357548647,0.8005340614492384,0.0
2006-07-03,2006,2005,20,0.2934281219523124,0.0861000627524611,0.2564786490407905,-0.0357902286010358,-4.286498360033929,-0.0195488721804511,0.85,0.9176629354822472,5,200,2,0.006762360090487,0.6970223616616718,0.0
2007-01-03,2007,2006,19,0.2973182142591056,0.0883981205302234,0.2551571594542524,-0.0637240503803553,-23.854502753066527,-0.4964912280701754,0.5789473684210527,0.0,1,200,2,0.0013087182676256,0.6108721362561151,0.0
2007-07-02,2007,2006,19,0.2905395555719787,0.0844132333519628,0.2511828610714888,-0.0157725746686199,-12.32918389022722,-0.187719298245614,0.4736842105263157,0.0,1,135,2,-0.0073501334661303,0.3145333893166374,0.0
2008-01-02,2008,2007,19,0.2948420500692715,0.0869318344890508,0.25194577412596,-0.0460797416849116,-8.357851179615992,-0.3789473684210526,0.0526315789473684,0.0,2,200,5,0.0369103870488169,0.6544987999404757,0.0
2008-07-01,2008,2007,19,0.3015136364940966,0.0909104729918942,0.258502841587568,-0.0939560250024604,-4.602024420528171,-0.4456140350877193,0.1052631578947368,0.0,1,135,2,0.0396763458887382,0.6544087406596707,0.0
2009-01-02,2009,2008,19,0.3006309249925534,0.0903789530618782,0.2551488950222716,-0.0875600685112685,-11.699712233612528,-0.2508771929824561,0.4736842105263157,0.4522670168666454,4,100,4,0.0079876213111879,0.9520369349467924,0.0
2009-07-01,2009,2008,19,0.2979873623633682,0.0887964681282773,0.2567874472639947,-0.0685174998102704,-1.4717828171916012,-0.1824561403508772,0.7368421052631579,0.0,5,200,5,-0.0026958604250324,0.4259996969541711,0.0
2010-01-04,2010,2009,20,0.2870441632086175,0.0823943516321354,0.244036429337128,0.008789754801378,-19.100973187349343,-0.0781954887218045,0.05,0.0,1,100,5,-0.0150784609804965,1.030297137492845,0.0
2010-07-01,2010,2009,20,0.291547061399505,0.0849996890106867,0.2507622009725166,-0.0225526497526225,-0.8342997592012544,0.0872180451127819,0.9,0.0,1,200,2,-0.028455894005948,0.4540988964530345,0.0
2011-01-03,2011,2010,20,0.2986638729136647,0.0892001089837897,0.2567041660876354,-0.0730840178501017,-22.127206204040924,-0.6887218045112782,0.55,0.0,1,200,2,-0.0211256084182327,0.6211775645124425,0.0
2011-07-01,2011,2010,20,0.2842096040090854,0.0807750990110011,0.2435642390895832,0.0282694855819412,-9.641623240077138,0.2285714285714285,0.55,0.0,1,100,2,-0.0015630161240314,0.7995378167100095,0.0
2012-01-03,2012,2011,19,0.2868102702042792,0.0822601310946516,0.248573664369574,0.0101364224943584,-7.179874362776971,0.1508771929824561,0.8421052631578947,0.0,1,100,2,-0.0248146490600471,0.8963898519853999,0.0
2012-07-02,2012,2011,20,0.2831935018840436,0.0801985595093478,0.2454661918747063,0.0352052991356655,-21.370856152368127,0.2165413533834586,0.55,0.0,1,135,4,-0.009255300970429,0.6334630522630039,0.0
2013-01-02,2013,2012,20,0.2923148123843399,0.0854479495392918,0.2549365136874998,-0.0279452576155407,-7.761969853452419,-0.2827067669172932,0.85,0.0,1,200,5,-0.0047764300998207,0.8741998315895221,0.0
2013-07-01,2013,2012,20,0.2883186583097265,0.0831276487295208,0.2481259973935807,-3.186441528835182e-05,-6.290319092326348,0.0060150375939849,0.9,0.0,1,200,3,-0.0069910289435677,0.4891133811199624,0.0
2014-01-02,2014,2013,20,0.2896447416534835,0.0838940763675132,0.2500402204689804,-0.0092520465264749,-25.84483882651887,-0.1714285714285714,0.6,0.3333333333333333,1,200,2,-0.0526269702828803,0.8175552440589722,0.0
2014-07-01,2014,2013,20,0.2868727392153504,0.0822959685049184,0.2489692942821121,0.0099733112190262,-17.577434809566483,0.225563909774436,0.65,0.0,1,200,2,-0.0821414435655092,0.3370148057645242,0.0
2015-01-02,2015,2014,19,0.2854405399819175,0.0814763018651686,0.2472512959342638,0.0195685008891369,-27.692398901305214,0.2333333333333333,0.4210526315789473,0.0,1,200,2,-0.0655854916891416,0.4565405592421747,0.0
2015-07-01,2015,2014,19,0.2899155004673572,0.0840509974112381,0.251257801946062,-0.0114136688485662,-13.51386709258627,-0.0368421052631578,0.3684210526315789,0.0,1,100,3,-0.021107056422156,0.427189179414961,0.0
2016-01-04,2016,2015,19,0.3002638686924093,0.0901583908421324,0.2596920048038294,-0.0849059698003271,-11.437731729523286,-0.1614035087719298,0.5263157894736842,0.4885042104591972,3,135,2,0.0327979787836144,0.8589596815591877,0.0
2016-07-01,2016,2015,20,0.2585582154602972,0.0668523507820134,0.2256007277809344,0.1957611935998376,-3.525347605508898,0.5278195488721804,0.7,0.6900655593423543,5,100,3,0.0530276126353865,0.5006664853368819,0.0
2017-01-03,2017,2016,20,0.2777588238884829,0.0771499642479132,0.2486335901392888,0.071880129348412,-10.044599562259975,0.4105263157894736,0.75,0.5887840577551898,5,100,2,0.0411976387354404,0.5059261745403566,0.0
2017-07-03,2017,2016,20,0.289595276255354,0.0838654240294148,0.2472015632590431,-0.0089073567448398,-2.800449347441908,0.0090225563909774,0.65,,2,135,5,0.0616433009078485,0.4551762319879397,0.0
2018-01-02,2018,2017,20,0.2863088220091114,0.081972741560245,0.2519338117192347,0.0138617556662247,-14.792766722737978,0.0571428571428571,0.55,0.5318160234783105,4,100,3,0.080335678460222,0.4760238533293888,0.0
2018-07-02,2018,2017,20,0.3119275068103681,0.0972987695049322,0.2665162953077443,-0.1705115128412901,-16.143153633965838,-0.5067669172932331,0.35,0.3535533905932738,2,100,3,0.0366515321214189,0.3419325132720663,0.0
2019-01-02,2019,2018,20,0.2728898792788047,0.0744688862128006,0.2332884871632968,0.1041336996956315,-3.272936696773744,0.4556390977443608,0.6,,1,200,2,-0.004094313903614,0.3867988254745791,0.0
2019-07-01,2019,2018,20,0.2745768832110684,0.0753924647939046,0.2380521812593973,0.0930229799229512,-4.718790771499367,0.4030075187969925,0.65,0.5863019699779287,1,100,5,-0.0083653498428748,0.3390494910822677,0.0
2020-01-02,2020,2019,20,0.2848877644864657,0.0811610383540959,0.2424137955244026,0.0236266062665145,-7.218886134322837,0.156390977443609,0.65,0.6356417261637282,1,100,5,-0.0019869473473124,0.6086133469383954,0.0
2020-07-01,2020,2019,20,0.2892009110323345,0.0836371669419322,0.2455029737605674,-0.0061614068202373,-1.0753458612559523,0.1398496240601503,0.55,0.0,2,135,3,0.0271737629553824,0.4818927281376942,0.0
2021-01-04,2021,2020,20,0.2891335103797295,0.0835981868245051,0.2383810212474117,-0.0056924730767542,-2.2399746848558366,0.2902255639097744,0.8,0.7211102550927979,3,135,5,0.0834567829051832,0.5684537098200437,0.0
