rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.0,1.00001
1998-01-01,MSFT,0.36167,0.0
1998-01-01,XOM,0.0,0.0
1998-01-01,GE,0.0,0.0
1998-01-01,INTC,0.0,0.0
1998-01-01,MRK,0.0,0.0
1998-01-01,PG,0.05336,0.0
1998-01-01,IBM,0.055,0.0
1998-01-01,PFE,0.14454,0.0
1998-01-01,BMY,0.13789,0.0
1998-01-01,WMT,0.02338,0.0
1998-01-01,JNJ,0.0,0.0
1998-01-01,LLY,0.09422,0.0
1998-01-01,VZ,0.01265,0.0
1998-01-01,DIS,0.0,0.0
1998-01-01,AIG,0.0,0.0
1998-01-01,C,0.1173,0.0
1998-01-01,CSCO,0.0,0.0
1998-01-01,PEP,0.0,0.0
1998-01-01,T,0.0,0.0
1998-04-01,KO,0.0,0.6771874012564341
1998-04-01,MSFT,0.40008,0.0
1998-04-01,XOM,0.0,0.0
1998-04-01,GE,0.0,0.0
1998-04-01,INTC,0.0,0.0
1998-04-01,MRK,0.0,0.0
1998-04-01,PG,0.0,0.0
1998-04-01,IBM,0.0,0.0
1998-04-01,PFE,0.20894,0.0
1998-04-01,BMY,0.05409,0.0
1998-04-01,WMT,0.13735,0.0
1998-04-01,JNJ,0.0,0.0
1998-04-01,LLY,0.0,0.0
1998-04-01,VZ,0.04957,0.0
1998-04-01,DIS,0.0,0.0
1998-04-01,AIG,0.00629,0.0
1998-04-01,C,0.01186,0.0
1998-04-01,CSCO,0.0,0.0
1998-04-01,PEP,0.0,0.0
1998-04-01,T,0.13182,0.0
1998-07-01,KO,0.0,0.43948999412773915
1998-07-01,MSFT,0.355,0.0
1998-07-01,XOM,0.0,0.0
1998-07-01,GE,0.0,0.0
1998-07-01,INTC,0.0,0.0
1998-07-01,MRK,0.0,0.0
1998-07-01,PG,0.0,0.0
1998-07-01,IBM,0.0,0.0
1998-07-01,PFE,0.24465,0.0
1998-07-01,BMY,0.04483,0.0
1998-07-01,WMT,0.2219,0.0
1998-07-01,JNJ,0.0,0.0
1998-07-01,LLY,0.0,0.0
1998-07-01,VZ,0.00902,0.0
1998-07-01,DIS,0.0,0.0
1998-07-01,AIG,0.11048,0.0
1998-07-01,C,0.0,0.0
1998-07-01,CSCO,0.0,0.0
1998-07-01,PEP,0.0,0.0
1998-07-01,T,0.01412,0.0
1998-10-01,KO,0.0,0.709928533389503
1998-10-01,MSFT,0.46617,0.0
1998-10-01,XOM,0.00277,0.0
1998-10-01,GE,0.0,0.0
1998-10-01,INTC,0.0,0.0
1998-10-01,MRK,0.0,0.0
1998-10-01,PG,0.0,0.0
1998-10-01,IBM,0.0,0.0
1998-10-01,PFE,0.16405,0.0
1998-10-01,BMY,0.0,0.0
1998-10-01,WMT,0.0799,0.0
1998-10-01,JNJ,0.0,0.0
1998-10-01,LLY,0.0489,0.0
1998-10-01,VZ,0.04431,0.0
