rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.0,1.00001
1998-01-01,MSFT,0.36167,0.0
1998-01-01,XOM,0.0,0.0
1998-01-01,GE,0.0,0.0
1998-01-01,INTC,0.0,0.0
1998-01-01,MRK,0.0,0.0
1998-01-01,PG,0.05336,0.0
1998-01-01,IBM,0.055,0.0
1998-01-01,PFE,0.14454,0.0
1998-01-01,BMY,0.13789,0.0
1998-01-01,WMT,0.02338,0.0
1998-01-01,JNJ,0.0,0.0
1998-01-01,LLY,0.09422,0.0
1998-01-01,VZ,0.01265,0.0
1998-01-01,DIS,0.0,0.0
1998-01-01,AIG,0.0,0.0
1998-01-01,C,0.1173,0.0
1998-01-01,CSCO,0.0,0.0
1998-01-01,PEP,0.0,0.0
1998-01-01,T,0.0,0.0
1998-07-01,KO,0.0,0.825015232335876
1998-07-01,MSFT,0.355,0.0
1998-07-01,XOM,0.0,0.0
1998-07-01,GE,0.0,0.0
1998-07-01,INTC,0.0,0.0
1998-07-01,MRK,0.0,0.0
1998-07-01,PG,0.0,0.0
1998-07-01,IBM,0.0,0.0
1998-07-01,PFE,0.24465,0.0
1998-07-01,BMY,0.04483,0.0
1998-07-01,WMT,0.2219,0.0
1998-07-01,JNJ,0.0,0.0
1998-07-01,LLY,0.0,0.0
1998-07-01,VZ,0.00902,0.0
1998-07-01,DIS,0.0,0.0
1998-07-01,AIG,0.11048,0.0
1998-07-01,C,0.0,0.0
1998-07-01,CSCO,0.0,0.0
1998-07-01,PEP,0.0,0.0
1998-07-01,T,0.01412,0.0
1999-01-01,MSFT,0.15953,0.9176752422172543
1999-01-01,GE,0.0,0.0
1999-01-01,INTC,0.0,0.0
1999-01-01,WMT,0.25431,0.0
1999-01-01,XOM,0.0,0.0
1999-01-01,KO,0.0,0.0
1999-01-01,IBM,0.0,0.0
1999-01-01,MRK,0.0,0.0
1999-01-01,PFE,0.12188,0.0
1999-01-01,CSCO,0.0,0.0
1999-01-01,BMY,0.0,0.0
1999-01-01,PG,0.0,0.0
1999-01-01,C,0.0,0.0
1999-01-01,JNJ,0.0,0.0
1999-01-01,BAC,0.0,0.0
1999-01-01,LLY,0.0,0.0
1999-01-01,VZ,0.0,0.0
1999-01-01,HD,0.27956,0.0
1999-01-01,AIG,0.0,0.0
1999-01-01,T,0.18472,0.0
1999-07-01,MSFT,0.03689,1.0252999999999992
1999-07-01,GE,0.0,0.0
1999-07-01,INTC,0.0,0.0
1999-07-01,WMT,0.16498,0.0
1999-07-01,XOM,0.0,0.0
1999-07-01,KO,0.0,0.0
1999-07-01,IBM,0.14389,0.0
1999-07-01,MRK,0.0,0.0
1999-07-01,PFE,0.0,0.0
1999-07-01,CSCO,0.28828,0.0
1999-07-01,BMY,0.0,0.0
1999-07-01,PG,0.0,0.0
1999-07-01,C,0.0,0.0
1999-07-01,JNJ,0.0,0.0
1999-07-01,BAC,0.0,0.0
