rebalance_date,invest_year,select_year,ticker,assigned_weight,opt_method,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.0631,max_sharpe,1.00001,0.0
1998-01-02,1998,1997,MSFT,0.0983,max_sharpe,0.0,0.0
1998-01-02,1998,1997,XOM,0.05101,max_sharpe,0.0,0.0
1998-01-02,1998,1997,GE,0.1,max_sharpe,0.0,0.0
1998-01-02,1998,1997,INTC,0.05843,max_sharpe,0.0,0.0
1998-01-02,1998,1997,MRK,0.01,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PG,0.0391,max_sharpe,0.0,0.0
1998-01-02,1998,1997,IBM,0.07387,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PFE,0.07636,max_sharpe,0.0,0.0
1998-01-02,1998,1997,BMY,0.01502,max_sharpe,0.0,0.0
1998-01-02,1998,1997,WMT,0.01,max_sharpe,0.0,0.0
1998-01-02,1998,1997,JNJ,0.01,max_sharpe,0.0,0.0
1998-01-02,1998,1997,LLY,0.1,max_sharpe,0.0,0.0
1998-01-02,1998,1997,VZ,0.01947,max_sharpe,0.0,0.0
1998-01-02,1998,1997,DIS,0.01,max_sharpe,0.0,0.0
1998-01-02,1998,1997,AIG,0.0529,max_sharpe,0.0,0.0
1998-01-02,1998,1997,C,0.1,max_sharpe,0.0,0.0
1998-01-02,1998,1997,CSCO,0.04427,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PEP,0.01,max_sharpe,0.0,0.0
1998-01-02,1998,1997,T,0.05818,max_sharpe,0.0,0.0
1998-07-01,1998,1997,KO,0.1,max_sharpe,0.42491,0.0
1998-07-01,1998,1997,MSFT,0.1,max_sharpe,0.0,0.0
1998-07-01,1998,1997,XOM,0.04633,max_sharpe,0.0,0.0
1998-07-01,1998,1997,GE,0.1,max_sharpe,0.0,0.0
1998-07-01,1998,1997,INTC,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,MRK,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,PG,0.02563,max_sharpe,0.0,0.0
1998-07-01,1998,1997,IBM,0.06863,max_sharpe,0.0,0.0
1998-07-01,1998,1997,PFE,0.1,max_sharpe,0.0,0.0
1998-07-01,1998,1997,BMY,0.08489,max_sharpe,0.0,0.0
1998-07-01,1998,1997,WMT,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,JNJ,0.03387,max_sharpe,0.0,0.0
1998-07-01,1998,1997,LLY,0.0972,max_sharpe,0.0,0.0
1998-07-01,1998,1997,VZ,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,DIS,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,AIG,0.1,max_sharpe,0.0,0.0
1998-07-01,1998,1997,C,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,CSCO,0.06124,max_sharpe,0.0,0.0
1998-07-01,1998,1997,PEP,0.01,max_sharpe,0.0,0.0
1998-07-01,1998,1997,T,0.01221,max_sharpe,0.0,0.0
1999-01-04,1999,1998,MSFT,0.1,max_sharpe,0.550394,0.0
1999-01-04,1999,1998,GE,0.01732,max_sharpe,0.0,0.0
1999-01-04,1999,1998,INTC,0.03435,max_sharpe,0.0,0.0
1999-01-04,1999,1998,WMT,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,XOM,0.09401,max_sharpe,0.0,0.0
1999-01-04,1999,1998,KO,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,IBM,0.1,max_sharpe,0.0,0.0
1999-01-04,1999,1998,MRK,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,PFE,0.1,max_sharpe,0.0,0.0
1999-01-04,1999,1998,CSCO,0.06669,max_sharpe,0.0,0.0
1999-01-04,1999,1998,BMY,0.1,max_sharpe,0.0,0.0
1999-01-04,1999,1998,PG,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,C,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,JNJ,0.06306,max_sharpe,0.0,0.0
1999-01-04,1999,1998,BAC,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,LLY,0.0965,max_sharpe,0.0,0.0
1999-01-04,1999,1998,VZ,0.01529,max_sharpe,0.0,0.0
1999-01-04,1999,1998,HD,0.04279,max_sharpe,0.0,0.0
1999-01-04,1999,1998,AIG,0.01,max_sharpe,0.0,0.0
1999-01-04,1999,1998,T,0.1,max_sharpe,0.0,0.0
1999-07-01,1999,1998,MSFT,0.1,max_sharpe,0.397826,0.0
1999-07-01,1999,1998,GE,0.04343,max_sharpe,0.0,0.0
1999-07-01,1999,1998,INTC,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,WMT,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,XOM,0.1,max_sharpe,0.0,0.0
1999-07-01,1999,1998,KO,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,IBM,0.1,max_sharpe,0.0,0.0
1999-07-01,1999,1998,MRK,0.04513,max_sharpe,0.0,0.0
1999-07-01,1999,1998,PFE,0.09216,max_sharpe,0.0,0.0
1999-07-01,1999,1998,CSCO,0.1,max_sharpe,0.0,0.0
1999-07-01,1999,1998,BMY,0.1,max_sharpe,0.0,0.0
1999-07-01,1999,1998,PG,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,C,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,JNJ,0.1,max_sharpe,0.0,0.0
1999-07-01,1999,1998,BAC,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,LLY,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,VZ,0.05801,max_sharpe,0.0,0.0
1999-07-01,1999,1998,HD,0.01,max_sharpe,0.0,0.0
1999-07-01,1999,1998,AIG,0.02381,max_sharpe,0.0,0.0
1999-07-01,1999,1998,T,0.05746,max_sharpe,0.0,0.0
2000-01-03,2000,1999,MSFT,0.1,max_sharpe,0.755975,0.0
2000-01-03,2000,1999,CSCO,0.1,max_sharpe,0.0,0.0
2000-01-03,2000,1999,WMT,0.08373,max_sharpe,0.0,0.0
2000-01-03,2000,1999,GE,0.1,max_sharpe,0.0,0.0
2000-01-03,2000,1999,XOM,0.1,max_sharpe,0.0,0.0
2000-01-03,2000,1999,INTC,0.02107,max_sharpe,0.0,0.0
2000-01-03,2000,1999,C,0.01,max_sharpe,0.0,0.0
2000-01-03,2000,1999,IBM,0.03277,max_sharpe,0.0,0.0
2000-01-03,2000,1999,HD,0.06936,max_sharpe,0.0,0.0
2000-01-03,2000,1999,ORCL,0.01509,max_sharpe,0.0,0.0
2000-01-03,2000,1999,KO,0.01,max_sharpe,0.0,0.0
2000-01-03,2000,1999,PG,0.05844,max_sharpe,0.0,0.0
2000-01-03,2000,1999,MRK,0.01,max_sharpe,0.0,0.0
2000-01-03,2000,1999,AIG,0.01,max_sharpe,0.0,0.0
2000-01-03,2000,1999,JNJ,0.02566,max_sharpe,0.0,0.0
2000-01-03,2000,1999,QCOM,0.1,max_sharpe,0.0,0.0
2000-01-03,2000,1999,BMY,0.04321,max_sharpe,0.0,0.0
2000-01-03,2000,1999,PFE,0.01509,max_sharpe,0.0,0.0
2000-01-03,2000,1999,T,0.01,max_sharpe,0.0,0.0
2000-01-03,2000,1999,VZ,0.08557,max_sharpe,0.0,0.0
2000-07-03,2000,1999,MSFT,0.04702,max_sharpe,0.572806,0.0
2000-07-03,2000,1999,CSCO,0.1,max_sharpe,0.0,0.0
2000-07-03,2000,1999,WMT,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,GE,0.1,max_sharpe,0.0,0.0
2000-07-03,2000,1999,XOM,0.1,max_sharpe,0.0,0.0
2000-07-03,2000,1999,INTC,0.053,max_sharpe,0.0,0.0
2000-07-03,2000,1999,C,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,IBM,0.03999,max_sharpe,0.0,0.0
2000-07-03,2000,1999,HD,0.1,max_sharpe,0.0,0.0
2000-07-03,2000,1999,ORCL,0.06871,max_sharpe,0.0,0.0
2000-07-03,2000,1999,KO,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,PG,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,MRK,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,AIG,0.09092,max_sharpe,0.0,0.0
2000-07-03,2000,1999,JNJ,0.06402,max_sharpe,0.0,0.0
2000-07-03,2000,1999,QCOM,0.0389,max_sharpe,0.0,0.0
2000-07-03,2000,1999,BMY,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,PFE,0.1,max_sharpe,0.0,0.0
2000-07-03,2000,1999,T,0.01,max_sharpe,0.0,0.0
2000-07-03,2000,1999,VZ,0.02744,max_sharpe,0.0,0.0
2001-01-02,2001,2000,XOM,0.1,max_sharpe,0.541734,0.0
2001-01-02,2001,2000,GE,0.1,max_sharpe,0.0,0.0
2001-01-02,2001,2000,CSCO,0.1,max_sharpe,0.0,0.0
2001-01-02,2001,2000,PFE,0.1,max_sharpe,0.0,0.0
2001-01-02,2001,2000,WMT,0.1,max_sharpe,0.0,0.0
2001-01-02,2001,2000,MSFT,0.01,max_sharpe,0.0,0.0
2001-01-02,2001,2000,C,0.03573,max_sharpe,0.0,0.0
2001-01-02,2001,2000,INTC,0.01,max_sharpe,0.0,0.0
2001-01-02,2001,2000,MRK,0.0206,max_sharpe,0.0,0.0
2001-01-02,2001,2000,AIG,0.1,max_sharpe,0.0,0.0
2001-01-02,2001,2000,ORCL,0.07773,max_sharpe,0.0,0.0
2001-01-02,2001,2000,KO,0.01,max_sharpe,0.0,0.0
2001-01-02,2001,2000,JNJ,0.03896,max_sharpe,0.0,0.0
2001-01-02,2001,2000,IBM,0.06394,max_sharpe,0.0,0.0
2001-01-02,2001,2000,BMY,0.04222,max_sharpe,0.0,0.0
2001-01-02,2001,2000,VZ,0.01,max_sharpe,0.0,0.0
2001-01-02,2001,2000,T,0.01,max_sharpe,0.0,0.0
2001-01-02,2001,2000,HD,0.03122,max_sharpe,0.0,0.0
2001-01-02,2001,2000,LLY,0.02959,max_sharpe,0.0,0.0
2001-01-02,2001,2000,PG,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,XOM,0.1,max_sharpe,0.370549,0.0
2001-07-02,2001,2000,GE,0.09622,max_sharpe,0.0,0.0
2001-07-02,2001,2000,CSCO,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,PFE,0.1,max_sharpe,0.0,0.0
2001-07-02,2001,2000,WMT,0.1,max_sharpe,0.0,0.0
2001-07-02,2001,2000,MSFT,0.1,max_sharpe,0.0,0.0
2001-07-02,2001,2000,C,0.07452,max_sharpe,0.0,0.0
2001-07-02,2001,2000,INTC,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,MRK,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,AIG,0.1,max_sharpe,0.0,0.0
2001-07-02,2001,2000,ORCL,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,KO,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,JNJ,0.0309,max_sharpe,0.0,0.0
2001-07-02,2001,2000,IBM,0.1,max_sharpe,0.0,0.0
2001-07-02,2001,2000,BMY,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,VZ,0.05489,max_sharpe,0.0,0.0
2001-07-02,2001,2000,T,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,HD,0.05346,max_sharpe,0.0,0.0
2001-07-02,2001,2000,LLY,0.01,max_sharpe,0.0,0.0
2001-07-02,2001,2000,PG,0.01,max_sharpe,0.0,0.0
2002-01-02,2002,2001,MSFT,0.09307,max_sharpe,0.353608,0.0
2002-01-02,2002,2001,XOM,0.1,max_sharpe,0.0,0.0
2002-01-02,2002,2001,C,0.03966,max_sharpe,0.0,0.0
2002-01-02,2002,2001,WMT,0.1,max_sharpe,0.0,0.0
2002-01-02,2002,2001,GE,0.01,max_sharpe,0.0,0.0
2002-01-02,2002,2001,PFE,0.1,max_sharpe,0.0,0.0
2002-01-02,2002,2001,INTC,0.01,max_sharpe,0.0,0.0
2002-01-02,2002,2001,IBM,0.1,max_sharpe,0.0,0.0
