rebalance_date,ticker,assigned_weight,turnover
1998-01-02,INTC,0.1000040077164235,1.0000000000000002
1998-01-02,CSCO,0.1000040077164235,0.0
1998-01-02,MSFT,0.1000040077164235,0.0
1998-01-02,IBM,0.1000040077164235,0.0
1998-01-02,XOM,0.09834720504872643,0.0
1998-01-02,T,0.07909655655019864,0.0
1998-01-02,C,0.07625996122836866,0.0
1998-01-02,BMY,0.07346382225761743,0.0
1998-01-02,PEP,0.0410492344461503,0.0
1998-01-02,LLY,0.03994144923812874,0.0
1998-01-02,MRK,0.030801796417333067,0.0
1998-01-02,PFE,0.02807292544998616,0.0
1998-01-02,JNJ,0.02447697145896039,0.0
1998-01-02,PG,0.020689326287685838,0.0
1998-01-02,WMT,0.015950770864789098,0.0
1998-01-02,GE,0.014366789977272275,0.0
1998-01-02,AIG,0.014366789977272275,0.0
1998-01-02,KO,0.014366789977272275,0.0
1998-01-02,VZ,0.014366789977272275,0.0
1998-01-02,DIS,0.014366789977272275,0.0
1998-04-01,INTC,0.1000050109563715,0.4829350511696223
1998-04-01,CSCO,0.1000050109563715,0.0
1998-04-01,LLY,0.1000050109563715,0.0
1998-04-01,C,0.1000050109563715,0.0
1998-04-01,IBM,0.1000050109563715,0.0
1998-04-01,BMY,0.08211498165210881,0.0
1998-04-01,MRK,0.06713544453034889,0.0
1998-04-01,JNJ,0.057283268654771416,0.0
1998-04-01,DIS,0.045224852904980024,0.0
1998-04-01,MSFT,0.03506633841264941,0.0
1998-04-01,PEP,0.031720758623175395,0.0
1998-04-01,T,0.031617059346667246,0.0
1998-04-01,PG,0.030585741611336287,0.0
1998-04-01,PFE,0.025225386257710074,0.0
1998-04-01,AIG,0.015666852204065808,0.0
1998-04-01,WMT,0.015666852204065808,0.0
1998-04-01,VZ,0.015666852204065808,0.0
1998-04-01,KO,0.015666852204065808,0.0
1998-04-01,XOM,0.015666852204065808,0.0
1998-04-01,GE,0.015666852204065808,0.0
1998-07-01,INTC,0.10000637585057114,0.6252733563735763
1998-07-01,C,0.10000637585057114,0.0
1998-07-01,DIS,0.10000637585057114,0.0
1998-07-01,VZ,0.10000637585057114,0.0
1998-07-01,PFE,0.08533384714443165,0.0
1998-07-01,T,0.07573760236063727,0.0
1998-07-01,LLY,0.07439293731593646,0.0
1998-07-01,PEP,0.05134723049112187,0.0
1998-07-01,CSCO,0.04288936654461332,0.0
1998-07-01,IBM,0.04133479901635308,0.0
1998-07-01,MSFT,0.037276855754693874,0.0
1998-07-01,BMY,0.03424868368443079,0.0
1998-07-01,JNJ,0.02945095045539133,0.0
1998-07-01,WMT,0.02597272042866532,0.0
1998-07-01,XOM,0.022020918512721078,0.0
1998-07-01,MRK,0.020476741843869207,0.0
1998-07-01,PG,0.019408786354303046,0.0
1998-07-01,GE,0.016840981505328232,0.0
1998-07-01,KO,0.011621037592609454,0.0
1998-07-01,AIG,0.011621037592609454,0.0
1998-10-01,C,0.10000841402586372,0.7690261175536985
1998-10-01,PEP,0.10000841402586372,0.0
1998-10-01,WMT,0.10000841402586372,0.0
1998-10-01,DIS,0.09208555920882816,0.0
1998-10-01,CSCO,0.08722916104784993,0.0
1998-10-01,KO,0.06979669796426317,0.0
1998-10-01,INTC,0.066590481592766,0.0
1998-10-01,AIG,0.0626158619120624,0.0
1998-10-01,PFE,0.049158791155798624,0.0
1998-10-01,LLY,0.04532695588403455,0.0
1998-10-01,PG,0.04467871088876024,0.0
