rebalance_date,ticker,assigned_weight,turnover
1998-01-02,CSCO,0.10000610051319593,0.9999999999999999
1998-01-02,INTC,0.10000610051319593,0.0
1998-01-02,LLY,0.08901908146359692,0.0
1998-01-02,C,0.08542729071570243,0.0
1998-01-02,MSFT,0.08519279706525987,0.0
1998-01-02,IBM,0.07359346608883524,0.0
1998-01-02,BMY,0.06896167967570746,0.0
1998-01-02,PFE,0.06443492656360092,0.0
1998-01-02,VZ,0.04441887566733087,0.0
1998-01-02,WMT,0.039818421133607895,0.0
1998-01-02,PG,0.039758107077790206,0.0
1998-01-02,MRK,0.035753478367450416,0.0
1998-01-02,GE,0.029327961510091632,0.0
1998-01-02,AIG,0.029154402217954834,0.0
1998-01-02,T,0.02828266989273035,0.0
1998-01-02,DIS,0.027948535371768963,0.0
1998-01-02,JNJ,0.018094463967786974,0.0
1998-01-02,KO,0.017607195061549667,0.0
1998-01-02,PEP,0.012717997052241508,0.0
1998-01-02,XOM,0.01047645008060195,0.0
1999-01-04,C,0.10000944074257986,0.6050727906422074
1999-01-04,CSCO,0.10000944074257986,0.0
1999-01-04,HD,0.10000944074257986,0.0
1999-01-04,BAC,0.10000944074257986,0.0
1999-01-04,INTC,0.09896050406363842,0.0
1999-01-04,PFE,0.05905426932628197,0.0
1999-01-04,MSFT,0.058498270585839486,0.0
1999-01-04,AIG,0.05593630583523597,0.0
1999-01-04,WMT,0.05044485485484334,0.0
1999-01-04,LLY,0.04791349848983248,0.0
1999-01-04,VZ,0.04413748186777012,0.0
1999-01-04,IBM,0.039740037440508205,0.0
1999-01-04,T,0.028209431834047963,0.0
1999-01-04,MRK,0.026068496563321466,0.0
1999-01-04,GE,0.02480054034733672,0.0
1999-01-04,XOM,0.01805183824593774,0.0
1999-01-04,BMY,0.013419438279616001,0.0
1999-01-04,JNJ,0.011575756431823523,0.0
1999-01-04,KO,0.011575756431823523,0.0
1999-01-04,PG,0.011575756431823523,0.0
2000-01-03,ORCL,0.10000312875588957,0.6716750046496697
2000-01-03,CSCO,0.10000312875588957,0.0
2000-01-03,QCOM,0.10000312875588957,0.0
2000-01-03,WMT,0.09265870139643069,0.0
2000-01-03,INTC,0.07221895420989831,0.0
2000-01-03,MSFT,0.06678901398131548,0.0
2000-01-03,HD,0.06615293736623144,0.0
2000-01-03,C,0.057275461493270216,0.0
2000-01-03,PFE,0.053372338856451644,0.0
2000-01-03,GE,0.050022533682672336,0.0
2000-01-03,IBM,0.04192679042665201,0.0
2000-01-03,PG,0.040683744857114894,0.0
2000-01-03,VZ,0.037171581476410524,0.0
