rebalance_date,n_stocks,RMSE,MSE,MAE,R_squared,MAPE,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.3046083806466549,0.09278626556017742,0.23555557025742554,-1.176877706758062,0.8680186451012277,0.85,0.0
1998-07-01,20,0.27927720214205953,0.07799575563629679,0.21843583990264515,-0.3801924504799752,5.589174587473576,0.8,0.0
1999-01-04,20,0.17654625301199597,0.0311685794525757,0.14255850764133338,-0.10109401751839409,3.082310021227282,0.75,0.408248290463863
1999-07-01,20,0.29731782072107477,0.08839788651832917,0.22312042711606295,-0.20459056507676632,1.1306727141269202,0.6,0.0
2000-01-03,20,0.3248086574918901,0.10550066398168396,0.22517633932366582,-0.1705516870841155,1.43896273271426,0.45,0.0
2000-07-03,20,0.2775129333823351,0.07701342819446837,0.21375421965526983,-0.12041934904265927,1.4852127130424573,0.45,0.3741657386773941
2001-01-02,20,0.3019130558902106,0.09115149331696545,0.23441317970242564,-0.462363578744007,1.327607002548508,0.25,0.20965696734438366
2001-07-02,20,0.1215386626221464,0.014771646511979927,0.10090184204712863,-0.04920892336411864,1.2596708352802282,0.55,0.49236596391733095
2002-01-02,20,0.24565117569430758,0.06034450011999557,0.21081786850026046,-0.781948469269381,1.144716166501715,0.35,0.39528470752104744
2002-07-01,20,0.15129449810103215,0.022890025155643222,0.12471692583634272,-0.802378164983574,2.746924014546956,0.4,0.4472135954999579
2003-01-02,20,0.1183722221906647,0.014011982986356095,0.09643333296328284,-0.5532983077412514,1.0337813940013034,0.55,0.44280744277004763
2003-07-01,20,0.19380319014435396,0.03755967651012861,0.13865623698605795,-0.46079280662670086,1.1565418072699412,0.45,0.4898979485566356
2004-01-02,20,0.07812428372427949,0.00610340370743172,0.0642652982673447,-0.4905393217505205,1.521928367798664,0.5,0.5
2004-07-01,20,0.14662583468843762,0.021499135398081036,0.12664679883697555,0.007046258015212303,0.851793856018143,0.6,0.0
2005-01-03,20,0.10470663831039292,0.010963480106263442,0.08137918950601711,-0.27538654506217664,1.4250423735773907,0.4,0.2773500981126146
2005-07-01,20,0.10479447268942492,0.010981881506254624,0.08463795480402983,-0.2532947032770487,1.1231478873276761,0.35,0.3227486121839514
2006-01-03,20,0.1032647258832473,0.010663603611742203,0.08345645102071512,-0.06393952913664025,1.0701347126577987,0.55,0.3227486121839514
2006-07-03,20,0.1891956561393135,0.035794996301985356,0.16696700261770894,-3.0137345160428213,0.9612717685788532,0.7,0.8271701918685112
2007-01-03,19,0.09084331219004235,0.008252507369657497,0.06867333353279555,-0.29178484849037756,0.8948445825793276,0.6842105263157895,0.5310850045437944
2007-07-02,19,0.15797489340686818,0.024956066946911368,0.12657522113859196,-0.06389357482409141,1.0610524664992227,0.42105263157894735,0.3651483716701107
2008-01-02,19,0.2507828480189115,0.06289203686047647,0.21458213874109933,-1.2322478379971344,1.0632547167845143,0.3157894736842105,0.3227486121839514
2008-07-01,20,0.3992675780774911,0.15941459890386545,0.2872868652194035,-1.7346799561875184,1.0405202055129574,0.4,0.5423261445466404
2009-01-02,19,0.1806430239694311,0.03263190210882046,0.14746477375639352,-0.07259681398208584,1.198268355052744,0.631578947368421,0.6324555320336759
2009-07-01,19,0.21579749510667715,0.046568558894316346,0.19619897929318753,-4.066476187683753,3.7131090525073907,0.5789473684210527,0.0
2010-01-04,20,0.14894809912257914,0.02218553623222966,0.130830537575961,-1.400941508992212,1.262268742166186,0.25,0.45883146774112354
2010-07-01,20,0.20997125940285055,0.04408792977521916,0.17895409477623056,-1.2837851146114772,0.9169894981754932,0.7,0.0
