rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_max_features,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.28987590346036485,0.08402803940696277,0.24905802185405518,-0.01086363196346185,-0.4367581451010296,0.006015037593984962,0.6,0.0,2,135,4,0.5,0.049022876116483705,1.0,0.0
1998-07-01,1998,1997,20,0.28203139684622175,0.07954170880703101,0.24239440703436022,0.043107262471807295,-1.2061164014408505,0.33533834586466166,0.7,0.3933978962347216,1,100,2,sqrt,0.001160325886496394,0.5038769965544577,0.0
1999-01-04,1999,1998,20,0.2786423591646435,0.0776415643208382,0.24219164649901614,0.06596614350871344,-2.9846344199851855,0.27368421052631575,0.65,0.0,1,100,1,sqrt,0.004540024412168608,0.8466607065925194,0.0
1999-07-01,1999,1998,20,0.28418218435664977,0.08075951390571687,0.23955415706066524,0.02845697557032334,-1.8754030493543783,0.15939849624060148,0.6,0.5916079783099616,2,100,2,sqrt,0.04046412514376696,0.4109706341969264,0.0
2000-01-03,2000,1999,20,0.28557686882105165,0.08155414800563615,0.2562408790817071,0.01889746760136979,-3.073038486198228,0.17593984962406017,0.45,0.4494665749754947,2,135,5,0.5,0.07873839936392701,0.6825363575651283,0.0
2000-07-03,2000,1999,20,0.3019562647000948,0.0911775857916337,0.26353654744120153,-0.09687321253093151,-4.400509443128165,-0.3293233082706767,0.35,0.31622776601683794,1,135,1,sqrt,-0.0653761789600995,0.6055289584161785,0.0
2001-01-02,2001,2000,20,0.2886800347821103,0.0833361624818004,0.2457040217157321,-0.0025403005329367456,-5.300249426371456,0.007518796992481202,0.5,0.5345224838248488,1,100,1,0.5,0.030130696570845883,0.6295904691798727,0.0
2001-07-02,2001,2000,20,0.2946518826986177,0.08681973197783996,0.2560661827752816,-0.04444790349281136,-19.740946701033245,-0.11879699248120301,0.5,0.4605661864718383,1,200,1,0.5,0.017811594661440333,0.4554819562530312,0.0
2002-01-02,2002,2001,20,0.30331294962139016,0.09199874540802798,0.2647194330125043,-0.10675182445747966,-7.7176948561367205,-0.7458646616541353,0.25,0.23094010767585033,1,200,1,sqrt,-0.06649741089793815,0.6009217839090163,0.0
2002-07-01,2002,2001,20,0.287624482791917,0.08272784310131774,0.2507862209174276,0.004777827352568376,-19.011163225363784,0.05714285714285714,0.4,0.3779644730092272,1,200,1,sqrt,-0.03202835560603057,0.3836542565990073,0.0
2003-01-02,2003,2002,20,0.2881147641236662,0.08301011730603583,0.24731244600063002,0.0013820474461855303,-17.403971865641758,-0.0015037593984962405,0.85,0.0,1,200,1,sqrt,-0.03661216316023519,0.764297778073808,0.0
2003-07-01,2003,2002,20,0.2813140441382048,0.07913759142939185,0.243016884987778,0.04796882490957155,-4.909036664253057,0.5654135338345864,0.7,0.0,1,200,1,sqrt,-0.005422085991925174,0.5947177231311482,0.0
2004-01-02,2004,2003,20,0.28851759774419744,0.08324240420808252,0.25068365038415763,-0.0014123814506168397,-55.61801816401308,0.021052631578947364,0.7,0.0,1,100,1,0.5,0.0012570651786820708,0.7713784512917807,0.0
