rebalance_date,n_stocks,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.27703885647626303,0.07675052799767547,0.23956282525959,0.07668537747157322,0.44060150375939844,0.8,0.0
1999-01-04,20,0.27793145106129913,0.07724589148903932,0.23836289578616793,0.07072611742509094,0.3699248120300751,0.65,0.0
2000-01-03,20,0.30139313702093856,0.09083782304332225,0.26277232357086244,-0.09278584112267363,-0.5774436090225563,0.35,0.0
2001-01-02,20,0.28683843976850865,0.08227629052883235,0.2490135352267032,0.010210038750889106,0.02706766917293233,0.45,0.28867513459481287
2002-01-02,20,0.3068705814591454,0.09416955376507402,0.26737653632921793,-0.13286681221141672,-0.5218045112781955,0.45,0.6236095644623235
2003-01-02,20,0.28207654582181857,0.0795671777027685,0.24798707338871026,0.04280086974113073,0.1533834586466165,0.65,0.0
2004-01-02,20,0.2896992857973252,0.08392567619148028,0.25034427475045173,-0.009632194784725101,0.051127819548872175,0.7,0.0
2005-01-03,20,0.287069519266798,0.08240890889207053,0.24624980117013284,0.008614629869828194,0.10526315789473684,0.45,0.0
2006-01-03,20,0.28305392089984766,0.08011952213677723,0.243837844486901,0.03615612467034923,0.27368421052631575,0.8,0.5423261445466404
2007-01-03,19,0.29774249730215846,0.08865059469972585,0.2572312784131533,-0.06676215622003423,-0.29473684210526313,0.631578947368421,0.4879500364742666
2008-01-02,19,0.3061617985839318,0.09373504691214803,0.2627503430423582,-0.12794506450951482,-0.5789473684210525,0.05263157894736842,0.0
2009-01-02,19,0.28663087846649055,0.08215726049047209,0.24765400365170534,0.011374298764652346,0.20350877192982456,0.7368421052631579,0.0
2010-01-04,20,0.2954503156912456,0.08729088904205666,0.2539587192664458,-0.05011595840068139,-0.11278195488721804,0.65,0.0
2011-01-03,20,0.27738065931021666,0.07694003015937048,0.23847087223096164,0.07440565221809958,0.28721804511278193,0.8,0.6546536707079771
2012-01-03,20,0.2781903726026827,0.07738988340881944,0.2381632675359242,0.06899388380367599,0.21052631578947367,0.8,0.0
2013-01-02,20,0.2851372742396635,0.08130326516082506,0.2467065535033075,0.021915607087818922,0.21654135338345865,0.9,0.0
2014-01-02,20,0.28805717914183726,0.08297693845515251,0.24913429535208595,0.0017811915169620995,0.025563909774436087,0.65,0.36313651960128146
2015-01-02,19,0.2865201663411086,0.08209380572013654,0.24705595308116934,0.012137871167690273,0.1754385964912281,0.631578947368421,0.5477225575051661
2016-01-04,20,0.28735628088208703,0.08257363216238489,0.24836229393965628,0.00663299654273819,0.043625426176514596,0.7,
2017-01-03,20,0.26969395060196966,0.07273482699129766,0.2323629775461029,0.12499456251070473,0.5022556390977443,0.7,0.816496580927726
2018-01-02,20,0.2985324425441534,0.08912161925137824,0.2563916212240362,-0.07213978046770797,-0.23308270676691725,0.4,0.3892494720807615
2019-01-02,20,0.25942957138490147,0.06730370250895368,0.2209264071194082,0.1903313983885272,0.5533834586466165,0.6,0.7608859102526822
2020-01-02,20,0.284224261759441,0.08078343097269924,0.23454768346480023,0.02816925145624971,0.19248120300751878,0.5,0.0
2021-01-04,20,0.2831485312052904,0.08017309072371329,0.23924197823352836,0.03551169054179493,0.18045112781954886,0.7,0.5048781642974013
2022-01-03,20,0.3185151673717799,0.10145191184587295,0.26997073093736407,-0.22047412746914818,-0.6596465302897122,0.25,0.0
2023-01-03,20,0.2767279148258715,0.0765783388438748,0.2356992244647961,0.0787568259383481,0.4655886000562506,0.8,0.7211102550927979
2024-01-02,20,0.28465829192125897,0.08103034315952867,0.2436775076865379,0.02519887928386555,0.19255360519289202,0.55,0.5270462766947299
2025-01-02,20,0.26957379294749106,0.07267002984409678,0.22513834291279727,0.1257740770634974,0.47216349069750174,0.65,0.6846531968814576
