rebalance_date,n_stocks,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.28563826435932915,0.08158921806621,0.24773559190208286,0.01847557213581963,0.013533834586466165,0.9,0.0
1998-04-01,20,0.2875482877101537,0.08268401776504133,0.2500278118766191,0.00530504944311172,0.06766917293233082,0.75,0.0
1998-07-01,20,0.2860043402384327,0.08179848263522117,0.24665816798009993,0.015958103636437238,0.2955998704719006,0.35,0.0
1998-10-01,20,0.27901161412343073,0.07784748081576222,0.24118101929630123,0.06348895259233434,0.6526315789473683,1.0,
1999-01-04,20,0.2802985389065085,0.07856727091312347,0.24498524354930123,0.05482982360152211,0.5383458646616541,0.65,0.0
1999-04-01,20,0.28663363310575923,0.082158839627407,0.2473753616489062,0.011622981925930809,0.08872180451127819,0.65,0.0
1999-07-01,20,0.290688576560893,0.08449984854299815,0.25279818019661093,-0.01653953134433861,-0.11578947368421053,0.3,0.0
1999-10-01,20,0.2887875738630417,0.08339826281770178,0.24883262274415544,-0.0032873722430288854,0.012030075187969924,0.55,0.0
2000-01-03,20,0.28761619947412637,0.08272307819994046,0.25029304221228044,0.004835149474400446,0.045112781954887216,0.5,0.0
2000-04-03,20,0.29283934698560354,0.08575488314295472,0.25604724715617444,-0.031637691945319624,-0.13684210526315788,0.4,0.3779644730092272
2000-07-03,20,0.28950646692918286,0.08381399439381805,0.24884467037474972,-0.008288654361720882,-0.045112781954887216,0.45,0.28426762180748055
2000-10-02,20,0.2924802314032081,0.08554468576167415,0.2524580058543162,-0.029109001644200383,-0.1819548872180451,0.5,0.0
2001-01-02,20,0.2873887305066358,0.08259228242221574,0.2491836137694888,0.006408632514698143,0.18045112781954886,0.15,0.23570226039551584
2001-04-02,20,0.2774934755624499,0.07700262897972798,0.23878017528562365,0.07365258370252059,0.6406015037593984,0.7,0.0
2001-07-02,20,0.2942104277726365,0.08655977581015775,0.2527613615251675,-0.04132061125001796,-0.2541353383458646,0.4,0.2700308624336608
2001-10-01,20,0.27338981418088276,0.07474199049785761,0.23837406880176354,0.10084823461223924,0.5819548872180451,0.7,0.5345224838248488
2002-01-02,20,0.3019918367007227,0.09119906943387598,0.26222640658843677,-0.09713166236241788,-0.675187969924812,0.2,0.0
2002-04-01,20,0.3040173675262556,0.09242655975759437,0.2613965864035178,-0.11189846324925568,-0.7338345864661654,0.2,0.24253562503633297
2002-07-01,20,0.29060012199840934,0.0844484309054904,0.2524550981064134,-0.015920973299132335,0.029334338291104642,0.15,0.3244428422615251
2002-10-01,20,0.28065868071380723,0.07876929506001479,0.2415822065117692,0.052399457924634185,0.3759398496240601,0.6,0.3333333333333333
2003-01-02,20,0.28670069608328247,0.08219728913463871,0.24747384739048267,0.011160431462993059,0.08421052631578946,0.2,0.0
2003-04-01,20,0.28033977049583453,0.07859038692165717,0.24413803238344606,0.054551736280816,0.5759398496240601,0.9,0.0
2003-07-01,20,0.28327963267321493,0.08024735028747157,0.24492949216180535,0.034618342406357305,0.3398496240601503,0.65,0.47871355387816905
2003-10-01,20,0.2843869900728868,0.08087596012271622,0.24354707328462627,0.027056118824466457,0.27669172932330827,0.85,0.0
2004-01-02,20,0.2906413838955009,0.08447241403269196,0.25075854932757063,-0.016209492122610136,-0.13684210526315788,0.55,0.0
2004-04-01,20,0.28308440690656833,0.08013678143364356,0.2462392475927179,0.03594849403135569,0.38646616541353385,0.6,0.0
2004-07-01,20,0.297061497635399,0.08824553337738618,0.2585719017579584,-0.061600401532465154,-0.42255639097744363,0.45,0.0
2004-10-01,20,0.2943382620340672,0.08663501249723522,0.25720625266678565,-0.042225714252453805,-0.17593984962406017,0.7,0.41633319989322654
2005-01-03,20,0.28783368610807514,0.08284823085856192,0.2493152767232815,0.0033295535812100097,0.015037593984962403,0.3,0.0
2005-04-01,20,0.28578473605074634,0.08167291535959476,0.24763821767518665,0.017468687403371597,0.1744360902255639,0.6,0.0
2005-07-01,20,0.28416617333670113,0.08075041406882408,0.24462449341298603,0.028566447292341923,0.46917293233082696,0.4,0.0
2005-10-03,20,0.28894539620508486,0.08348944198811348,0.2503540801681844,-0.004384264518658476,0.09924812030075188,0.6,0.0
2006-01-03,20,0.2796503850099229,0.07820433783619811,0.24181968427407768,0.05919593580513538,0.4979315884284942,0.5,0.0
2006-04-03,20,0.2869804727477096,0.08235779173849889,0.2528034581238237,0.009229573070690167,0.16842105263157892,0.5,0.0
2006-07-03,20,0.2885485199976901,0.08326024839285735,0.24851800828985712,-0.0016270483351259468,0.060150375939849614,1.0,
2006-10-02,20,0.2827461007093112,0.07994535746631996,0.24280075352965805,0.03825133875103803,0.38796992481203,0.7,0.0
2007-01-03,19,0.29550967229231895,0.08732596641831374,0.2585684332464025,-0.050822462567041926,-0.4298245614035088,0.3157894736842105,0.2672612419124244
2007-04-02,19,0.292020145551772,0.08527576540807812,0.2575967510867468,-0.026151710410539986,-0.26590612476451797,0.8947368421052632,0.0
2007-07-02,19,0.29807183227493533,0.08884681719573717,0.2608062080582393,-0.06912336692203747,-0.5649122807017544,0.6842105263157895,0.0
2007-10-01,19,0.29148524914938145,0.08496365047167699,0.254878666261435,-0.022395927342512945,-0.243859649122807,0.3684210526315789,0.0
2008-01-02,19,0.30069142698113055,0.09041533425994856,0.2558915732572541,-0.08799785559471451,-0.368421052631579,0.2631578947368421,0.0
2008-04-01,20,0.2934438958380729,0.08610932000462576,0.25383760040111975,-0.03590159404061044,-0.26165413533834586,0.3,0.0
2008-07-01,20,0.28830301867222896,0.0831186305755196,0.250024371621466,7.662465540336783e-05,-0.08571428571428572,0.4,0.0
2008-10-01,20,0.29728462765867913,0.0883781498421595,0.2577825106177107,-0.06319578757485123,-0.3789473684210526,0.15,0.0
2009-01-02,19,0.28593988032774,0.08176161516184227,0.24376013613036754,0.016135230885831353,0.20175438596491227,0.15789473684210525,0.24253562503633297
2009-04-01,19,0.2905338128878242,0.08440989643113724,0.250977518917852,-0.01573242038801803,-0.34210526315789475,0.7894736842105263,0.0
2009-07-01,19,0.2924983010361311,0.08555525610902319,0.2525459954162449,-0.029514915178579404,-0.16842105263157894,0.8421052631578947,0.0
