rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
1998-01-02,1998,1997,CSCO,0.09914905207746776,1.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,BMY,0.09914905207746776,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,LLY,0.09834321606182571,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,C,0.09074946797393181,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,INTC,0.07633919334284908,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,IBM,0.07521074538478748,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,KO,0.06365359134519322,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,PEP,0.052705088352007094,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,AIG,0.052587506103273465,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,MSFT,0.05138843579602632,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,DIS,0.04508435928696331,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,T,0.040216993507629945,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,XOM,0.04006864699325435,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,PFE,0.03424407007184853,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,VZ,0.031130842290296445,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,GE,0.009995947867035563,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,JNJ,0.009995947867035563,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,MRK,0.009995947867035563,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,PG,0.009995947867035563,0.0,0.0,5,50,2,10,0.099546
1998-01-02,1998,1997,WMT,0.009995947867035563,0.0,0.0,5,50,2,10,0.099546
1999-01-04,1999,1998,C,0.10000536444070417,0.780728,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,BAC,0.10000536444070417,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,INTC,0.10000536444070417,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,CSCO,0.10000536444070417,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,HD,0.09417596055330231,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,AIG,0.08419313373182745,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,PFE,0.080471850281951,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,MSFT,0.0735540872048916,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,LLY,0.07243140239933638,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,WMT,0.0537630557620185,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,KO,0.014138905230385626,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,PG,0.014138905230385626,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,BMY,0.014138905230385626,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,T,0.014138905230385626,0.0,0.0,1,230,1,2,0.036495
1999-01-04,1999,1998,GE,0.014138905230385626,0.0,0.0,1,230,1,2,0.036495
