rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
1998-01-02,1998,1997,JNJ,0.10000440822513622,1.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,LLY,0.10000440822513622,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,VZ,0.09111833452567789,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,C,0.0761730092028845,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,INTC,0.06764328723254556,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,BMY,0.06469392199156299,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,MSFT,0.061516338334572256,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,CSCO,0.05269835905527103,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,IBM,0.05166592863483451,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,KO,0.04854637392206262,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,PEP,0.04749105497316316,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,XOM,0.039445735353601206,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,PFE,0.032961872004117286,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,MRK,0.03245360839190837,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,WMT,0.03059697305476464,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,PG,0.029981596920681763,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,GE,0.025738121411497762,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,AIG,0.02320790065795287,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,T,0.01404510238470666,0.0,0.0,1,230,1,5,-0.18117
1998-01-02,1998,1997,DIS,0.010013665497922326,0.0,0.0,1,230,1,5,-0.18117
1998-02-02,1998,1997,INTC,0.0988140105213311,0.390942,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,C,0.09611959803150037,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,IBM,0.07750793249491601,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,XOM,0.06936058948231465,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,PEP,0.06406786199392082,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,PFE,0.05837875009338571,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,KO,0.056087315104946245,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,JNJ,0.05607593475241412,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,MSFT,0.055948644287299135,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,CSCO,0.055301251559309775,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,BMY,0.048336732125254835,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,VZ,0.04605383617757938,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,LLY,0.04347105908522783,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,WMT,0.043030281330069836,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,AIG,0.03932093344615753,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,MRK,0.03263132062349805,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,PG,0.02950431190573669,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,DIS,0.009996545661712614,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,T,0.009996545661712614,0.0,0.0,1,100,4,2,-0.160449
1998-02-02,1998,1997,GE,0.009996545661712614,0.0,0.0,1,100,4,2,-0.160449
1998-03-02,1998,1997,PG,0.09529466568376341,0.4831,0.0,5,100,10,2,0.003479
1998-03-02,1998,1997,PEP,0.09145506257324776,0.0,0.0,5,100,10,2,0.003479
1998-03-02,1998,1997,LLY,0.0798763970321751,0.0,0.0,5,100,10,2,0.003479
1998-03-02,1998,1997,WMT,0.07219323025860805,0.0,0.0,5,100,10,2,0.003479
