rebalance_date,n_stocks,RMSE,MSE,MAE,R_squared,MAPE,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.18246983569156353,0.033295240937306195,0.15743815379570103,-1.3076553724482918,0.8560004599746847,0.85,0.0
1998-04-01,20,0.12341827595556305,0.015232070839843515,0.10184427490132111,-0.325248480339853,1.2856336007370763,0.65,0.0
1998-07-01,20,0.1925435244519059,0.03707300880836168,0.14618987870683872,-0.4138435952115247,1.2930323350410773,0.4,0.0
1998-10-01,20,0.21063436064907648,0.04436683388604522,0.1869233362553421,-3.594280534935529,0.7826876888610302,0.9,
1999-01-04,20,0.11401737945928217,0.01299996281876194,0.09599699171285761,0.10854280954804818,1.6581243255990863,0.65,0.3535533905932738
1999-04-01,20,0.15221147579478142,0.02316833336362533,0.11364465890500608,-0.003890242522377907,1.50410391492164,0.6,0.0
1999-07-01,20,0.10906520721070678,0.011895219423914407,0.07962434807342347,0.1269305144048517,1.2106061041444436,0.6,0.3333333333333333
1999-10-01,20,0.2376538679032677,0.05647936092938381,0.17133965044351113,-0.2546013355086705,0.9892621923304519,0.7,0.0
2000-01-03,20,0.24999007694621808,0.06249503857157603,0.18265986202857334,-0.08600729172989818,2.2124331988110333,0.3,0.0
2000-04-03,20,0.2555146175851399,0.06528771979968029,0.18660821271227776,-0.3232962481980355,2.8150724323539404,0.45,0.28426762180748055
2000-07-03,20,0.15682353984252662,0.02459362264874053,0.11411257085464228,-0.17586664811399433,1.0877355066799785,0.65,0.6000000000000001
2000-10-02,20,0.24094490543982758,0.058054447457407454,0.19929268121811428,-0.3734654459830993,3.636089002892035,0.35,0.0
2001-01-02,20,0.28555940910735594,0.0815441761297423,0.2149253199588506,-1.4669243621883727,1.2194308962095444,0.35,0.48507125007266594
2001-04-02,20,0.17669157918578762,0.03121991415516746,0.13429132614905334,-1.227038688932598,1.3670310011693947,0.55,0.46291004988627577
2001-07-02,20,0.1702405981226429,0.028981861249155205,0.13837708342035693,-0.05405061374776032,1.0047981159054982,0.65,0.6356417261637282
2001-10-01,20,0.1987032034694919,0.0394829630690383,0.15200132259460225,-0.10032294011806897,1.0253882616255252,0.75,0.46770717334674267
2002-01-02,20,0.10577093727165685,0.011187491171324768,0.08669782696587157,-0.3291147606336762,1.1799441443170744,0.4,0.4193139346887673
2002-04-01,20,0.2037254293473415,0.04150405056275863,0.16643435202411733,-1.782763711715964,1.3599288263233549,0.3,0.42008402520840293
2002-07-01,20,0.21958539627595564,0.04821774625766847,0.1937003975106874,-5.558371338102055,1.682339290411307,0.2,0.39735970711951313
2002-10-01,20,0.13898379519361245,0.019316495326420016,0.1106033408943736,-0.08885970633713947,1.057042942587931,0.5,0.4605661864718383
2003-01-02,20,0.08384953705052509,0.007030744863587379,0.067215421372288,-1.3317606901111425,3.23231481450238,0.35,0.34815531191139565
2003-04-01,20,0.13372950728925917,0.01788358111982802,0.11198945319294293,-1.8060009960986312,1.5968104758619588,0.35,0.5619514869490163
2003-07-01,20,0.113610810032949,0.012907416156342824,0.079651870288176,-0.024064386009730487,1.0352362134333102,0.5,0.5103103630798288
2003-10-01,20,0.1229953996068399,0.015127868324446233,0.1043634242392963,-0.902127844827971,0.919052605168145,0.7,0.8043996665398437
2004-01-02,20,0.06893546675562906,0.004752098576816439,0.05259246520137043,-0.1471951403641818,1.3312207735587864,0.45,0.4494665749754947
2004-04-01,20,0.06945491075947852,0.004823984628607124,0.06014931020307045,-0.09048437874189297,4.293120315592344,0.55,0.0
2004-07-01,20,0.13287168491569154,0.01765488465233481,0.09563656010782254,-0.13148122832741094,1.1718573905387077,0.4,0.0
2004-10-01,20,0.11752009739377224,0.013810973291441712,0.08839907229190903,-0.38466738831085046,1.0123644570291543,0.75,0.46770717334674267
2005-01-03,20,0.0953710829853946,0.009095643469807024,0.08353743206203289,-0.40351311510219134,1.2455657155207185,0.3,0.2581988897471611
2005-04-01,20,0.06242349974981085,0.0038966933210146356,0.046237497606273346,-0.06943954589812273,1.0178035823664762,0.5,0.3144854510165755
2005-07-01,20,0.07912254797759884,0.00626037759846743,0.06331903448011539,-0.21651129210726472,1.0561114062958836,0.25,0.25
2005-10-03,20,0.0867814054095939,0.007531012324864294,0.0748870259292011,-0.10043797999424053,0.9503419361842429,0.55,0.5135525910130955
2006-01-03,20,0.08692905532278522,0.007556660659311852,0.0559395502144728,-0.055263282126098545,1.3133884826319449,0.45,0.28284271247461906
2006-04-03,20,0.07235893611074741,0.005235815635079225,0.05536448850807781,-0.22143074482764424,0.9137599866866168,0.6,0.4472135954999579
2006-07-03,20,0.11873772975319397,0.014098648466942523,0.10477659780578759,-3.6484986479237973,0.9592974921538042,0.65,
