rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_leaf,best_max_features,val_R2_selected
1998-01-02,1998,1997,CSCO,0.1000036411184333,1.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,INTC,0.1000036411184333,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,BMY,0.09618858431268551,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,C,0.09535739885091181,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,LLY,0.09036139674747365,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,IBM,0.07073341336615621,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,MSFT,0.05981003902294975,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,T,0.049728078498870266,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,PFE,0.048132941381673046,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,AIG,0.04323234542741469,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,GE,0.04037831686561205,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,PG,0.03857027362741068,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,WMT,0.03746096004222781,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,DIS,0.03288032075723138,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,MRK,0.02398088802568223,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,PEP,0.023843479552162282,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,XOM,0.01367978268772104,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,JNJ,0.012810056876869818,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,VZ,0.011422220860040617,0.0,0.0,2,135,4,0.5,0.049023
1998-01-02,1998,1997,KO,0.011422220860040617,0.0,0.0,2,135,4,0.5,0.049023
1998-07-01,1998,1997,INTC,0.10000914305169414,0.503877,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,DIS,0.10000914305169414,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,C,0.10000914305169414,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,PFE,0.09627218451206675,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,LLY,0.0734609570393016,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,T,0.07308533783723273,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,MSFT,0.07083597050713131,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,IBM,0.058327062341447,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,PEP,0.05750878145053523,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,CSCO,0.056274239375722776,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,BMY,0.04911243805935292,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,VZ,0.04789166505402557,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,MRK,0.0257832665008344,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,WMT,0.02020970445773389,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,JNJ,0.01438610746211193,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,XOM,0.013110322043908053,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,PG,0.01188533156647398,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,KO,0.010609734212346494,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,GE,0.010609734212346494,0.0,0.0,1,100,2,sqrt,0.00116
1998-07-01,1998,1997,AIG,0.010609734212346494,0.0,0.0,1,100,2,sqrt,0.00116
1999-01-04,1999,1998,C,0.10000631588994478,0.846661,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,BAC,0.10000631588994478,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,CSCO,0.10000631588994478,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,INTC,0.10000631588994478,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,HD,0.10000631588994478,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,AIG,0.0820880485342461,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,MSFT,0.06693765781420087,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,WMT,0.06065358706667739,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,LLY,0.05026281220139323,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,PFE,0.04272201490325541,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,KO,0.041296177555881976,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,MRK,0.03125444253427638,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,VZ,0.03004880825743475,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,IBM,0.016356531305205497,0.0,0.0,1,100,1,sqrt,0.00454
1999-01-04,1999,1998,XOM,0.015457329924724839,0.0,0.0,1,100,1,sqrt,0.00454
