rebalance_date,n_stocks,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.28587356057461627,0.08172369263560879,0.24754554941623358,0.016857832955082253,0.051127819548872175,0.7,0.0
1998-02-02,20,0.28958084261630984,0.08385706441037202,0.2498984133334557,-0.008806789899212353,-0.02857142857142857,0.75,0.0
1998-03-02,20,0.28621822625193916,0.08192087303880624,0.2475655069731232,0.014485737879022853,0.15939849624060148,0.8,0.0
1998-04-01,20,0.2857573277737304,0.08165725037638322,0.24498053689184923,0.017657138329224553,0.18045112781954886,0.45,0.0
1998-05-01,20,0.28735648168882305,0.08257374756857891,0.24724062219923026,0.006631608197547045,0.14736842105263157,0.4,0.0
1998-06-01,20,0.2849315273844896,0.08118597529765817,0.2447639489737206,0.02332661296050309,0.2150375939849624,0.75,0.0
1998-07-01,20,0.28555584870031603,0.08154214272695777,0.24804383876886676,0.019041892006523287,0.1819548872180451,0.5,0.0
1998-08-03,20,0.28979456110954754,0.08398088764867527,0.2522673877130938,-0.010296392766018236,-0.13233082706766916,0.05,0.0
1998-09-01,20,0.29313218514156086,0.08592647796586632,0.25462544754098915,-0.03370199056681278,-0.3037593984962406,0.55,0.0
1998-10-01,20,0.27972956589719916,0.0782486300370355,0.2449464966289015,0.058663097298821354,0.5263157894736841,1.0,
1998-11-02,20,0.2891918747363988,0.08363194041355297,0.252168732502838,-0.0060985312908627964,0.022556390977443608,0.85,0.0
1998-12-01,20,0.28736076636575436,0.08257621004631366,0.24851296054647803,0.006601984405249284,0.13383458646616542,0.7,0.0
1999-01-04,20,0.2855794238863062,0.08155560734723456,0.24641664071589883,0.018879911612215916,0.12781954887218044,0.8,0.0
1999-02-01,20,0.2859292439354623,0.08175553253750513,0.24605212018022868,0.01647479654129158,0.18045112781954886,0.45,0.0
1999-03-01,20,0.28494972363295645,0.08119634499849826,0.24786139232470505,0.023201864679719963,0.23458646616541348,0.8,0.0
1999-04-01,20,0.28314991657410554,0.08017387525592294,0.24394802072341348,0.035502252560325576,0.43909774436090226,0.55,0.0
1999-05-03,20,0.292295124634674,0.08543643988519961,0.25194721126638375,-0.02780679561142385,-0.306766917293233,0.15,0.0
1999-06-01,20,0.28278972920517764,0.0799700309439377,0.24630037511733302,0.03795451496014779,0.3609022556390977,0.85,0.0
1999-07-01,20,0.2898637821839994,0.08402101222201303,0.25181587328161,-0.010779094400156675,-0.10225563909774435,0.25,0.0
1999-08-02,20,0.2843878931882888,0.08087647379207354,0.24449367188089693,0.027049939343476326,0.22255639097744356,0.65,0.0
1999-09-01,20,0.2837220745126765,0.08049821556577677,0.24585850734856268,0.03160041424629456,0.26315789473684204,0.35,0.3651483716701107
1999-10-01,20,0.2867082528566597,0.0822016222561183,0.24868025160597668,0.011108303685794962,0.156390977443609,0.85,0.5601120336112039
1999-11-01,20,0.28781651757559756,0.08283834778934425,0.24769620064920436,0.0034484476469867076,0.05413533834586466,0.6,0.0
1999-12-01,20,0.2923038897190479,0.08544156394488532,0.2524480417076071,-0.02786843843471054,-0.27518796992481204,0.4,0.0
2000-01-03,20,0.28594295599482555,0.08176337408305875,0.24833774528221303,0.016380462158691822,0.20751879699248119,0.5,0.0
2000-02-01,20,0.2855385956454477,0.08153228960317449,0.24910562825301658,0.01916042582647226,0.2300751879699248,0.2,0.0
2000-03-01,20,0.2906679275598023,0.08448784411191047,0.2522668028937617,-0.016395117135765025,-0.2781954887218045,0.85,0.0
2000-04-03,20,0.28680170416543094,0.08225521751219536,0.24661963464663308,0.010463548725469507,0.20300751879699244,0.25,0.0
2000-05-01,20,0.296283643496652,0.08778399740365116,0.2556240207111641,-0.056048089066479845,-0.38947368421052625,0.45,0.0
2000-06-01,20,0.28913374032851863,0.08359831979635923,0.24955704652235955,-0.005694072738156031,0.016541353383458645,0.75,0.0
2000-07-03,20,0.283626982332097,0.08044426510681166,0.24598765993217042,0.032249442324070565,0.2706766917293233,0.45,0.0
2000-08-01,20,0.28783709541589947,0.0828501934974616,0.24772481996267653,0.0033059428876800467,0.10977443609022557,0.55,0.0
2000-09-01,20,0.2873560416397763,0.08257349466688084,0.24999930067145143,0.006634650623989935,-0.13533834586466165,0.6,0.0
2000-10-02,20,0.2913081908449299,0.08486046205334613,0.2522842045818777,-0.020877738987622463,-0.25864661654135335,0.45,0.0
2000-11-01,20,0.29064956143057685,0.08447716755978665,0.25228295230570524,-0.016266677410967434,-0.2706766917293233,0.45,0.0
2000-12-01,20,0.28980206201722625,0.08398523514943623,0.2519552126592669,-0.010348693527052477,-0.08270676691729321,0.5,0.0
2001-01-02,20,0.2782866140412711,0.07744343955455538,0.24013869252099274,0.068349599343695,0.8090225563909773,0.5,0.0
2001-02-01,20,0.2918898266396895,0.085199670895748,0.24996311944016575,-0.024958446866141237,-0.2045112781954887,0.15,0.0
2001-03-01,20,0.2963534767895195,0.08782538320523627,0.2578548754895338,-0.05654596337126305,-0.4195488721804511,0.15,0.0
2001-04-02,20,0.28526936897313193,0.08137861287432888,0.24855540481787147,0.021009168429126368,0.2781954887218045,0.8,0.0
2001-05-01,20,0.2886120750550964,0.08329692986760859,0.25072008004538393,-0.0020683292343888215,-0.04210526315789473,0.4,0.0
