rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.2942432382365621,0.0865790832479382,0.2477635306119919,-0.0415528811782042,0.5671863876242196,0.0586466165413533,0.45,0.0,0.05,1,1,0.001,300,1.0,1.0,0.0860739373420345,0.9999999990686774,0.0
1999-01-04,1999,1998,20,0.2793105272380635,0.078014370626005,0.2270964440703392,0.0614812556270075,-0.0268265829913525,0.3428571428571428,0.65,0.3631365196012814,0.005,5,3,0.001,200,1.0,1.0,0.0381194074163893,0.7053621340253132,0.0
2000-01-03,2000,1999,20,0.3341170156263762,0.1116341801310761,0.2958755314350128,-0.342967580524224,-3.408525947642172,-0.4511278195488721,0.2,0.1740776559556978,0.01,5,5,0.01,300,1.0,1.0,0.2140044995459208,0.8188215421112053,0.0
2001-01-02,2001,2000,20,0.2913602252055353,0.0848907808318202,0.2557103395462036,-0.0212424761722733,-5.209072902105658,0.0353384337625765,0.65,0.6614378277661477,0.05,1,1,0.001,100,1.0,1.0,0.1438059754556673,0.7388041740637606,0.0
2002-01-02,2002,2001,20,0.3110296548166434,0.0967394461753603,0.2733224582672119,-0.1637828111321546,-7.049785658553514,-0.3141045274034399,0.1,0.0,0.01,1,1,0.001,100,1.0,1.0,-0.0641531332407294,0.9520157284683786,0.0
2003-01-02,2003,2002,20,0.3225907441912468,0.1040647882378624,0.2766877269744873,-0.2519072269216531,-1.333052019413881,-0.4541353383458646,0.85,0.0,0.005,10,5,0.001,100,1.0,1.0,-0.0885360515571389,1.1642798589208898,0.0
2004-01-02,2004,2003,20,0.3105509962928051,0.0964419212984538,0.2632531240582466,-0.1602035644926778,-6.303382747870556,-0.3243040797671794,0.5,0.0,0.005,2,10,0.001,300,1.0,1.0,0.0292922882543715,0.7255814511100838,0.0
2005-01-03,2005,2004,20,0.2807775440379774,0.0788360292359983,0.2428041905164718,0.0515966407699449,-32.30775333712025,0.3400132682063906,0.45,0.0,0.01,1,1,0.001,200,1.0,1.0,-0.0173976618410649,0.7707950771570455,0.0
2006-01-03,2006,2005,20,0.299169506192917,0.0895023934357137,0.2583871096372604,-0.0767205225349025,-3.4646062478626583,-0.367856237362114,0.85,0.0,0.01,1,1,0.001,200,1.0,1.0,-0.013882664877568,0.7421855039757037,0.0
2007-01-03,2007,2006,19,0.2969746284805282,0.0881939299611477,0.2614132337623026,-0.0612669571991446,-4.906474513605972,-0.1520882794069872,0.6842105263157895,0.3779644730092272,0.01,1,1,0.001,200,1.0,1.0,0.0230854386335722,0.7066765058834525,0.0
2008-01-02,2008,2007,19,0.3123477884692802,0.0975611409616502,0.2614753261167257,-0.1739857295718578,-3.763966457966655,-0.072119864059204,0.2105263157894736,0.0,0.01,2,10,0.001,200,1.0,1.0,0.0503346603243501,0.7129129528481248,0.0
2009-01-02,2009,2008,19,0.2819958282387568,0.0795216471440624,0.2387529450605451,0.0430895126997815,-0.6344403271060892,0.2203688294450147,0.6842105263157895,0.560611910581388,0.01,2,10,0.001,200,1.0,1.0,0.0570873883059517,0.9620499652766354,0.0
2010-01-04,2010,2009,20,0.2930471710173336,0.0858766444412623,0.2467261743545531,-0.033102489518946,-7.842228537889008,0.3518478839839145,0.65,0.0,0.005,1,1,0.001,300,1.0,1.0,-0.0834045538131862,1.023085113492794,0.0
2011-01-03,2011,2010,20,0.3077724846426566,0.0947239023031143,0.2627526414394378,-0.1395356668043827,-6.527477457451469,-0.2084130073936799,0.65,0.0,0.005,2,1,0.001,100,1.0,1.0,-0.0684448084978797,0.7152574820368603,0.0
2012-01-03,2012,2011,19,0.2856187988953393,0.0815780982824163,0.2437186252707589,0.0183435506682571,-6.794593661082119,0.4131319759998696,0.9473684210526316,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.1059769819507445,0.6041400720477336,0.0
2013-01-02,2013,2012,20,0.2823640291886827,0.0797294449796672,0.2395502060651779,0.0408487821994917,-1.1729933455443944,0.2360902255639097,0.95,0.9733285267845752,0.005,5,10,0.01,200,1.0,1.0,-0.0451632306941527,0.5472786734714208,0.0
2014-01-02,2014,2013,20,0.2909265703903982,0.0846382693591193,0.2507101845741272,-0.0182047441698565,-7.689100672275339,-0.1393067454449263,0.65,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.0849958612670653,0.4239620521462281,0.0
2015-01-02,2015,2014,19,0.2875888357734828,0.0827073384615472,0.2424504643001714,0.004755027179381,-13.974173864106575,0.382768529537458,0.4736842105263157,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.0945676558764274,0.469899521220003,0.0
2016-01-04,2016,2015,19,0.2797390740482667,0.0782539495493816,0.2397068047952784,0.058344140422441,-2.9985336741127826,0.3299619694552027,0.631578947368421,,0.01,1,1,0.001,300,1.0,1.0,0.0117179310832118,0.9219033117240512,0.0
2017-01-03,2017,2016,20,0.261546764366266,0.0684067099504631,0.2237514436244965,0.1770621359342784,-0.1125460282032884,0.393984962406015,0.65,0.7817359599705717,0.01,5,1,0.001,200,1.0,1.0,0.0868708478567565,0.8824221758872992,0.0
2018-01-02,2018,2017,20,0.3150563808580914,0.0992605231193987,0.259990744292736,-0.1941115563235942,-13.576841270639814,-0.1386589828245318,0.45,0.4494665749754947,0.05,1,1,0.001,100,1.0,1.0,0.2418239876285712,0.6571987719795911,0.0
2019-01-02,2019,2018,20,0.2586117982993219,0.0668800622196091,0.2197894191741943,0.1954278229219949,0.2144090447722619,0.5359686091390132,0.6,0.7608859102526822,0.01,1,1,0.001,100,1.0,1.0,0.0599423898584778,0.6379889182168857,0.0
2020-01-02,2020,2019,20,0.2844892568430422,0.0809341372591064,0.2258519342541694,0.0263562434994713,-1.3417140196678083,0.2964997266644404,0.45,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.0555901226133879,0.8076205391969642,0.0
2021-01-04,2021,2020,20,0.2793819649424597,0.0780542823351098,0.2300349938869476,0.0610011147655962,0.1378908084439283,0.231578947368421,0.65,0.4850712500726659,0.005,5,10,0.01,300,1.0,1.0,0.2369499297600248,0.6829957086506543,0.0
2022-01-03,2022,2021,20,0.3363761743433476,0.1131489306658662,0.2824055877327919,-0.3611901433487665,-5.374820526639594,-0.6069283991335181,0.15,0.0,0.01,2,10,0.001,300,1.0,1.0,0.2227472613883337,0.5755158816958681,0.0
2023-01-03,2023,2022,20,0.2394071977837945,0.0573158063506888,0.1862341612577438,0.3104865401420885,0.3994299587612301,0.6481203007518795,0.75,0.6928203230275509,0.005,5,10,0.005,200,1.0,1.0,-0.0003486547717097,0.915306481790332,0.0
2024-01-02,2024,2023,20,0.2848104848392681,0.0811170122743789,0.2269345861673355,0.0241562433157418,0.4922118323697164,0.2365990944661981,0.65,0.0,0.005,1,1,0.001,300,1.0,1.0,0.0358659505398498,0.6169983232962146,0.0
2025-01-02,2025,2024,20,0.2524055105882164,0.0637085417752982,0.2096558278799057,0.2335814523272393,-1.3098437869814743,0.5654909344877662,0.7,0.6123724356957945,0.005,2,1,0.001,300,1.0,1.0,0.0985429704434296,0.4384095540757844,0.0
