rebalance_date,mom_1w,mom_1m,mom_3m,mom_6m,mom_12_1,ma_ratio,dist_52w_high,max_dd_12m,vol_1m,vol_6m,vol_12m,vol_ratio,bb_position,rsi,sharpe_6m
1998-01-02,0.10100603,0.0636296,0.05748254,0.02600068,0.09452217,0.050401036,0.06774046,0.056404296,0.08443547,0.11563783,0.029943468,0.04232713,0.06287561,0.089168504,0.058425114
1998-07-01,0.06561367,0.058073573,0.051981084,0.071383305,0.0704319,0.038498193,0.052216668,0.04398001,0.07218928,0.12218002,0.0731028,0.098211996,0.06509009,0.03478165,0.08226573
1999-01-04,0.04664991,0.030728519,0.042398904,0.090727545,0.07479862,0.051560953,0.082640275,0.051773053,0.09169067,0.061023504,0.0724014,0.13584605,0.05514726,0.07686742,0.03574594
1999-07-01,0.08985856,0.058369063,0.060039114,0.056556378,0.081108704,0.107386924,0.063496284,0.07356102,0.04941454,0.08502953,0.05515731,0.09815674,0.03562152,0.036301065,0.049943205
2000-01-03,0.0996896,0.080560684,0.050692778,0.043225043,0.062374923,0.1116913,0.05380997,0.05562213,0.12160551,0.075267285,0.041677732,0.04728971,0.025850423,0.044780098,0.0858627
2000-07-03,0.1453203,0.05515974,0.09502056,0.04239656,0.09016925,0.052181963,0.05728388,0.042456456,0.048081286,0.02748584,0.07181222,0.076367825,0.036653407,0.11335522,0.046255454
2001-01-02,0.077630974,0.05323758,0.04656842,0.04497562,0.06800868,0.07780352,0.062319517,0.116832905,0.067258544,0.11509091,0.07364124,0.051503923,0.031388815,0.039518427,0.074221015
2001-07-02,0.059154432,0.085368186,0.047683176,0.036711764,0.055231422,0.1123193,0.050499246,0.106277674,0.024079418,0.062821515,0.07444075,0.0577782,0.054754958,0.13347861,0.039401427
2002-01-02,0.11625871,0.08889622,0.07213762,0.031672984,0.09138576,0.07340869,0.045795772,0.08748617,0.025252083,0.042655807,0.0842895,0.052529603,0.09383546,0.044026975,0.050368644
2002-07-01,0.04141376,0.119702205,0.05660929,0.03035321,0.10399922,0.06800656,0.10221771,0.07386089,0.060933784,0.06907259,0.05976162,0.034448,0.07875374,0.031414445,0.06945296
2003-01-02,0.062950216,0.064570904,0.068103895,0.093006365,0.06743563,0.025736807,0.07622098,0.10324338,0.037417144,0.094082296,0.06917293,0.065338485,0.09650575,0.035491817,0.040723424
2003-07-01,0.0628652,0.07479252,0.07294872,0.08989765,0.07317596,0.040685363,0.07447076,0.046549346,0.08589152,0.07162757,0.057253335,0.060251184,0.057265915,0.0638522,0.068472736
2004-01-02,0.092977084,0.044036765,0.054024305,0.06937208,0.09051975,0.0743395,0.045861967,0.084247135,0.04915213,0.048498373,0.091689765,0.0908226,0.06549476,0.042342506,0.056621287
2004-07-01,0.09782844,0.047080066,0.052166604,0.0869456,0.09683933,0.050983,0.0524454,0.058560297,0.034315873,0.07983804,0.08101451,0.10059964,0.058722563,0.03950992,0.063150756
