rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2000-12-01,2000,1999,20,16.000000,32.000000,0.010000,0.044246,0.301723,0.091037,0.248728,-0.095183,-26.671606,0.004511,0.450000,0.424264,0.428117,0.000000
2001-01-02,2001,2000,20,16.000000,64.000000,0.010000,0.043710,0.296002,0.087617,0.253323,-0.054039,-7.338927,0.345865,0.500000,0.000000,0.528926,0.000000
2001-02-01,2001,2000,20,16.000000,32.000000,0.010000,0.042267,0.293070,0.085890,0.238548,-0.033267,-15.102958,0.120301,0.650000,0.656790,0.533580,0.000000
2001-03-01,2001,2000,20,16.000000,64.000000,0.010000,0.044235,0.335710,0.112701,0.290210,-0.355806,-17.405059,-0.600000,0.700000,0.000000,0.524607,0.000000
2001-04-02,2001,2000,20,16.000000,64.000000,0.010000,0.044485,0.316604,0.100238,0.272587,-0.205872,-8.522029,-0.339850,0.250000,0.250000,0.605276,0.000000
2001-05-01,2001,2000,20,16.000000,32.000000,0.010000,0.042574,0.306234,0.093779,0.273372,-0.128170,-145.468043,0.043609,0.350000,0.250000,0.436835,0.000000
2001-06-01,2001,2000,20,16.000000,32.000000,0.010000,0.040814,0.307359,0.094470,0.251604,-0.136477,-55.920872,0.075330,0.550000,0.531816,0.458041,0.000000
2001-07-02,2001,2000,20,16.000000,32.000000,0.010000,0.041066,0.268603,0.072147,0.238912,0.132062,-49.919317,0.535338,0.600000,0.603023,0.578322,0.000000
2001-08-01,2001,2000,20,16.000000,32.000000,0.010000,0.043654,0.341119,0.116362,0.271648,-0.399845,-29.021941,-0.196992,0.400000,0.000000,0.610514,0.000000
2001-09-04,2001,2000,20,16.000000,32.000000,0.010000,0.043849,0.288338,0.083139,0.247493,-0.000164,-25.256199,0.111278,0.600000,0.456435,0.603387,0.000000
2001-10-01,2001,2000,20,16.000000,64.000000,0.010000,0.044136,0.281072,0.079002,0.243929,0.049604,-10.747266,0.787970,0.350000,0.267261,0.587944,0.000000
2001-11-01,2001,2000,20,16.000000,64.000000,0.010000,0.043277,0.292401,0.085498,0.256029,-0.028552,-20.232641,0.055639,0.350000,0.256776,0.605602,0.000000
2001-12-03,2001,2000,20,16.000000,32.000000,0.010000,0.045123,0.363761,0.132322,0.302150,-0.591840,-88.182224,0.124812,0.650000,0.661438,0.429989,0.000000
2002-01-02,2002,2001,20,16.000000,32.000000,0.010000,0.045396,0.288724,0.083362,0.252855,-0.002849,-88.034491,-0.052632,0.400000,0.422577,0.726806,0.000000
2002-02-01,2002,2001,20,16.000000,32.000000,0.010000,0.045978,0.280177,0.078499,0.241363,0.055651,-32.766283,0.521805,0.500000,0.480384,0.497885,0.000000
2002-03-01,2002,2001,20,16.000000,32.000000,0.010000,0.045052,0.283245,0.080228,0.243207,0.034857,-63.070997,0.141353,0.400000,0.402015,0.687464,0.000000
2002-04-01,2002,2001,20,16.000000,64.000000,0.010000,0.044183,0.296944,0.088176,0.254004,-0.060763,-20.547005,0.030075,0.850000,0.000000,0.434629,0.000000
2002-05-01,2002,2001,20,16.000000,32.000000,0.010000,0.045276,0.294150,0.086524,0.259095,-0.040894,-88.754429,-0.013534,0.450000,0.408248,0.630519,0.000000
2002-06-03,2002,2001,20,16.000000,32.000000,0.010000,0.046461,0.314290,0.098778,0.265165,-0.188311,-29.675605,-0.413534,0.150000,0.000000,0.684630,0.000000
2002-07-01,2002,2001,20,16.000000,32.000000,0.010000,0.045091,0.279976,0.078387,0.242961,0.057003,-42.280208,0.267669,0.400000,0.422577,0.675074,0.000000
2002-08-01,2002,2001,20,16.000000,64.000000,0.010000,0.044815,0.296978,0.088196,0.256706,-0.061006,-27.727709,-0.154887,0.300000,0.258199,0.692897,0.000000
2002-09-03,2002,2001,20,16.000000,32.000000,0.010000,0.046198,0.286542,0.082106,0.251559,0.012253,-30.249891,0.254135,0.700000,0.504878,0.576270,0.000000
2002-10-01,2002,2001,20,16.000000,64.000000,0.010000,0.045777,0.280206,0.078515,0.245605,0.055454,-8.664370,0.284211,0.500000,0.529150,0.856101,0.000000
2002-11-01,2002,2001,20,16.000000,32.000000,0.010000,0.044522,0.294528,0.086747,0.253002,-0.043569,-24.669289,-0.048120,0.500000,0.500000,0.599195,0.000000
2002-12-02,2002,2001,20,16.000000,32.000000,0.010000,0.046369,0.288321,0.083129,0.250000,-0.000046,-40.192057,,0.150000,0.000000,0.459941,0.000000
2003-01-02,2003,2002,20,16.000000,32.000000,0.010000,0.043606,0.318568,0.101486,0.271409,-0.220880,-117.801310,-0.145865,0.000000,,0.892259,0.000000
2003-02-03,2003,2002,20,16.000000,64.000000,0.010000,0.044286,0.289746,0.083953,0.247949,-0.009955,-84.362452,0.347368,0.800000,0.000000,0.527769,0.000000
2003-03-03,2003,2002,20,16.000000,64.000000,0.010000,0.044628,0.306224,0.093773,0.258263,-0.128097,-72.363506,-0.022556,0.350000,0.433013,0.595295,0.000000
