rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,1,42,20,16,64,0.01,0.046780169010162354,0.2841927064892727,0.08076549442169789,0.24415399432182308,0.02838502951340882,-58.816373985650586,0.17293233082706763,0.5,0.5,0.9999999832361937,0.0
1998-02-02,1998,1997,1,42,20,16,32,0.01,0.0451958142220974,0.3602503900719465,0.1297803435469896,0.3111319482326507,-0.5612672907908525,-66.46644158380931,-0.5022556390977443,0.4,0.0,0.4984722427924203,0.0
1998-03-02,1998,1997,1,42,20,16,32,0.01,0.04234448820352554,0.30736202665199347,0.09447141542762073,0.26490140706300735,-0.1364982307082192,-22.14571939637257,-0.26917293233082706,0.45,0.5303300858899106,0.5227752689591828,0.0
1998-04-01,1998,1997,1,42,20,16,32,0.01,0.04739155247807503,0.288317075833951,0.08312673621744025,0.24999999999999994,-2.0886826348931464e-05,-38.29223790547949,,0.45,0.0,0.4422386213126958,0.0
1998-05-01,1998,1997,1,42,20,16,64,0.01,0.04321618378162384,0.28727095202745684,0.0825245998787614,0.2480727672576904,0.007222858601366511,-80.84292609030089,0.156390977443609,0.55,0.5400617248673217,0.40065611621183816,0.0
1998-06-01,1998,1997,1,42,20,16,64,0.01,0.04622389003634453,0.29756720639547773,0.08854624232200885,0.25854373574256895,-0.06521795274597109,-12.31285037017139,0.024060150375939848,0.5,0.529150262212918,0.4079184349675379,0.0
1998-07-01,1998,1997,1,42,20,16,32,0.01,0.04635106399655342,0.2757098857064936,0.07601594107628776,0.23135527193546293,0.08552251336796679,-66.57702376930922,0.2421052631578947,0.7,0.7035264706814485,0.48931950623570675,0.0
1998-08-03,1998,1997,1,42,20,16,64,0.01,0.04459959641098976,0.2892542631077051,0.08366802872598146,0.24712769210338595,-0.006532676402784432,-18.562397310436186,0.1609022556390977,0.15,0.3244428422615251,0.5894331552965343,0.0
1998-09-01,1998,1997,1,42,20,16,32,0.01,0.04603545740246773,0.2729703740837941,0.07451282512744647,0.23676416873931885,0.10360511124876437,-25.578300624397144,0.40751879699248117,0.65,0.6356417261637283,0.5419999722380712,0.0
1998-10-01,1998,1997,1,42,20,16,32,0.01,0.04408653452992439,0.2812489403275461,0.07910096643536758,0.2364986583590507,0.04840942634144252,-5.537807992073738,0.20751879699248119,0.5,,0.485978377720209,0.0
1998-11-02,1998,1997,1,42,20,32,32,0.01,0.046581901609897614,0.30773517891727287,0.09470094034324596,0.2639625024795532,-0.13925943270070307,-18.56347992714018,-0.12330827067669171,0.55,0.5940885257860046,0.3187236587909534,0.0
1998-12-01,1998,1997,1,42,20,16,32,0.01,0.043495263904333115,0.2886906141950891,0.08334227072433778,0.2574800771474838,-0.002613783149928439,-40.25678925057399,0.11278195488721804,0.55,0.5345224838248488,0.3043085449124431,0.0
1999-01-04,1999,1998,1,42,20,16,64,0.01,0.04455898702144623,0.29218996544745124,0.08537497590818274,0.24656098932027817,-0.02706737934655923,-18.351517632301483,-0.06616541353383458,0.35,0.4330127018922193,0.7224308158670835,0.0
1999-02-01,1999,1998,1,42,20,16,32,0.01,0.04385121539235115,0.25347468017163177,0.06424941348811102,0.2177599200606346,0.22707472495505554,-60.193326714698436,0.5819548872180451,0.7,0.6963106238227913,0.501122275055682,0.0
1999-03-01,1999,1998,1,42,20,16,32,0.01,0.04565633088350296,0.3144754409753096,0.09889480297661545,0.2767209678888321,-0.18971191550815591,-37.82968024476935,-0.03609022556390977,0.6,0.5590169943749475,0.4887731747089321,0.0
1999-04-01,1999,1998,1,42,20,16,32,0.01,0.04555460438132286,0.293347805611107,0.08605293505685183,0.25097009152173994,-0.03522327887942045,-21.362010764528613,0.045112781954887216,0.6,0.5945883900105632,0.4678599287091521,0.0
1999-05-03,1999,1998,1,42,20,16,32,0.01,0.046198565512895584,0.3064904934586355,0.0939364225805179,0.2681903091073036,-0.13006222653254618,-52.07095497474971,-0.2556390977443609,0.75,0.5239368319955838,0.5716635955797971,0.0
1999-06-01,1999,1998,1,42,20,16,64,0.01,0.044524867087602615,0.29121043151033815,0.08480351542043736,0.2542886286973954,-0.020192666712028462,-11.054032324912832,-0.003007518796992481,0.5,0.5601120336112039,0.5388734378560538,0.0
1999-07-01,1999,1998,1,42,20,16,32,0.01,0.04424360767006874,0.30158668508105757,0.090954528618181,0.26147682815790174,-0.09418981796307957,-51.99488403877941,-0.3984962406015037,0.7,0.0,0.51449631263173,0.0
1999-08-02,1999,1998,1,42,20,16,32,0.01,0.04555048048496246,0.278341982721108,0.07747425934511759,0.24347714185714717,0.0679788349459538,-27.715800718353098,0.3278195488721804,0.6,0.6546536707079771,0.6417078222032303,0.0
