rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_batch,best_lr,best_val_loss,run_number,seed
1998-01-02,1998,1997,LLY,0.10000592470169067,1.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,INTC,0.10000592470169067,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,CSCO,0.10000592470169067,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,C,0.08268699795007706,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,AIG,0.07513119280338287,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,IBM,0.06867075711488724,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,T,0.06583496183156967,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,VZ,0.06171335652470589,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,PG,0.057131581008434296,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,XOM,0.04788411781191826,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,DIS,0.044953085482120514,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,GE,0.04481442645192146,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,WMT,0.04020707309246063,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,MSFT,0.026337042450904846,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,BMY,0.025187579914927483,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,KO,0.018040044233202934,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,PEP,0.0103475172072649,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,PFE,0.0103475172072649,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,MRK,0.0103475172072649,0.0,0.0,16,32,0.01,0.034358,1,42
1998-01-02,1998,1997,JNJ,0.0103475172072649,0.0,0.0,16,32,0.01,0.034358,1,42
1998-07-01,1998,1997,CSCO,0.08611691743135452,0.426414,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,LLY,0.07583090662956238,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,VZ,0.07392697781324387,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,C,0.07145822793245316,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,DIS,0.0671093538403511,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,AIG,0.06574089080095291,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,XOM,0.06111397221684456,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,PFE,0.057999636977910995,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,T,0.05507966876029968,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,JNJ,0.05473390221595764,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,MSFT,0.05355077236890793,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,BMY,0.051753632724285126,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,GE,0.045072078704833984,0.0,0.0,16,64,0.01,0.03742,1,42
1998-07-01,1998,1997,PG,0.03920804709196091,0.0,0.0,16,64,0.01,0.03742,1,42
