rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,1,42,20,16,0.1,0.01,0.04752334579825401,0.3584660003470424,0.1284978734048058,0.2876710022985935,-0.545839078554055,-6.8332400883085676,0.10225563909774435,0.55,0.0,1.000000024214387,0.0
1998-04-01,1998,1997,1,42,20,16,0.1,0.01,0.04520905390381813,0.36656086104528446,0.13436686485026034,0.2990445601940155,-0.6164434869204252,-19.96302263827972,-0.06917293233082707,0.55,0.565685424949238,0.40494355610388766,0.0
1998-07-01,1998,1997,1,42,20,16,0.1,0.01,0.04761463403701782,0.339397479993211,0.11519064942574206,0.28496419861912725,-0.38575217354276137,-10.35066445135035,-0.1195938407252728,0.45,0.4447495899966607,0.703884809167882,0.0
1998-10-01,1998,1997,1,42,20,16,0.3,0.01,0.045753780752420425,0.27907684012854367,0.07788388269613272,0.23815348446369172,0.06305103523449362,0.4088796504494563,0.22113578096371195,0.35,,0.6002357243393304,0.0
1999-01-04,1999,1998,1,42,20,32,0.3,0.01,0.04765468090772629,0.35492350303908377,0.1259706930095345,0.30520200729370117,-0.5154369083853776,-12.44931366185944,0.0,0.35,0.33149677206589795,0.5964967472623011,0.0
1999-04-01,1999,1998,1,42,20,16,0.3,0.01,0.04573723301291466,0.31350420217043823,0.09828488477852301,0.24341768443584438,-0.18237455372659261,-9.945251165049998,0.10375939849624059,0.55,0.5135525910130955,0.37044224990578445,0.0
1999-07-01,1999,1998,1,42,20,16,0.3,0.01,0.04482053220272064,0.3022647093357319,0.0913639545098145,0.25301111578941343,-0.09911524222333212,-22.965898270498627,0.16691729323308271,0.55,0.5345224838248488,0.45841920967807426,0.0
1999-10-01,1999,1998,1,42,20,16,0.3,0.01,0.04464266076683998,0.32538197490967574,0.10587342959612087,0.2581011733412743,-0.2736653184495743,-2.112245076106304,-0.11729323308270674,0.55,0.5504818825631803,0.4972732221824929,0.0
2000-01-03,2000,1999,1,42,20,16,0.1,0.01,0.044595155864953995,0.3098983892395738,0.09603701165328239,0.25194224298000334,-0.15533247101693126,-4.15079566821265,0.013585002385551787,0.6,0.5656854249492381,0.6628127395944325,0.0
2000-04-03,2000,1999,1,42,20,16,0.3,0.01,0.04369557648897171,0.3963043022633821,0.15705709999246611,0.332771898508072,-0.889408721713878,-8.145487940556784,-0.47067669172932325,0.4,0.3779644730092272,0.6449046911061784,0.0
