rebalance_date,n_stocks,best_nodes,best_dropout,best_val_loss,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,25,0.1,0.07691877335309982,0.35634471828370534,0.1269815582486933,0.28912507623434064,-0.5275976932173627,-0.060150375939849614,0.4,0.44095855184409843
1998-04-01,20,25,0.3,0.07533279061317444,0.26556851157945616,0.07052663434252773,0.2309991478919983,0.1515592861049294,0.431578947368421,0.55,0.4898979485566356
1998-07-01,20,25,0.1,0.08232131600379944,0.26990976917405946,0.07285128349559404,0.2288361072540283,0.12359358200789117,0.27669172932330827,0.65,0.628970902033151
1998-10-01,20,25,0.3,0.08269424736499786,0.3018490893561039,0.0911128727451092,0.24878658413887025,-0.0960947097155993,-0.0781954887218045,0.75,
1999-01-04,20,25,0.3,0.08232387155294418,0.27115465626790375,0.07352484761576503,0.24166786462068562,0.11549055499831562,0.2601503759398496,0.45,0.39223227027636803
1999-04-01,20,25,0.1,0.07776754349470139,0.2937372332471569,0.08628156219569465,0.2248930121958256,-0.037973680549709954,0.193984962406015,0.65,0.6629935441317959
1999-07-01,20,25,0.1,0.08064591884613037,0.2944130434346436,0.08667904014444933,0.2598307460546493,-0.04275537015878861,0.013533834586466165,0.35,0.3450327796711771
1999-10-01,20,25,0.1,0.07906188070774078,0.2704263141550307,0.07313039138747537,0.22147853136062623,0.12023589308300309,0.4360902255639097,0.6,0.5945883900105632
2000-01-03,20,25,0.1,0.08212489634752274,0.2903488560944295,0.08430245823534374,0.2431598073244095,-0.014164911101879563,0.2827067669172932,0.55,0.5477225575051661
2000-04-03,20,25,0.1,0.07638555020093918,0.3559834203304964,0.12672419555019887,0.30198335483670236,-0.5245016006038963,-0.2120300751879699,0.6,0.4879500364742666
2000-07-03,20,25,0.1,0.07823367416858673,0.3801797208127079,0.1445366201172285,0.297641443759203,-0.7387864074253054,-0.30225563909774433,0.4,0.38924947208076144
2000-10-02,20,25,0.3,0.08041442930698395,0.31887624451624036,0.10168205931678112,0.27661785155534746,-0.22324281884849428,-0.1609022556390977,0.45,0.4242640687119285
2001-01-02,20,25,0.3,0.07765820622444153,0.3503210036834583,0.12272480562178563,0.28652168810367584,-0.476388639059075,0.022556390977443608,0.65,0.7817359599705717
2001-04-02,20,25,0.3,0.07835183292627335,0.268718110070283,0.07220942267974473,0.23166578114032746,0.1313152158827703,0.34586466165413526,0.4,0.4225771273642583
2001-07-02,20,25,0.1,0.08194378763437271,0.311767136572987,0.09719874744691953,0.2616164550185203,-0.16930823996294175,-0.27669172932330827,0.5,0.5
2001-10-01,20,25,0.1,0.08322487026453018,0.24635040706702963,0.0606885230620912,0.2138178044557571,0.269912504516196,0.6030075187969924,0.7,0.0
2002-01-02,20,25,0.1,0.0822615996003151,0.30382633724062635,0.09231044320105483,0.27235875099897383,-0.11050157234351654,-0.22406015037593985,0.45,0.46880723093849547
2002-04-01,20,25,0.1,0.08326748013496399,0.3242517252665546,0.10513918133833719,0.27641837745904924,-0.2648322567018009,-0.706766917293233,0.35,0.0
2002-07-01,20,25,0.1,0.08158065378665924,0.26696165974506764,0.07126852777384127,0.22342882305383682,0.1426342523447668,0.37744360902255636,0.65,0.7947194142390263
2002-10-01,20,25,0.3,0.0821579173207283,0.2949769572505138,0.08701140530877145,0.24221871256828303,-0.046753748075445856,0.29473684210526313,0.75,0.7521014330903549
2003-01-02,20,25,0.1,0.08221109956502914,0.29038378607872195,0.08432274321741294,0.25023529231548314,-0.014408940961358585,-0.013533834586466165,0.55,0.6123724356957945
2003-04-01,20,25,0.1,0.08126261085271835,0.26297542202657653,0.06915607259005604,0.22194960504770278,0.16804724703691976,0.3984962406015037,0.7,0.8271701918685112
2003-07-01,20,25,0.3,0.08488056063652039,0.2802744215481243,0.07855375137413569,0.23896254897117614,0.05499246467205188,0.3233082706766917,0.65,0.6614378277661477
2003-10-01,20,25,0.1,0.08240798115730286,0.263523786501509,0.0694447860520929,0.22757858037948608,0.16457400238083741,0.3037593984962406,0.5,0.42008402520840293
2004-01-02,20,25,0.3,0.08339063823223114,0.28730830673508756,0.08254606311898315,0.24849274605512614,0.006964654207721521,0.14285714285714285,0.5,0.4923659639173309
2004-04-01,20,25,0.3,0.08184953033924103,0.28359912687669675,0.08042846476522474,0.24688825011253357,0.03243952162135644,0.35639097744360904,0.45,0.4330127018922193
2004-07-01,20,25,0.1,0.08083518594503403,0.3275108659618635,0.10726336732308972,0.27129996001720424,-0.2903863738116055,-0.006015037593984962,0.35,0.3178208630818641
2004-10-01,20,25,0.1,0.07760000973939896,0.3534124484585678,0.12490035872547982,0.28191244959831235,-0.5025607064719375,-0.1263157894736842,0.4,0.4
2005-01-03,20,25,0.1,0.07947276532649994,0.3124452854104123,0.09762205637519397,0.2700618222355843,-0.174400678197822,-0.28872180451127816,0.3,0.3086066999241838
2005-04-01,20,25,0.1,0.07538460195064545,0.30321379340554544,0.09193860451138079,0.24554072052240375,-0.10602832494894177,0.2421052631578947,0.65,0.6123724356957945
2005-07-01,20,25,0.1,0.07773812860250473,0.36289379381886894,0.13169190559225177,0.2892793259024621,-0.5842635259218258,-0.29624060150375936,0.3,0.2282177322938192
2005-10-03,20,25,0.3,0.08334856480360031,0.2913477485397004,0.08488351057915251,0.25174945026636125,-0.021155014486045287,0.19248120300751878,0.6,0.60380736442456
