rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_lr,best_val_loss,run_number,seed
1998-01-02,1998,1997,CSCO,0.10000426322221756,1.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,T,0.10000426322221756,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,PEP,0.10000426322221756,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,PFE,0.08598621934652328,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,XOM,0.07261362671852112,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,MRK,0.06573382019996643,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,IBM,0.061082810163497925,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,AIG,0.05666152760386467,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,MSFT,0.04586072266101837,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,DIS,0.04098336771130562,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,INTC,0.03850308433175087,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,KO,0.0379798524081707,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,WMT,0.03546042740345001,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,JNJ,0.03364164009690285,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,BMY,0.030987579375505447,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,LLY,0.028636857867240906,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,GE,0.022115757688879967,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,C,0.017561228945851326,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,PG,0.015341158956289291,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-01-02,1998,1997,VZ,0.010837478563189507,0.0,0.0,16,0.1,0.01,0.04659,2,43
1998-02-02,1998,1997,PEP,0.10000156611204147,0.547954,0.0,16,0.3,0.01,0.046462,2,43
1998-02-02,1998,1997,VZ,0.09372654557228088,0.0,0.0,16,0.3,0.01,0.046462,2,43
1998-02-02,1998,1997,CSCO,0.09334680438041687,0.0,0.0,16,0.3,0.01,0.046462,2,43
1998-02-02,1998,1997,IBM,0.0783538892865181,0.0,0.0,16,0.3,0.01,0.046462,2,43
1998-02-02,1998,1997,AIG,0.07648628950119019,0.0,0.0,16,0.3,0.01,0.046462,2,43
1998-02-02,1998,1997,PG,0.07490567862987518,0.0,0.0,16,0.3,0.01,0.046462,2,43
1998-02-02,1998,1997,LLY,0.07416626811027527,0.0,0.0,16,0.3,0.01,0.046462,2,43
