rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,3,44,20,32,0.2,32,0.01,0.035148054361343384,0.42420561622475733,0.1799504048366261,0.3445624333620071,-1.1648169002902389,-8.234776531222147,0.13984962406015036,0.3,0.0,0.9999999906867743,0.0
1998-02-02,1998,1997,3,44,20,16,0.2,32,0.01,0.0346815399825573,0.2891995982953246,0.08363640765417713,0.24999999999999994,-0.006152272531454006,-50.68929201622844,,0.75,0.0,0.3779481931815532,0.0
1998-03-02,1998,1997,3,44,20,16,0.2,32,0.01,0.03525025025010109,0.34366465933078866,0.11810539807294704,0.2837968748807907,-0.4208168189226711,-10.413288413499217,-0.12481203007518797,0.2,0.0,0.43915153857868783,0.0
1998-04-01,1998,1997,3,44,20,32,0.2,32,0.01,0.03785242140293121,0.4006782587642161,0.1605430670463241,0.32717404142022133,-0.9313451674745754,-8.536941549828654,-0.11278195488721804,0.55,0.0,0.7021415697466773,0.0
1998-05-01,1998,1997,3,44,20,32,0.2,64,0.01,0.033343806862831116,0.4707380470038141,0.2215943088969651,0.3919733402132988,-1.6657961972567228,-9.921919313453465,-0.0706766917293233,0.6,0.0,0.8523424400857598,0.0
1998-06-01,1998,1997,3,44,20,32,0.2,64,0.01,0.046372123062610626,0.3183491636408303,0.10134618999081617,0.269240554869175,-0.2192022856038034,-7.320778120092134,-0.025563909774436087,0.25,0.0,0.5844357564484155,0.0
1998-07-01,1998,1997,3,44,20,16,0.2,64,0.01,0.04341582581400871,0.3014712606299556,0.09088492098581463,0.2516940605640411,-0.09335243291205564,-40.48633494578385,0.21052631578947367,0.45,0.0,0.3559912724268125,0.0
1998-08-03,1998,1997,3,44,20,16,0.2,32,0.01,0.038368262350559235,0.5666123986551861,0.3210496103097836,0.48771931980736544,-2.862250951095141,-0.45764656692884587,0.037593984962406006,0.95,0.0,0.5901708153907824,0.0
1998-09-01,1998,1997,3,44,20,16,0.2,32,0.01,0.04540461674332619,0.36748575014905677,0.13504577656261496,0.2939470790326595,-0.6246108458660447,-7.775328602068937,-0.007518796992481202,0.45,0.0,0.4439307712713919,0.0
1998-10-01,1998,1997,3,44,20,32,0.2,32,0.01,0.040057793259620667,0.3573033963100016,0.12766571701466206,0.29337968572974205,-0.5358281746124758,-0.5395001821702272,0.45563909774436084,0.0,,0.4965830293801462,0.0
1998-11-02,1998,1997,3,44,20,16,0.2,32,0.01,0.04615562781691551,0.463944744215633,0.2152447256853091,0.3832788047194481,-1.5894102338082297,-0.16330372092875955,-0.05263157894736842,0.15,0.0,0.5360841846302294,0.0
1998-12-01,1998,1997,3,44,20,32,0.2,32,0.01,0.03524250537157059,0.38557581622802545,0.14866871005990806,0.3184422914683819,-0.7884957601191946,-10.878861515376935,-0.4240601503759398,0.3,0.0,0.3632568911052709,0.0
1999-01-04,1999,1998,3,44,20,32,0.2,64,0.01,0.041348185390233994,0.41431337761132964,0.17165557486770824,0.33695464208722115,-1.0650294720927307,-2.3568064610694255,0.12481203007518797,0.2,0.0,0.6261982256303082,0.0
1999-02-01,1999,1998,3,44,20,32,0.3,32,0.01,0.038725703954696655,0.46305341074392475,0.21441846120158187,0.3862305335700512,-1.579470209943842,-7.416265641827229,-0.3443609022556391,0.55,0.0,0.318317798882777,0.0
1999-03-01,1999,1998,3,44,20,32,0.2,32,0.01,0.03930985927581787,0.38831954010421244,0.15079206522674707,0.3160699166357517,-0.8140398824270325,-7.501599655998451,0.0706766917293233,0.2,0.0,0.36878729409452776,0.0
1999-04-01,1999,1998,3,44,20,16,0.3,32,0.01,0.05043945834040642,0.291504031472592,0.08497460036477392,0.25180069804191585,-0.02225083145592688,-18.825837705833763,,0.45,0.0,0.5230916184178889,0.0
1999-05-03,1999,1998,3,44,20,32,0.2,64,0.01,0.042553018778562546,0.39284872870768384,0.15433012364724336,0.32015641003847123,-0.8566029912450328,-17.32770824095211,0.05714285714285714,0.85,0.0,0.371679584587674,0.0
1999-06-01,1999,1998,3,44,20,32,0.3,64,0.01,0.038684748113155365,0.47792007561307315,0.22840759867400556,0.39518347203731535,-1.7477605855519465,0.23358207134984832,0.021052631578947364,0.15,0.0,0.6585538704872961,0.0
1999-07-01,1999,1998,3,44,20,16,0.3,32,0.01,0.030599495396018028,0.44378725238566064,0.19694712538001405,0.36644640564918524,-1.369288726376109,-11.898640206087052,-0.24060150375939846,0.7,0.0,0.6940119833509604,0.0
1999-08-02,1999,1998,3,44,20,32,0.2,32,0.01,0.044386398047208786,0.39741172057566865,0.15793607565091333,0.3302308574318886,-0.8999828649733934,-6.672896852727849,0.10977443609022557,0.3,0.0,0.6411449338751185,0.0
1999-09-01,1999,1998,3,44,20,32,0.2,32,0.01,0.050091493874788284,0.3975278222968311,0.1580283695000609,0.32781138867139814,-0.901093166918026,-11.967843082992857,0.016541353383458645,0.75,0.0,0.4262577346201544,0.0
1999-10-01,1999,1998,3,44,20,32,0.2,32,0.01,0.043454188853502274,0.3317232742050582,0.11004033064932424,0.2757901838421822,-0.3237934514204419,-3.833642607453175,-0.0631578947368421,0.15,0.0,0.3745226230263348,0.0
1999-11-01,1999,1998,3,44,20,32,0.2,64,0.01,0.03991968557238579,0.36625469875257904,0.1341425043583424,0.2999334424734116,-0.6137444133334422,-14.580031707648544,0.2541353383458646,0.4,0.0,0.529553179289813,0.0
1999-12-01,1999,1998,3,44,20,16,0.2,32,0.01,0.04116938263177872,0.2869897001760134,0.08236308800711804,0.24720084369182588,0.009165858560985951,-13.651460807338204,0.4766917293233082,0.7,0.5773502691896257,0.5159892594092924,0.0
2000-01-03,2000,1999,3,44,20,32,0.2,64,0.01,0.03481966257095337,0.4118551064110322,0.16962462867684264,0.3411596119403839,-1.0405970367138964,-5.5281612956027555,-0.5172932330827067,0.5,0.0,0.7241501978455444,0.0
2000-02-01,2000,1999,3,44,20,32,0.2,64,0.01,0.036034028977155685,0.4306903688877636,0.18549419385267785,0.3586102113872767,-1.2315090989795832,-2.4498160568949277,0.6045112781954887,0.8,0.0,0.462012808250293,0.0
2000-03-01,2000,1999,3,44,20,16,0.3,32,0.01,0.037051908671855927,0.3345364314468015,0.11191462396516053,0.27306149512529376,-0.34634134093426194,-2.4263277875138036,0.4812030075187969,0.15,0.0,0.2717152619051662,0.0
2000-04-03,2000,1999,3,44,20,16,0.2,32,0.01,0.02288088947534561,0.38635630303727037,0.1492711928966271,0.31221784979104994,-0.7957436739443859,-12.470930043330412,-0.4360902255639097,0.75,0.0,0.1895337936928259,0.0
2000-05-01,2000,1999,3,44,20,32,0.2,32,0.01,0.026879478245973587,0.36836938683870674,0.13569600515992475,0.3042113706469536,-0.6324331447810496,-7.963539387548849,-0.6180451127819548,0.55,0.0,0.1444823223071912,0.0
2000-06-01,2000,1999,3,44,20,16,0.2,64,0.01,0.03805028274655342,0.42200854738852456,0.17809121406897258,0.3407510735094547,-1.1424506955665872,-5.377601502794754,-0.26917293233082706,0.25,0.0,0.5279976926389338,0.0
2000-07-03,2000,1999,3,44,20,32,0.2,32,0.01,0.03621945530176163,0.4369544482034063,0.19092918980474327,0.3584369204938412,-1.296892508929242,-8.325442664417995,-0.24360902255639094,0.55,0.0,0.4935801069844696,0.0
2000-08-01,2000,1999,3,44,20,32,0.2,64,0.01,0.0366804376244545,0.39887799192147166,0.15910365243930563,0.3195824560523033,-0.914028901525481,-4.840849147690458,-0.025563909774436087,0.45,0.0,0.3939980157976511,0.0
2000-09-01,2000,1999,3,44,20,32,0.2,32,0.01,0.03912113606929779,0.3005836915492661,0.09035055562538435,0.2606899824738503,-0.08692397744823266,-10.607286374804387,-0.013533834586466165,0.4,0.39528470752104744,0.8097190454629892,0.0
2000-10-02,2000,1999,3,44,20,32,0.3,32,0.01,0.04791567847132683,0.3625046748632993,0.13140963929774635,0.2979080629348755,-0.5808678411758961,-6.508701881288756,-0.14436090225563908,0.55,0.0,0.7495923388001111,0.0
2000-11-01,2000,1999,3,44,20,32,0.2,32,0.01,0.03337487205862999,0.3492230119051181,0.12195671204408227,0.281309926211834,-0.46714841556790687,-9.736448013656023,-0.09323308270676692,0.55,0.0,0.3848570286530863,0.0
2000-12-01,2000,1999,3,44,20,32,0.2,32,0.01,0.033881016075611115,0.4275459867366567,0.18279557077462144,0.34387459725141534,-1.1990444604465735,-4.75760798916931,-0.05263157894736842,0.5,0.0,0.472749340006825,0.0
2001-01-02,2001,2000,3,44,20,32,0.2,64,0.01,0.03147241845726967,0.5234123184888411,0.273960455145864,0.44042477242648603,-2.2957648739352052,-0.08285868103522764,0.09172932330827067,0.5,0.0,0.7579775816389004,0.0
2001-02-01,2001,2000,3,44,20,16,0.2,32,0.01,0.03669968992471695,0.344493143331765,0.11867552580259999,0.27993758440017696,-0.4276754983771427,-7.860562128075346,0.33684210526315783,0.85,0.0,0.7545244160649248,0.0
2001-03-01,2001,2000,3,44,20,16,0.2,32,0.01,0.03858634829521179,0.3481092587065712,0.12118005599723855,0.3052322939038276,-0.45780518492918554,-14.732502467915321,-0.2421052631578947,0.7,0.5048781642974013,0.8598228626807627,0.0
2001-04-02,2001,2000,3,44,20,32,0.2,64,0.01,0.026230597868561745,0.47274234252956504,0.22348532242034058,0.3914662247896195,-1.6885452321243979,0.24578854494009872,0.24511278195488717,0.2,0.0,0.5751928529729651,0.0
2001-05-01,2001,2000,3,44,20,32,0.2,32,0.01,0.041295550763607025,0.4179731644007725,0.17470156615919516,0.33299942091107365,-1.10167297635122,-30.669805484541563,0.24962406015037594,0.6,0.0,0.6568532506819229,0.0
2001-06-01,2001,2000,3,44,20,32,0.2,32,0.01,0.03413732349872589,0.48311361425458554,0.23339876427812847,0.4005399307608605,-1.8078046830451542,-4.536671436983247,0.11127819548872178,0.55,0.0,0.486796066652496,0.0
2001-07-02,2001,2000,3,44,20,32,0.2,64,0.01,0.04577759653329849,0.4091528712724297,0.16740607207047345,0.33521791398525236,-1.0139076339305073,-11.178411228393184,-0.30075187969924805,0.45,0.0,0.6502488356570697,0.0
2001-08-01,2001,2000,3,44,20,16,0.2,32,0.01,0.040493644773960114,0.3938326765858572,0.15510417714678038,0.3233687341213226,-0.8659149130439743,-8.354475426469374,-0.09774436090225563,0.85,0.0,0.6347534913032268,0.0
2001-09-04,2001,2000,3,44,20,32,0.2,64,0.01,0.04868834465742111,0.41947267902615437,0.1759573284493791,0.34315204769372937,-1.1167798911203501,-6.228675893212227,0.021052631578947364,0.6,0.0,0.4559999048296307,0.0
2001-10-01,2001,2000,3,44,20,16,0.2,32,0.01,0.049930281937122345,0.663877964153046,0.4407339512879931,0.5979247618466615,-4.302062571885632,-0.6619773321329894,-0.5227935521357321,0.3,0.0,0.4593036665086537,0.0
2001-11-01,2001,2000,3,44,20,16,0.2,32,0.01,0.026431063190102577,0.36963208841599593,0.13662788078677063,0.2988554951548576,-0.6436436786378421,-8.382043540873969,-0.20751879699248119,0.35,0.0,0.4681002933916648,0.0
2001-12-03,2001,2000,3,44,20,16,0.3,32,0.01,0.04781820997595787,0.5210740592047983,0.2715181751761656,0.4329658263176679,-2.266384062269662,-2.9006121417130544,-0.29624060150375936,0.4,0.0,0.3947752794067349,0.0
2002-01-02,2002,2001,3,44,20,32,0.2,32,0.01,0.03312394767999649,0.38692083061054866,0.1497077291603569,0.314597899466753,-0.8009952380193308,-26.395208556757385,0.037593984962406006,0.7,0.0,0.7913724057954514,0.0
