rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_batch,best_lr,best_val_loss,run_number,seed
1998-01-02,1998,1997,INTC,0.0961887538433075,1.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,CSCO,0.09351456165313721,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,VZ,0.08852284401655197,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,IBM,0.08210310339927673,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,AIG,0.06492643058300018,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,C,0.060647815465927124,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,PFE,0.06012614816427231,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,LLY,0.060096532106399536,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,T,0.05920437350869179,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,DIS,0.052646905183792114,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,GE,0.05188954249024391,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,WMT,0.0504278689622879,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,PG,0.05027778819203377,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,XOM,0.03859967738389969,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,MSFT,0.02990996651351452,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,KO,0.020919719710946083,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,MRK,0.009999504312872887,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,BMY,0.009999504312872887,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,JNJ,0.009999504312872887,0.0,0.0,16,32,0.01,0.030483,10,51
1998-01-02,1998,1997,PEP,0.009999504312872887,0.0,0.0,16,32,0.01,0.030483,10,51
1999-01-04,1999,1998,C,0.09049417823553085,0.828709,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,IBM,0.08874792605638504,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,LLY,0.08831314742565155,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,BMY,0.0833238884806633,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,JNJ,0.07542821019887924,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,MSFT,0.06934596598148346,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,XOM,0.06283805519342422,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,BAC,0.06193487346172333,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,WMT,0.05656144767999649,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,PFE,0.05190840736031532,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,GE,0.045750346034765244,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,INTC,0.04166219010949135,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,HD,0.03690477833151817,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,KO,0.03175228461623192,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,VZ,0.031002311035990715,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,T,0.02796517312526703,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,PG,0.020919835194945335,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,MRK,0.015151849016547203,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,AIG,0.00999756995588541,0.0,0.0,32,32,0.01,0.032831,10,51
1999-01-04,1999,1998,CSCO,0.00999756995588541,0.0,0.0,32,32,0.01,0.032831,10,51
2000-01-03,2000,1999,PFE,0.09936225414276123,0.713287,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,WMT,0.0689777284860611,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,CSCO,0.067838154733181,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,MSFT,0.06700754910707474,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,HD,0.06696972250938416,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,KO,0.06389503180980682,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,INTC,0.06115531176328659,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,AIG,0.06017482653260231,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,MRK,0.056380536407232285,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,GE,0.05160412937402725,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,XOM,0.04992704465985298,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,T,0.04869455844163895,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,JNJ,0.048561353236436844,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,VZ,0.04097020626068115,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,IBM,0.040229566395282745,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,BMY,0.03623221069574356,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,PG,0.03547220677137375,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,C,0.01347721554338932,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,ORCL,0.013071030378341675,0.0,0.0,16,64,0.01,0.038655,10,51
2000-01-03,2000,1999,QCOM,0.009999369271099567,0.0,0.0,16,64,0.01,0.038655,10,51
2001-01-02,2001,2000,MSFT,0.09859783947467804,0.768562,0.0,32,64,0.01,0.031613,10,51
2001-01-02,2001,2000,BMY,0.09512444585561752,0.0,0.0,32,64,0.01,0.031613,10,51
2001-01-02,2001,2000,CSCO,0.0795566737651825,0.0,0.0,32,64,0.01,0.031613,10,51
