rebalance_date,n_stocks,best_nodes,best_dropout,best_val_loss,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,25,0.1,0.08389006555080414,0.28149993004128165,0.07924221061324646,0.24854431152343745,0.046710248261696785,0.02706766917293233,0.5,0.0
1998-02-02,20,25,0.1,0.08376763015985489,0.2880092656402765,0.08294933709465135,0.2465106338262558,0.002113237959081471,0.0706766917293233,0.65,0.5416025603090641
1998-03-02,20,25,0.3,0.08257845044136047,0.2880806268518832,0.08299044756737396,0.2517953023314476,0.0016186758812156699,0.051127819548872175,0.75,0.46770717334674267
1998-04-01,20,25,0.3,0.0836949571967125,0.27704727521917544,0.07675519270636955,0.23540525406599047,0.07662926067525366,0.4240601503759398,0.5,0.4605661864718383
1998-05-01,20,25,0.3,0.0826750174164772,0.29166691383660026,0.08506958862696681,0.25027548193931576,-0.023393547392082104,0.03157894736842105,0.5,0.5
1998-06-01,20,25,0.1,0.08376657217741013,0.28941381231628927,0.0837603547594483,0.2512006640434265,-0.0076433655271976875,-0.0631578947368421,0.5,0.46188021535170065
1998-07-01,20,25,0.3,0.08366464078426361,0.2792308214901086,0.07796985167004088,0.24027289748191832,0.06201682201454595,0.32631578947368417,0.65,0.6356417261637283
1998-08-03,20,25,0.1,0.0824655070900917,0.2875627995755808,0.08269236369974564,0.2509030771255493,0.00520464722110503,0.1639097744360902,0.75,0.8583950752789521
1998-09-01,20,25,0.1,0.08315379917621613,0.31585948184189006,0.09976721226942728,0.26966716349124914,-0.20020706489536555,-0.2270676691729323,0.4,0.3892494720807615
1998-10-01,20,25,0.1,0.08472111076116562,0.24975733119909924,0.062378724487696546,0.21984446346759795,0.24957925428334982,0.7654135338345864,0.75,
1998-11-02,20,25,0.1,0.08530332148075104,0.31024469693809564,0.09625177197821082,0.2734119874238968,-0.15791605387321273,-0.31879699248120297,0.7,0.5048781642974013
1998-12-01,20,25,0.3,0.08448672294616699,0.28150268432836906,0.07924376128407741,0.24555515944957734,0.04669159357500885,0.35639097744360904,0.75,0.408248290463863
1999-01-04,20,25,0.3,0.08395779132843018,0.2839319730364685,0.08061736531238188,0.24210645675659181,0.030167033836007384,0.4300751879699248,0.25,0.25
1999-02-01,20,25,0.1,0.0842086523771286,0.28443842296934363,0.08090521646128722,0.24397132396697999,0.02670416287173283,0.1533834586466165,0.45,0.37605071654517747
1999-03-01,20,25,0.3,0.08368541300296783,0.2868666068195196,0.08229245010814486,0.2516747072339058,0.01001563779675363,0.15037593984962402,0.7,0.6123724356957945
1999-04-01,20,25,0.3,0.08394899219274521,0.294871480532535,0.08694919003144916,0.2533058539032936,-0.04600529361141836,-0.1639097744360902,0.55,0.4264014327112209
1999-05-03,20,25,0.1,0.08292356133460999,0.3022973099673647,0.09138366361350499,0.25955252647399896,-0.0993523442226163,-0.4060150375939849,0.45,0.5940885257860046
1999-06-01,20,25,0.1,0.0817740336060524,0.2679132321770036,0.07177749997552904,0.23628963500261307,0.1365112784898762,0.33533834586466166,0.65,0.6567895774291853
1999-07-01,20,25,0.3,0.08253641426563263,0.29006259344248525,0.08413630811458048,0.25226544737815854,-0.012166112656607275,-0.05413533834586466,0.3,0.0
1999-08-02,20,25,0.3,0.08213002234697342,0.28074450379754706,0.07881747641253091,0.2370271500945092,0.05181983263120726,0.3984962406015037,0.6,0.6172133998483676
1999-09-01,20,25,0.1,0.08410987257957458,0.289418315121067,0.08376296112751724,0.2497213405370712,-0.007674720331034557,0.41654135338345866,0.75,0.0
1999-10-01,20,25,0.1,0.08329769223928452,0.29386556422978755,0.08635696984009139,0.2564446091651917,-0.0388808401815508,-0.10676691729323308,0.7,0.8043996665398437
1999-11-01,20,25,0.1,0.08280538767576218,0.29296324682552405,0.08582746399055294,0.2513503879308701,-0.032510844999132926,-0.10375939849624059,0.45,0.3818813079129867
1999-12-01,20,25,0.1,0.08295468986034393,0.2861818646755029,0.08190005966914783,0.2439404511451721,0.014736124280928409,0.3278195488721804,0.55,0.4264014327112209
2000-01-03,20,25,0.1,0.08360058814287186,0.2916741006526331,0.08507378099152234,0.25038286417722705,-0.023443981852900198,0.08571428571428572,0.4,0.34641016151377546
2000-02-01,20,25,0.3,0.08374634385108948,0.26652709280717757,0.07103669120024583,0.23177716135978693,0.1454232637564412,0.6165413533834586,0.55,0.6614378277661477
2000-03-01,20,25,0.1,0.08327185362577438,0.27862370117500795,0.07763116685646014,0.24263078987598416,0.0660912257869457,0.46917293233082696,0.8,0.0
2000-04-03,20,25,0.1,0.08249707520008087,0.29193633701410543,0.08522682486921335,0.2518570840358735,-0.025285111208581457,-0.20601503759398496,0.35,0.4
2000-05-01,20,25,0.3,0.08363471180200577,0.29252263460055006,0.08556949175364693,0.25140193223953244,-0.029407419592744954,-0.09774436090225563,0.45,0.28426762180748055
2000-06-01,20,25,0.3,0.08249779045581818,0.2923179492781744,0.08544978347019733,0.25083546608686447,-0.027967319942223234,-0.05864661654135337,0.25,0.282842712474619
2000-07-03,20,25,0.3,0.0829005017876625,0.2818266888913602,0.07942628257146753,0.24309980422258376,0.04449584876430057,0.18345864661654135,0.45,0.44946657497549475
2000-08-01,20,25,0.3,0.08315027505159378,0.2973225983522571,0.08840072749093761,0.25581691801548007,-0.06346739838721938,0.15488721804511277,0.45,0.37605071654517747
2000-09-01,20,25,0.1,0.08339110761880875,0.2853299254911386,0.08141316638077871,0.24792633950710297,0.0205934871485266,0.34285714285714286,0.6,0.0
2000-10-02,20,25,0.1,0.08330785483121872,0.29974938545325297,0.08984969407960283,0.25688063800334926,-0.08089857539371814,-0.22857142857142856,0.5,0.4605661864718383
2000-11-01,20,25,0.3,0.0825149267911911,0.300480577812865,0.09028857764275322,0.2639995050430298,-0.08617837765718162,-0.1609022556390977,0.6,0.3333333333333333
2000-12-01,20,25,0.1,0.08219891041517258,0.31185350495804653,0.09725260855461836,0.26635068953037255,-0.16995619313826582,-0.38345864661654133,0.45,0.0
2001-01-02,20,25,0.1,0.08252063393592834,0.2680583043218268,0.07185525451589311,0.22868745177984243,0.1355758855230903,0.6511278195488721,0.7,0.6324555320336759
2001-02-01,20,25,0.3,0.08343900740146637,0.3079723375577856,0.09484696070080664,0.2607696771621704,-0.14101606858113258,-0.31127819548872177,0.65,0.0
2001-03-01,20,25,0.3,0.08165914565324783,0.32247325825541634,0.10398900228986445,0.26881768256425853,-0.25099551626904604,-0.4090225563909774,0.3,0.3960590171906697
2001-04-02,20,25,0.1,0.0817192941904068,0.2869622283298314,0.08234732048802232,0.24610531002283093,0.009355543001234978,0.030075187969924807,0.65,0.0
2001-05-01,20,25,0.3,0.08143729716539383,0.3018611813537818,0.09112017280830076,0.2578519627451896,-0.09618253002467081,-0.21954887218045113,0.4,0.3535533905932738
2001-06-01,20,25,0.3,0.08305669575929642,0.2785755607973075,0.07760434307353435,0.24602901935577393,0.06641391791236873,0.20751879699248119,0.6,0.5685352436149611
2001-07-02,20,25,0.3,0.08202727138996124,0.29481463171942096,0.08691566707585782,0.2546096161007881,-0.04560200993513175,-0.10225563909774435,0.55,0.49236596391733095
2001-08-01,20,25,0.3,0.08238685876131058,0.3027786771097077,0.09167492731230463,0.25834892243146895,-0.10285626841870221,-0.4676691729323308,0.5,0.0
2001-09-04,20,25,0.3,0.08482779562473297,0.29462721847816414,0.08680519786817988,0.25685550540685653,-0.04427305706081053,-0.11127819548872178,0.45,0.4330127018922193
2001-10-01,20,25,0.3,0.08247062563896179,0.2681019249828218,0.0718786421794946,0.2344573482871056,0.1352945301714933,0.5744360902255639,0.7,0.3933978962347216
2001-11-01,20,25,0.3,0.08262097090482712,0.2851758120960428,0.08132524380463753,0.24809561669826513,0.02165120235022533,0.2827067669172932,0.55,0.554700196225229
2001-12-03,20,25,0.3,0.08263640105724335,0.28803969784691835,0.08296686753574403,0.25245916545391084,0.0019023454346585034,0.11127819548872178,0.5,0.5103103630798288
2002-01-02,20,25,0.1,0.08118684589862823,0.28701650313429145,0.08237847307143674,0.25021459758281706,0.008980775080460246,0.06917293233082707,0.4,0.4364357804719847
2002-02-01,20,25,0.1,0.08198627084493637,0.2967728468151795,0.088074122606786,0.2590224713087082,-0.059538317074117275,-0.2045112781954887,0.55,0.33149677206589795
2002-03-01,20,25,0.3,0.08385275304317474,0.29055075510603434,0.08441974129268676,0.25323497921228405,-0.015575835099991275,-0.23609022556390977,0.5,0.40201512610368484
2002-04-01,20,25,0.3,0.08164194971323013,0.3145961363181241,0.09897072898629174,0.27005184441804886,-0.19062531111328385,-0.6015037593984961,0.55,0.0
2002-05-01,20,25,0.3,0.08580135554075241,0.29304092218179045,0.08587298207315418,0.2532955840229988,-0.033058430955238194,-0.022556390977443608,0.5,0.4364357804719847
2002-06-03,20,25,0.3,0.08268599957227707,0.29747611006770613,0.08849203606101401,0.2606646031141281,-0.06456584735054438,-0.1609022556390977,0.45,0.4330127018922193
