rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,1,42,20,16,0.3,0.01,0.04531896859407425,0.3494476713861626,0.12211367503721149,0.29639954626560205,-0.4690366921769804,-0.8280640352626778,-0.10225563909774435,0.4,0.0,0.9999999376013875,0.0
1998-07-01,1998,1997,1,42,20,16,0.3,0.01,0.051813602447509766,0.26528210003986136,0.070374592601559,0.22220979779958722,0.15338835968049347,-0.9720821443573493,0.4603806363992549,0.6,0.6172133998483676,0.7921845818865489,0.0
1999-01-04,1999,1998,1,42,20,16,0.3,0.01,0.044271502643823624,0.35336792986871063,0.12486889385969797,0.2915005183219909,-0.5021821817708025,-3.8815116277128796,-0.044377588696799336,0.4,0.3779644730092272,0.8770407458898379,0.0
1999-07-01,1999,1998,1,42,20,16,0.1,0.001,0.03758387267589569,0.25672076890916884,0.06590555318931487,0.207044081389904,0.20715123982779116,-1.7530122346066546,0.4646616541353384,0.7,0.7,0.7032490511333898,0.0
2000-01-03,2000,1999,1,42,20,16,0.3,0.01,0.042571622878313065,0.31968094220218146,0.10219590480727447,0.2649383899569512,-0.229424418734129,-2.433721341715125,-0.040662696716141415,0.5,0.49236596391733095,0.6160233115442951,0.0
2000-07-03,2000,1999,1,42,20,16,0.1,0.01,0.039389245212078094,0.36659908839457955,0.13439489161173673,0.29243869513273235,-0.6167806509682616,-2.37964347658312,-0.03609022556390977,0.55,0.42426406871192857,0.7192182827112381,0.0
2001-01-02,2001,2000,1,42,20,16,0.1,0.01,0.04654296860098839,0.3527229365902297,0.1244134699968352,0.27198431938886647,-0.4967033984581677,-8.249067552181458,0.18345864661654135,0.6,0.6546536707079771,0.7790106248424291,0.0
2001-07-02,2001,2000,1,42,20,16,0.3,0.01,0.04810340330004692,0.36408110702282964,0.13255505249096913,0.30183766961097713,-0.5946472480116587,-31.322921202549537,0.045112781954887216,0.6,0.5685352436149611,0.6824066141557673,0.0
2002-01-02,2002,2001,1,42,20,16,0.3,0.01,0.04664284363389015,0.29736326186141154,0.0884249095048584,0.2540268179774285,-0.06375830983288311,-8.252893262220109,0.32481203007518794,0.5,0.529150262212918,0.9491266454435484,0.0
2002-07-01,2002,2001,1,42,20,16,0.3,0.01,0.044454097747802734,0.3449511858552449,0.11899132062293971,0.27056062221527094,-0.43147453380980094,-29.03606393028198,0.03157894736842105,0.4,0.4364357804719847,0.546015602763046,0.0
2003-01-02,2003,2002,1,42,20,16,0.3,0.01,0.04600566253066063,0.3061116412457178,0.09370433690614705,0.2579269596934318,-0.12727021841981379,-18.15710311568771,0.08120300751879699,0.5,0.42008402520840293,0.7025211662434407,0.0
2003-07-01,2003,2002,1,42,20,16,0.1,0.01,0.04331917688250542,0.3732938019821617,0.13934826259829736,0.3190612816810608,-0.6763700763704947,-10.099047123752257,0.24548220610114999,0.55,0.39528470752104744,0.6330760367191177,0.0
2004-01-02,2004,2003,1,42,20,16,0.1,0.01,0.04225518926978111,0.3669578863881224,0.13465809038243814,0.2889494863152503,-0.6199469519691807,-74.74986658217712,-0.2270676691729323,0.45,0.408248290463863,0.8816408121651267,0.0
2004-07-01,2004,2003,1,42,20,16,0.1,0.01,0.04463272914290428,0.32146665964277965,0.10334081326188674,0.2779150032997132,-0.2431977535264569,-10.847283262302856,0.07969924812030074,0.45,0.4629100498862757,0.45310635428089463,0.0
2005-01-03,2005,2004,1,42,20,16,0.3,0.01,0.04624820128083229,0.33736021070848843,0.1138119117692757,0.27972051650285723,-0.36916585587098605,-45.8732690627806,0.07218045112781954,0.4,0.3535533905932738,0.7538245049024274,0.0
2005-07-01,2005,2004,1,42,20,16,0.3,0.01,0.046574532985687256,0.2879403601379121,0.08290965099635052,0.25014993876218794,0.00259066470555791,-34.04526927872794,0.11434812067532316,0.5,0.30618621784789724,0.45872599141023124,0.0
2006-01-03,2006,2005,1,42,20,16,0.1,0.01,0.04624922573566437,0.3414884696916323,0.11661437493233287,0.2745642343163491,-0.40287969843407945,-40.373206951835286,0.12781954887218044,0.5,0.458257569495584,0.6074085828125639,0.0
2006-07-03,2006,2005,1,42,20,16,0.3,0.01,0.04258941486477852,0.36839090275686015,0.13571185723401438,0.30538312286138536,-0.6326238464242329,-7.799814601818655,-0.10977443609022557,0.65,0.7947194142390263,0.6044042776348721,0.0
2007-01-03,2007,2006,1,42,19,16,0.1,0.01,0.044579390436410904,0.3748276693035294,0.140495781675516,0.28817630726379706,-0.6906325728287095,-39.90558857952635,0.2614035087719298,0.6842105263157895,0.6741998624632421,0.5144405641611428,0.0
2007-07-02,2007,2006,1,42,19,16,0.1,0.01,0.04727625101804733,0.36497370215756975,0.13320580326660245,0.31716156336079016,-0.6029098326414495,-15.929262185353572,-0.1810196117193725,0.631578947368421,0.6236095644623235,0.6664000586522709,0.0
2008-01-02,2008,2007,1,42,19,16,0.1,0.01,0.04474262148141861,0.3369459442031105,0.11353256931492568,0.26678044115737537,-0.36617525075627255,-8.566741980757932,0.04035087719298246,0.42105263157894735,0.38188130791298663,0.7174570621146857,0.0
2008-07-01,2008,2007,1,42,19,16,0.3,0.01,0.045598577708005905,0.2990753645711719,0.08944607369337937,0.25176463662092047,-0.07633442011033154,-4.578059740336421,0.14035087719298248,0.47368421052631576,0.48507125007266594,0.5135058887397403,0.0
