rebalance_date,n_stocks,best_nodes,best_dropout,best_val_loss,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,25,0.1,0.060183774679899216,0.2694214782480288,0.07258793294135306,0.24204223006963727,0.12676170897620387,0.38195488721804516,0.6,0.5527707983925667
1999-01-04,20,25,0.3,0.06355337798595428,0.36204636926704986,0.131077573499453,0.25877562001347537,-0.5768730646550739,0.024060150375939848,0.55,0.554700196225229
2000-01-03,20,25,0.3,0.07739342749118805,0.3958966163704756,0.1567341308535915,0.34157155126333233,-0.8855233786898224,-0.21052631578947367,0.4,0.34815531191139565
2001-01-02,20,25,0.1,0.07669892907142639,0.28708443903454545,0.08241747513577963,0.24520655006170272,0.008511577313929375,0.30977443609022554,0.55,0.5590169943749475
2002-01-02,20,25,0.3,0.07499601691961288,0.3635556346958835,0.1321726995191267,0.3027940797805786,-0.5900475130120502,-0.21052631578947367,0.55,0.5270462766947299
2003-01-02,20,25,0.3,0.08354727923870087,0.33580132409126484,0.11276252926144667,0.25589446470141414,-0.3565417054008624,0.19097744360902258,0.55,0.44280744277004763
2004-01-02,20,25,0.3,0.07779243588447571,0.3821788196702536,0.1460606502045482,0.3119496697187424,-0.7571206039644895,-0.2857142857142857,0.55,0.5345224838248488
2005-01-03,20,25,0.1,0.06671791523694992,0.4163838075759755,0.17337547521146696,0.33103279322385787,-1.0857200025439635,-0.47368421052631576,0.45,0.44946657497549475
2006-01-03,20,25,0.1,0.08094041794538498,0.317151660197521,0.10058517556604382,0.2466579908132553,-0.21004722485466254,0.16691729323308271,0.5,0.42008402520840293
2007-01-03,19,25,0.1,0.07016339153051376,0.3408439500337106,0.11617459827458262,0.29030127910035464,-0.39796766590414423,-0.0035087719298245615,0.5263157894736842,0.5345224838248488
2008-01-02,19,25,0.1,0.07092195004224777,0.3057793943614622,0.0935010380160626,0.24158298077675772,-0.12512915745995334,0.23157894736842102,0.3684210526315789,0.0
2009-01-02,19,25,0.1,0.08409688621759415,0.24938127500157778,0.062191020321412556,0.1966984657534602,0.2516347221323356,0.4385964912280701,0.7894736842105263,0.7928249671720918
2010-01-04,20,25,0.1,0.07350774854421616,0.38467400083903364,0.14797408692150885,0.3289648036658764,-0.7801393915369481,-0.022556390977443608,0.5,0.5135525910130955
2011-01-03,20,25,0.1,0.07075144350528717,0.38070189351472505,0.14493393172569707,0.34093370407819745,-0.7435660959482355,-0.6375939849624059,0.45,0.29649972666444047
2012-01-03,20,25,0.3,0.08337587863206863,0.27813475529276727,0.07735894210176754,0.23722222894430162,0.06936611005392457,0.31127819548872177,0.5,0.6882472016116853
2013-01-02,20,25,0.1,0.07839637249708176,0.42190108326717884,0.178000524062019,0.365794365555048,-1.1413596879641377,-0.41654135338345866,0.4,0.6069769786668839
2014-01-02,20,25,0.1,0.08181132376194,0.4575665071519493,0.20936710846723489,0.40070928439497944,-1.51870205674869,-0.6887218045112782,0.2,0.0
2015-01-02,19,25,0.1,0.07615912705659866,0.3152769499704761,0.09939955518268612,0.29542043953721214,-0.19610798069832303,-0.015789473684210527,0.3684210526315789,0.33333333333333337
2016-01-04,20,25,0.3,0.06483014672994614,0.35435082562619047,0.12556450762196283,0.2959018041193485,-0.5105504676326356,-0.12180451127819547,0.55,
2017-01-03,20,25,0.1,0.060416657477617264,0.23792288876314371,0.05660730099739926,0.18055988252162933,0.319009912813242,0.6030075187969924,0.65,0.7817359599705717
2018-01-02,20,25,0.1,0.05993540212512016,0.35700504553275114,0.1274526025358417,0.32417835712432863,-0.5332643914086221,-0.13383458646616542,0.4,0.40201512610368484
2019-01-02,20,25,0.3,0.060581889003515244,0.3035748966700834,0.09215771788825182,0.23854993373155597,-0.10866427534739054,0.38646616541353385,0.55,0.7254762501100116
2020-01-02,20,25,0.3,0.07004692405462265,0.3377438153467902,0.11407088480500671,0.25507332578301434,-0.3722813209624867,0.04210526315789473,0.5,0.375
2021-01-04,20,25,0.1,0.06409592181444168,0.2711721751276592,0.07353434856346587,0.2235832114517689,0.11537625788311745,0.4646616541353384,0.7,0.6859943405700354
2022-01-03,20,25,0.3,0.07364904880523682,0.319674896333639,0.10219203934592284,0.26627387255430224,-0.22937791694343246,-0.12481203007518797,0.45,0.3960590171906697
2023-01-03,20,25,0.1,0.05982593446969986,0.2203452692849932,0.04855203769627617,0.1682125996053219,0.4159153359846476,0.6045112781954887,0.55,0.6110100926607787
2024-01-02,20,25,0.1,0.06350330263376236,0.315066229848434,0.09926672919090625,0.22107857912778855,-0.19418621583045104,0.49022556390977434,0.55,0.0
2025-01-02,20,25,0.1,0.07599680870771408,0.29730656508981534,0.0883911936455046,0.2592410838603973,-0.06335270550982974,0.27669172932330827,0.8,0.7806247497997998
