date,log_return,cumulative_return
1998-01-02,0.011462409251176581,1.0115283543866147
1998-01-05,0.00590892614529309,1.017523094522527
1998-01-06,-0.010441955894110708,1.0069534432025624
1998-01-07,-0.00377305643618165,1.0031613094987102
1998-01-08,-0.00284177232087935,1.000314600221571
1998-01-09,-0.03070725756515641,0.9700645077897863
1998-01-12,0.018120740467853485,0.9878030271410579
1998-01-13,0.00982033241905907,0.9975513688671013
1998-01-14,0.0029732290786174797,1.0005217312000736
1998-01-15,-0.0051178083684441196,0.9954143332011641
1998-01-16,0.00931949803156008,1.0047344571015278
1998-01-20,0.026606575161709917,1.031825805787305
1998-01-21,-0.0132356720045352,1.0182588796059515
1998-01-22,-0.008513138248826579,1.0096270949102526
1998-01-23,-0.0022887545662666096,1.0073189486842395
1998-01-26,-0.00195374373043386,1.0053528268781857
1998-01-27,0.017718819442140488,1.0233252469152663
1998-01-28,0.014330279978498789,1.0380953613892503
1998-01-29,0.008851645364122671,1.0473250018715698
1998-01-30,-0.00483673269871948,1.042271601613558
1998-02-02,0.0187876900944953,1.0620385839905508
1998-02-03,0.00138005756034335,1.0635052701906704
1998-02-04,0.0035177355372286697,1.06725298834966
1998-02-05,-0.00474308745776934,1.0622029000591657
1998-02-06,0.007648445603249329,1.070358249275893
1998-02-09,-0.00801342889721876,1.0618152844867454
1998-02-10,0.01050368275434271,1.0730270346319946
1998-02-11,0.00471593108318633,1.0780993070206142
1998-02-12,0.00624427384490177,1.084852316202779
1998-02-13,-0.00409287112719503,1.0804212295993778
1998-02-17,-0.00046219118262148,1.0799219838159269
1998-02-18,0.010216793210067989,1.0910118785219678
1998-02-19,-0.000706809782239105,1.0902410131133877
1998-02-20,0.00656472995250607,1.097421694777613
1998-02-23,0.0081275025780599,1.1063773366342846
1998-02-24,-0.007275678840711711,1.0983569028867897
1998-02-25,0.01575633510823197,1.1158000414140834
1998-02-26,-0.00094654385818333,1.114744387428138
1998-02-27,-0.005222245221543629,1.1089380930199537
1998-03-02,-0.0072760852790872505,1.100898648197244
1998-03-03,0.00319478572913404,1.1044214077223575
1998-03-04,-0.00921352172167856,1.0942925300619992
1998-03-05,-0.02088879358387251,1.071671168306938
1998-03-06,0.02204600780682078,1.0955595939326208
1998-03-09,-0.00443224937879039,1.0907145457655278
1998-03-10,0.007561627584542379,1.0989933842610236
1998-03-11,0.005244093873385749,1.1047717466293403
1998-03-12,0.00930103062501866,1.1150951974217265
1998-03-13,0.00110763062695317,1.1163309952917995
1998-03-16,0.01172629595422716,1.1294984749234067
1998-03-17,-0.0012737479176471687,1.128060694472307
1998-03-18,-0.0029418605965268697,1.12474697380677
1998-03-19,0.003766130357916379,1.1289909041109443
1998-03-20,0.0075289173983151105,1.1375230620240668
1998-03-23,-0.004884180902254251,1.1319807394793924
1998-03-24,0.013590283061608671,1.1474696893612266
1998-03-25,0.0030920187151607,1.1510231780113993
1998-03-26,0.00023684274348338002,1.1512958217842675
1998-03-27,-0.00472272110313564,1.1458713918279348
1998-03-30,-0.00288521438579843,1.1425700720018275
1998-03-31,0.009478555603010188,1.1534514744808038
1998-04-01,0.00745432551625437,1.162081803917855
1998-04-02,0.00934162823840484,1.1729884034974685
1998-04-03,0.004516531606835969,1.178298224657589
1998-04-06,-0.011623136030906363,1.164681989079296
1998-04-07,-0.0070797559008295,1.1564654447782754
1998-04-08,-0.010125696264106069,1.1448145133878056
1998-04-09,0.00597081878111823,1.1516704407670249
1998-04-13,-0.0010906726574450832,1.1504150300524123
1998-04-14,0.00721551891976185,1.1587458910653639
1998-04-15,0.010030451297047691,1.1704271213599569
1998-04-16,-0.006397310113935929,1.162963435310602
1998-04-17,0.01859983240530352,1.1847967791284755
1998-04-20,0.00972999820359653,1.1963811160563853
1998-04-21,0.013425556571702132,1.21255150375272
1998-04-22,0.01227859767135141,1.227531715614466
1998-04-23,-0.006812509431927771,1.219197564697219
1998-04-24,-0.01245811150517096,1.2041028863123309
1998-04-27,-0.018622780579315847,1.1818866485861412
1998-04-28,-0.007636156638935911,1.1728959478953906
1998-04-29,0.0046061200767232805,1.1783109088753392
1998-04-30,0.01418217995827821,1.1951409877442958
1998-05-01,0.004373346907405461,1.2003791997972966
1998-05-04,0.0035514781901019804,1.2046498995048032
1998-05-05,-0.004638418974007459,1.199075167520204
1998-05-06,-0.00760075433747146,1.189995840317989
1998-05-07,-0.01258637672570836,1.1751119678701372
1998-05-08,0.01471545826876863,1.1925321375316378
1998-05-11,-0.0051657626926015,1.1863876835651583
1998-05-12,0.01039392843065062,1.1987832198029116
1998-05-13,0.004338285532014331,1.2039951810149607
1998-05-14,0.0002816476863671,1.2043343312302854
1998-05-15,-0.013390795505609879,1.1883148327695752
1998-05-18,0.00347968370280658,1.1924569950547563
1998-05-19,0.00507354765353814,1.1985223558819167
1998-05-20,0.007517287288580162,1.2075659417821145
1998-05-21,-0.0063568433712235,1.1999139811549906
1998-05-22,-0.00703503163579239,1.1915021717029863
1998-05-26,-0.015157950388346502,1.1735776337244197
1998-05-27,0.00980966940478444,1.1851466938861603
1998-05-28,0.00046650038353786614,1.1856996942508193
1998-05-29,-0.012167909506226999,1.1713596289080221
1998-06-01,-0.0037818426206434204,1.1669380971777403
1998-06-02,0.005481461903891311,1.1733521871364667
1998-06-03,-0.012922131844194398,1.1582875189152346
1998-06-04,0.018172410119313937,1.1795288129473729
1998-06-05,0.02068214836576266,1.204178023535707
1998-06-08,-0.00035324704335807305,1.2037527263311287
1998-06-09,0.011050176684721741,1.2171281710535007
1998-06-10,-0.00396036847299106,1.2123174274637416
1998-06-11,-0.01276334217859304,1.1969425315540434
1998-06-12,0.00660083771336502,1.2048694884529436
1998-06-15,-0.01859212668893366,1.1826753596189794
1998-06-16,0.01109995739305186,1.1958761342006339
1998-06-17,0.013508293875130648,1.2121399815645109
1998-06-18,-0.0009999623019336169,1.2109284931006261
1998-06-19,-0.00337050501628861,1.206853923076978
1998-06-22,0.00493431005448992,1.2128236306056166
1998-06-23,0.02034154459958053,1.2377469667670589
1998-06-24,0.015728063120493612,1.257368226919179
1998-06-25,-0.00588034569614118,1.249996163461238
1998-06-26,0.006997699487542841,1.258773937266358
1998-06-29,0.0107510519029086,1.2723800903735838
1998-06-30,-0.008614764825370661,1.2614659141560167
1998-07-01,0.00968570223141536,1.2737434597183814
1998-07-02,-0.0029692381060429296,1.2699670214472136
1998-07-06,0.00444449205898382,1.2756239415454353
1998-07-07,0.00441148450110995,1.2812637676490535
1998-07-08,0.016915293330331278,1.3031210602086414
1998-07-09,-0.00019759944015011757,1.3028635896555525
1998-07-10,0.00748253734527452,1.3126488788617556
1998-07-13,0.00958990584699964,1.3252976111581751
1998-07-14,0.00434179999013398,1.3310642981549081
1998-07-15,-0.006711281323534921,1.3221610606737453
1998-07-16,0.00893857443280104,1.3340322725416596
1998-07-17,0.009491706591641159,1.346754799184535
1998-07-20,0.00573163980948749,1.3544960765190042
1998-07-21,-0.016624174177976236,1.3321648313661834
1998-07-22,0.0027268099214799303,1.3358023488008204
1998-07-23,-0.02352809643825151,1.3047403105395932
1998-07-24,0.00813829623119584,1.3154019988351566
1998-07-27,0.00962473504646884,1.3281235169690302
1998-07-28,-0.01606398378655925,1.3069590105954028
1998-07-29,0.00014942152910719662,1.307154313000075
1998-07-30,0.022551151462063213,1.3369670401203884
1998-07-31,-0.02063728427556087,1.309658428255072
1998-08-03,-0.00346240520693903,1.3051317012975576
1998-08-04,-0.04077297521897767,1.2529878523293132
1998-08-05,0.01553199481997434,1.2726011758848408
1998-08-06,0.01174245099124502,1.2876327136534251
1998-08-07,-0.010719051522352962,1.2739042219069279
1998-08-10,-0.0008597258796837527,1.272809484133743
1998-08-11,-0.01294603605470635,1.2564378492057255
1998-08-12,0.00792292987697626,1.2664320576055947
1998-08-13,-0.006290841444871841,1.2584901411905165
1998-08-14,-0.009988842118721619,1.2459818575007178
1998-08-17,0.024075644562829346,1.2763436977148
1998-08-18,0.02115891189439163,1.3036374766164465
1998-08-19,-0.00068427325950534,1.3027457374825258
1998-08-20,-0.013047822067580792,1.2858581555683204
1998-08-21,-0.0035032288372135504,1.2813613814105487
1998-08-24,0.00549190983983258,1.2884178616301658
