rebalance_date,mom_1w,mom_1m,mom_3m,mom_6m,mom_12_1,ma_ratio,dist_52w_high,max_dd_12m,vol_1m,vol_6m,vol_12m,vol_ratio,bb_position,rsi,sharpe_6m
1998-01-02,0.06145824,0.083698876,0.021136953,0.10231467,0.06322485,0.06251296,0.089289844,0.078115225,0.027816568,0.051286098,0.106791,0.09160409,0.046538383,0.06936526,0.044846945
1998-04-01,0.08689997,0.07668654,0.046124488,0.029927477,0.06630938,0.13389787,0.045680985,0.05674473,0.03847484,0.124168456,0.054673675,0.06372132,0.05205579,0.076109976,0.048524566
1998-07-01,0.07706696,0.06807907,0.068994425,0.01885799,0.06622538,0.11957788,0.15674928,0.066446856,0.05275791,0.030602733,0.054984298,0.023291225,0.09896431,0.05024796,0.047153607
1998-10-01,0.062137485,0.057881158,0.058102574,0.06179692,0.058227826,0.057726964,0.104211204,0.09531439,0.069671,0.05662218,0.047362093,0.04537398,0.11371483,0.051246043,0.060611285
1999-01-04,0.03242447,0.038021974,0.05284282,0.118033834,0.06562381,0.055226333,0.107142776,0.07147156,0.053598013,0.018245144,0.104018085,0.11587564,0.08123446,0.033468228,0.052772798
1999-04-01,0.06571977,0.062048852,0.05753915,0.047332056,0.06609289,0.07206585,0.066803075,0.044331815,0.13994066,0.04622155,0.051464293,0.057262346,0.06510479,0.1042019,0.053870954
1999-07-01,0.09676927,0.070849635,0.053555828,0.081017,0.044681907,0.040382646,0.0728005,0.055843767,0.04245137,0.07866537,0.03631271,0.06775271,0.066725224,0.06403406,0.12815793
1999-10-01,0.05239888,0.12116858,0.0903015,0.049024284,0.024771133,0.07340809,0.038538918,0.04139759,0.12264832,0.026952868,0.06073671,0.087897934,0.12182023,0.038791817,0.050143275
2000-01-03,0.037306387,0.053384352,0.059910934,0.08001544,0.06778467,0.07928437,0.049339406,0.07102541,0.07563601,0.068459675,0.05055008,0.0769462,0.09263482,0.07102042,0.06670188
2000-04-03,0.10979312,0.027005358,0.07486817,0.044956554,0.04494682,0.1666221,0.037563693,0.1174234,0.049509015,0.02585625,0.048822902,0.03358347,0.039306276,0.124484465,0.05525845
2000-07-03,0.05405728,0.057056367,0.10326238,0.046758763,0.03649486,0.06789092,0.048649676,0.11633689,0.04162669,0.11536929,0.0839788,0.05212076,0.06794811,0.029981857,0.07846736
2000-10-02,0.026350224,0.16698009,0.108823426,0.038668625,0.054889932,0.055498853,0.044082627,0.028229455,0.05366004,0.13356543,0.091736,0.06563054,0.026773853,0.0533676,0.051743366
2001-01-02,0.043692127,0.0773818,0.045010794,0.06862993,0.07002057,0.049050562,0.050992306,0.10193383,0.059206776,0.05990064,0.14273278,0.094343334,0.041796334,0.05581523,0.039492927
2001-04-02,0.06688153,0.06228244,0.06881854,0.04689416,0.05945623,0.0693883,0.08035309,0.0806652,0.09010539,0.057813246,0.06489973,0.09898676,0.05453398,0.06009881,0.038822673
2001-07-02,0.05623223,0.045299817,0.038954627,0.05519877,0.047661927,0.06753536,0.06242885,0.10895006,0.087482244,0.08387413,0.115017526,0.06027766,0.067753546,0.059011124,0.044322103
2001-10-01,0.0491702,0.0667586,0.026132463,0.045508653,0.073694445,0.029712105,0.05508807,0.08504947,0.04502069,0.083136395,0.0735753,0.05216922,0.04704584,0.15179862,0.116139926
2002-01-02,0.050510146,0.051036496,0.10207469,0.036625113,0.07021005,0.06544053,0.10916406,0.07971339,0.05621792,0.07812789,0.040074967,0.0669666,0.045773976,0.076772355,0.07129191
2002-04-01,0.06985498,0.031154916,0.10138711,0.04567816,0.13186964,0.028261695,0.07270278,0.032392357,0.06633509,0.04169035,0.043065626,0.11674733,0.06086598,0.07075979,0.08723411
2002-07-01,0.036417115,0.0867677,0.038178746,0.05236744,0.15662082,0.08167935,0.04858357,0.06711811,0.06985061,0.06767476,0.04865345,0.06095681,0.04878845,0.077530935,0.058812086
2002-10-01,0.10570544,0.05246829,0.08509374,0.07292757,0.034831177,0.08085266,0.032876533,0.05554449,0.061609115,0.054459024,0.06893052,0.105992846,0.0788855,0.08335767,0.026465535
2003-01-02,0.09464511,0.06567443,0.058431424,0.064835556,0.0867103,0.08028939,0.034171958,0.04432299,0.06987753,0.043552306,0.045561068,0.07712316,0.09931172,0.07957422,0.05591879
2003-04-01,0.063571915,0.10949333,0.05496087,0.038115818,0.04629059,0.084146746,0.037328944,0.058742274,0.07021302,0.08039694,0.069019936,0.060627297,0.10160796,0.03382732,0.09165702
2003-07-01,0.09135959,0.057553656,0.030796103,0.035489846,0.076203115,0.04428318,0.060248524,0.12775418,0.050965615,0.11454636,0.054110304,0.073944554,0.062441833,0.06313514,0.0571679
2003-10-01,0.082121976,0.0561955,0.08337417,0.08840468,0.15112977,0.046018872,0.035111398,0.08841384,0.049701776,0.04966824,0.023621026,0.09270285,0.031981353,0.05751193,0.064042635
2004-01-02,0.1319332,0.11443329,0.07667685,0.07285489,0.07108168,0.028050946,0.034970254,0.0470628,0.072305195,0.061522964,0.03927455,0.07544385,0.089734584,0.019156823,0.06549823
2004-04-01,0.10020365,0.03553407,0.124483705,0.042486485,0.057150416,0.09319015,0.049129974,0.10767488,0.024864065,0.038261842,0.06537462,0.079887524,0.049782142,0.08024142,0.051735017
2004-07-01,0.14060152,0.10050586,0.018897736,0.051726416,0.06534909,0.013320634,0.039919585,0.076322645,0.10069776,0.049441587,0.10470358,0.10925854,0.03294286,0.06563482,0.030677382
2004-10-01,0.1435185,0.10528776,0.036742773,0.041873652,0.04573103,0.051131573,0.07561584,0.08355214,0.03534739,0.060484804,0.08745147,0.061372902,0.070376985,0.04468351,0.056829665
2005-01-03,0.05236359,0.09397782,0.045568947,0.08543756,0.069109276,0.099500574,0.11320116,0.06896224,0.04949576,0.050355494,0.044025946,0.05566637,0.09076787,0.036828462,0.044739015
2005-04-01,0.04608204,0.087203436,0.060158443,0.07763937,0.04050595,0.1263083,0.05764606,0.09437727,0.033525366,0.06823952,0.06477259,0.07019993,0.06639105,0.04127261,0.06567809
2005-07-01,0.06806289,0.063927695,0.06496358,0.07128803,0.088847086,0.054071687,0.056575753,0.07023163,0.09864175,0.036156535,0.05358235,0.050045263,0.08291638,0.06650919,0.074180305
