rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,5,46,20,32,0.2,32,0.01,0.03536171093583107,0.35250585124683587,0.12426037516325636,0.2977616716921329,-0.49486165609932464,-0.41405097693058934,0.22556390977443608,0.1,0.0,0.9999999757856131,0.0
1998-04-01,1998,1997,5,46,20,32,0.2,32,0.01,0.03865058347582817,0.35745042549523476,0.12777080668672436,0.2977076813578605,-0.5370924112688646,-5.777735288782661,-0.13233082706766916,0.3,0.2581988897471611,0.5783674963415378,0.0
1998-07-01,1998,1997,5,46,20,32,0.2,32,0.01,0.03612460568547249,0.30687276104525973,0.09417089147154109,0.2723377904295921,-0.1328829049207947,-6.490739128612585,0.26165413533834586,0.7,0.5135525910130955,0.6050551266590868,0.0
1998-10-01,1998,1997,5,46,20,16,0.2,32,0.01,0.03629592806100845,0.298619123745674,0.08917338106663417,0.2502947196364403,-0.07276247899710286,0.7476381289062026,0.4945201497766708,0.0,,0.7113097798613741,0.0
1999-01-04,1999,1998,5,46,20,16,0.3,32,0.01,0.04066592454910278,0.31276722600342993,0.0978233376618806,0.26687614232301715,-0.17682210721059377,-5.8928230063041,0.048120300751879695,0.35,0.0,0.72692516251941,0.0
1999-04-01,1999,1998,5,46,20,16,0.3,32,0.01,0.03805061802268028,0.2947012591276713,0.08684883213143486,0.2544006124138832,-0.04479798052853967,-6.184514557707868,0.38496240601503756,0.35,0.0,0.4518494641103555,0.0
1999-07-01,1999,1998,5,46,20,32,0.2,32,0.01,0.03364260867238045,0.3415435110560936,0.11665196994452391,0.2873110589385032,-0.4033319692574304,-12.961842133581367,-0.19999999999999998,0.7,0.0,0.5848758641290929,0.0
1999-10-01,1999,1998,5,46,20,16,0.2,64,0.01,0.03581998497247696,0.29398827120507054,0.0864291036061461,0.25399327099323266,-0.03974861481077996,-2.4634415822080498,-0.33684210526315783,0.55,0.0,0.38383030790313116,0.0
2000-01-03,2000,1999,5,46,20,16,0.2,32,0.01,0.03075631894171238,0.324831162486566,0.10551528412237385,0.27707253158092504,-0.26935680147216656,-2.849088190735635,-0.09473684210526315,0.55,0.31622776601683794,0.8540020850985067,0.0
2000-04-03,2000,1999,5,46,20,16,0.2,32,0.01,0.029729800298810005,0.3312479555424713,0.10972520805106703,0.2819558709859848,-0.3200025028699791,-5.23874047223226,-0.11578947368421053,0.65,0.3779644730092272,0.7210641118982983,0.0
2000-07-03,2000,1999,5,46,20,16,0.2,32,0.01,0.03120589070022106,0.34871268083230966,0.12160053377325626,0.29779715657234196,-0.46286356418954866,-5.489704677388649,-0.23308270676691725,0.6,0.3333333333333333,0.8808626960017265,0.0
2000-10-02,2000,1999,5,46,20,16,0.2,32,0.01,0.030932361260056496,0.3422198590608117,0.11711443193560182,0.28859758943319325,-0.40889542178167604,-3.9766275066076613,0.024060150375939848,0.5,0.0,0.5537736287986958,0.0
2001-01-02,2001,2000,5,46,20,32,0.2,32,0.01,0.03244476765394211,0.37825457090671105,0.1430765204118201,0.302372225522995,-0.7212212981873096,-3.134586367554559,0.2857142857142857,0.9,0.0,0.882620927032277,0.0
2001-04-02,2001,2000,5,46,20,32,0.2,32,0.01,0.034582801163196564,0.3814058361026838,0.14547041181318732,0.302794883698225,-0.7500199917375916,-3.1901101742542544,-0.3654135338345864,0.3,0.0,0.7102411574658969,0.0
