rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,2,43,20,32,0.2,64,0.01,0.02656056545674801,0.31586402488548604,0.09977008221685894,0.25860855102539065,-0.20024159057875424,0.5380092281940692,0.11127819548872178,0.4,0.0,0.9999999962747097,0.0
1999-01-04,1999,1998,2,43,20,16,0.2,32,0.01,0.03171807527542114,0.28190411821871625,0.07946993186867193,0.23045732468366623,0.04397074443702953,0.2321492874265022,0.37500042527108196,0.45,0.46880723093849547,0.7311998791588076,0.0
2000-01-03,2000,1999,2,43,20,32,0.2,64,0.01,0.03726034238934517,0.367125552425189,0.13478117124350023,0.2802355341613293,-0.6214276239819574,-3.9270665239174676,-0.19248120300751878,0.35,0.34815531191139565,0.7618079804865618,0.0
2001-01-02,2001,2000,2,43,20,16,0.3,32,0.01,0.03439810127019882,0.37753049504089947,0.1425292746858266,0.28834050595760347,-0.7146378909573123,-6.923651218430184,-0.03458646616541353,0.7,0.7144345083117604,0.7847680265436137,0.0
2002-01-02,2002,2001,2,43,20,16,0.2,32,0.01,0.029908886179327965,0.3091411427050485,0.09556824611298317,0.2633165961503982,-0.149693186321602,-6.489826693526057,0.12330827067669171,0.45,0.6236095644623235,0.6306776295469905,0.0
2003-01-02,2003,2002,2,43,20,16,0.2,32,0.01,0.03590944781899452,0.37288512717925554,0.1390433180714896,0.31395532071590426,-0.6727015707848372,-1.9895172480115844,0.2045112781954887,0.6,0.464420364012824,0.8974424996734633,0.0
2004-01-02,2004,2003,2,43,20,32,0.2,32,0.01,0.03585953637957573,0.37137605761750225,0.13792017617151833,0.2949415430426598,-0.6591900892814231,-9.580996233921633,-0.06466165413533834,0.7,0.5345224838248488,0.8291139701076808,0.0
2005-01-03,2005,2004,2,43,20,32,0.3,32,0.01,0.04020185396075249,0.36915939584526974,0.13627865954084456,0.2934199671447277,-0.6394425207921153,-21.616121430975237,-0.3924812030075188,0.45,0.37605071654517747,0.6922927468813873,0.0
2006-01-03,2006,2005,2,43,20,32,0.2,32,0.01,0.036056630313396454,0.3032160185766936,0.0919399539215018,0.233341965675354,-0.10604455845415695,-3.4828915974132357,0.3413533834586466,0.7,0.8043996665398437,0.7283147417243269,0.0
2007-01-03,2007,2006,2,43,19,16,0.2,32,0.01,0.03550509735941887,0.42521415141292107,0.18080707456181058,0.36126839800884847,-1.1757117972271205,-9.134996523831928,-0.10175438596491228,0.5263157894736842,0.4364357804719847,0.7879104953029799,0.0
2008-01-02,2008,2007,2,43,19,16,0.2,32,0.01,0.0357394702732563,0.363448423258284,0.13209475636893278,0.30591682932878794,-0.5895402349728247,-3.966985926828137,0.1845345556362535,0.42105263157894735,0.0,0.6781245246162619,0.0
2009-01-02,2009,2008,2,43,19,16,0.2,64,0.01,0.035530030727386475,0.2997413587480028,0.08984488214409891,0.22547174825067334,-0.0811334151339902,-0.8868715773240154,0.19824561403508772,0.6842105263157895,0.560611910581388,0.8739897951406792,0.0
2010-01-04,2010,2009,2,43,20,16,0.2,32,0.01,0.03762270137667656,0.2929279687622292,0.08580679488316555,0.23673879265785214,-0.03226219408319442,-10.85787438429058,0.4796992481203006,0.7,0.6021937915964948,0.8783957634189842,0.0
2011-01-03,2011,2010,2,43,20,16,0.2,32,0.01,0.033815670758485794,0.45133289286157013,0.20370138017879355,0.3793727150559425,-1.4505429194441328,-8.983945126155108,-0.5218045112781955,0.45,0.0,0.897036798410727,0.0
2012-01-03,2012,2011,2,43,19,16,0.3,32,0.01,0.03818543627858162,0.29518451322464423,0.08713389684767016,0.22634476489307478,-0.04851122540029773,-6.418764857708584,0.2982456140350877,0.631578947368421,0.7817359599705717,0.6295002107928225,0.0
2013-01-02,2013,2012,2,43,20,16,0.2,64,0.01,0.04201190918684006,0.4227582873261869,0.17872456950297083,0.36536174565553664,-1.1500700090582958,-1.371739256279842,-0.4421052631578947,0.55,0.7254762501100116,0.7039167647192535,0.0
2014-01-02,2014,2013,2,43,20,16,0.2,32,0.01,0.03734229505062103,0.3467692282769129,0.12024889767976574,0.30746342033147817,-0.44660328035808416,-11.459788284071621,0.17593984962406017,0.75,0.628970902033151,0.7543202657474263,0.0
2015-01-02,2015,2014,2,43,19,32,0.2,64,0.01,0.039402447640895844,0.34187936216570297,0.11688149827482788,0.2785074558944914,-0.40647402924042875,-17.243188625524407,0.15964912280701754,0.5789473684210527,0.5577733510227171,0.7887401087149085,0.0
2016-01-04,2016,2015,2,43,19,16,0.2,32,0.01,0.03806126490235329,0.35670247570304825,0.12723665617268373,0.30970154599469785,-0.5310810959446277,-4.039104381155046,-0.2421052631578947,0.47368421052631576,,0.9306815674042096,0.0
2017-01-03,2017,2016,2,43,20,32,0.2,32,0.01,0.03307168558239937,0.274644650232093,0.0754296839011087,0.2234781052172184,0.09257523126485767,-0.49737632549477384,0.5624060150375939,0.6,0.7453559924999299,0.8155920794350647,0.0
2018-01-02,2018,2017,2,43,20,16,0.2,32,0.01,0.03247135132551193,0.3890000814215361,0.15132106334596168,0.3456636741757393,-0.8204037695754787,-14.455693428083915,-0.20751879699248119,0.4,0.38924947208076144,0.7556595425735524,0.0
2019-01-02,2019,2018,2,43,20,16,0.3,64,0.01,0.030387962237000465,0.2202791901505279,0.048522921613372426,0.1915647980570793,0.4162656046511588,0.33964650117454687,0.6139761731348111,0.65,0.7947194142390263,0.5029620188954607,0.0
2020-01-02,2020,2019,2,43,20,16,0.2,32,0.01,0.03040166385471821,0.2600194481106373,0.06761011339576042,0.22853527113795283,0.18664525238182972,-0.7483661691242276,0.37744360902255636,0.5,0.375,0.5669164564114355,0.0
2021-01-04,2021,2020,2,43,20,16,0.2,32,0.01,0.034183233976364136,0.3695343018602583,0.1365556002513485,0.28830932691693306,-0.6427741383620873,-0.07894645020027102,0.04360902255639097,0.45,0.3960590171906697,1.0029491921407607,0.0
