rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,run_number,seed
1998-01-02,1998,1997,LLY,0.09784720093011856,1.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,BMY,0.09038703143596649,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,CSCO,0.08525767922401428,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,C,0.08062391728162766,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,PFE,0.0701170414686203,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,WMT,0.06304050981998444,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,VZ,0.05554250627756119,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,AIG,0.05260329693555832,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,MSFT,0.04450280964374542,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,GE,0.04390859231352806,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,INTC,0.04297301173210144,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,IBM,0.04246153309941292,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,MRK,0.042164452373981476,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,PG,0.04068198427557945,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,PEP,0.037424396723508835,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,T,0.03741902858018875,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,DIS,0.03682102635502815,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,KO,0.01622944138944149,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,XOM,0.009997265413403511,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-01-02,1998,1997,JNJ,0.009997265413403511,0.0,0.0,32,0.2,32,0.01,0.035148,3,44
1998-02-02,1998,1997,AIG,0.05000000074505806,0.377948,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,BMY,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,C,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,CSCO,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,DIS,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,GE,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,IBM,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,INTC,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,JNJ,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
1998-02-02,1998,1997,KO,0.05000000074505806,0.0,0.0,16,0.2,32,0.01,0.034682,3,44
