rebalance_date,ticker,invest_year,select_year,assigned_weight,turnover,tc_drag_bps,best_nodes,best_batch,best_lr,best_val_loss
1998-01-02,AIG,1998,1997,0.080027,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,BMY,1998,1997,0.034707,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,C,1998,1997,0.058784,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,CSCO,1998,1997,0.099281,0.500000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,DIS,1998,1997,0.056782,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,GE,1998,1997,0.049015,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,IBM,1998,1997,0.076878,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,INTC,1998,1997,0.096315,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,JNJ,1998,1997,0.014902,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,KO,1998,1997,0.019664,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,LLY,1998,1997,0.088397,0.500000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,MRK,1998,1997,0.017693,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,MSFT,1998,1997,0.044970,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,PEP,1998,1997,0.010173,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,PFE,1998,1997,0.010173,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,PG,1998,1997,0.051766,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,T,1998,1997,0.075931,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,VZ,1998,1997,0.045578,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,WMT,1998,1997,0.029704,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-01-02,XOM,1998,1997,0.039263,0.000000,0.000000,24.000000,32.000000,0.010000,0.035543
1998-07-01,AIG,1998,1997,0.060640,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,BMY,1998,1997,0.051908,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,C,1998,1997,0.069913,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,CSCO,1998,1997,0.079508,0.213207,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,DIS,1998,1997,0.071091,0.242596,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,GE,1998,1997,0.048674,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,IBM,1998,1997,0.032503,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,INTC,1998,1997,0.026646,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,JNJ,1998,1997,0.048609,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
1998-07-01,KO,1998,1997,0.022046,0.000000,0.000000,16.000000,64.000000,0.010000,0.038144
