rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_lr,best_val_loss,run_number,seed
1998-01-02,1998,1997,IBM,0.10000752657651901,1.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,CSCO,0.10000752657651901,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,WMT,0.08832038193941116,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,C,0.08617723733186722,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,INTC,0.08158740401268005,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,VZ,0.06802794337272644,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,LLY,0.06046118959784508,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,PFE,0.06026800721883774,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,T,0.05505620688199997,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,XOM,0.039615049958229065,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,GE,0.03558314964175224,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,DIS,0.03522362560033798,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,AIG,0.03441820293664932,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,PG,0.03365224227309227,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,PEP,0.03286375850439072,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,MSFT,0.025355085730552673,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,KO,0.01955854706466198,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,MRK,0.01828480139374733,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,BMY,0.015414540655910969,0.0,0.0,32,0.1,0.01,0.024896,1,42
1998-01-02,1998,1997,JNJ,0.010117488913238049,0.0,0.0,32,0.1,0.01,0.024896,1,42
1999-01-04,1999,1998,PFE,0.09890188276767731,0.856779,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,C,0.09890188276767731,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,WMT,0.0871848464012146,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,MRK,0.07905818521976471,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,MSFT,0.07831858098506927,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,INTC,0.07489434629678726,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,JNJ,0.06692812591791153,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,AIG,0.0626923143863678,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,HD,0.054591890424489975,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,BAC,0.05416321009397507,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,KO,0.053056180477142334,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,CSCO,0.043156251311302185,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,VZ,0.03419525921344757,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,XOM,0.02839130535721779,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,IBM,0.027123192325234413,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,T,0.016045168042182922,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,GE,0.012406956404447556,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,LLY,0.009996801614761353,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,BMY,0.009996801614761353,0.0,0.0,32,0.1,0.01,0.029244,1,42
1999-01-04,1999,1998,PG,0.009996801614761353,0.0,0.0,32,0.1,0.01,0.029244,1,42
2000-01-03,2000,1999,CSCO,0.1000026986002922,0.738093,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,HD,0.1000026986002922,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,MSFT,0.08491481095552444,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,ORCL,0.08041267096996307,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,QCOM,0.07258620858192444,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,AIG,0.07168813794851303,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,C,0.06784901767969131,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,GE,0.06378131359815598,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,BMY,0.05920852720737457,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,INTC,0.05254744738340378,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,WMT,0.051665596663951874,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,PG,0.049868304282426834,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,XOM,0.03663592413067818,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,MRK,0.02469761297106743,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,JNJ,0.02310643158853054,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,VZ,0.01672009378671646,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,T,0.013497128151357174,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,PFE,0.010725552216172218,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,IBM,0.010047832503914833,0.0,0.0,32,0.1,0.01,0.032994,1,42
2000-01-03,2000,1999,KO,0.010042055509984493,0.0,0.0,32,0.1,0.01,0.032994,1,42
2001-01-02,2001,2000,CSCO,0.1000090017914772,0.727127,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,INTC,0.1000090017914772,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,ORCL,0.1000090017914772,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,WMT,0.06695761531591415,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,MRK,0.06598158180713654,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,T,0.06463862955570221,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,XOM,0.06293237954378128,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,PFE,0.056793682277202606,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,BMY,0.05264060199260712,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,KO,0.047496870160102844,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,IBM,0.046090032905340195,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,AIG,0.046024978160858154,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,VZ,0.04145858436822891,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,PG,0.03858019784092903,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,LLY,0.0335499607026577,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,HD,0.022585852071642876,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,GE,0.016389334574341774,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,C,0.014320500195026398,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,MSFT,0.011766048148274422,0.0,0.0,32,0.1,0.01,0.032916,1,42
2001-01-02,2001,2000,JNJ,0.011766048148274422,0.0,0.0,32,0.1,0.01,0.032916,1,42
2002-01-02,2002,2001,WMT,0.09817246347665787,0.761521,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,PG,0.09587165713310242,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,JNJ,0.08378772437572479,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,AIG,0.07821547240018845,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,BAC,0.0736490935087204,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,C,0.0654849112033844,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,INTC,0.06547777354717255,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,GE,0.052341584116220474,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,HD,0.04889702796936035,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,KO,0.044607557356357574,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,BMY,0.04327532276511192,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,VZ,0.04108285903930664,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,XOM,0.04095868021249771,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,CVX,0.03878673166036606,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,IBM,0.03873918950557709,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,MRK,0.03750215098261833,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,CSCO,0.01999467983841896,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,PFE,0.013160528615117073,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,T,0.009997256100177765,0.0,0.0,32,0.1,0.01,0.03071,1,42
2002-01-02,2002,2001,MSFT,0.009997256100177765,0.0,0.0,32,0.1,0.01,0.03071,1,42
