rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,3,44,20,32,64,0.01,0.0380120612680912,0.32337714118209593,0.10457277543910522,0.2923542915284633,-0.2580183511471301,0.1575301747422846,-0.03909774436090225,0.2,0.39735970711951313,1.0000000279396772,0.0
1998-07-01,1998,1997,3,44,20,16,64,0.01,0.038952045142650604,0.31441858682450036,0.09885904774071588,0.2577221247553826,-0.18928177733192042,-0.29979422956314816,0.12180451127819547,0.35,0.2672612419124244,0.4694141550353833,0.0
1999-01-04,1999,1998,3,44,20,32,32,0.01,0.03927410766482353,0.2828010877961706,0.07997645525869737,0.24776031985878944,0.0378772299705582,-3.7421859691738755,0.29774436090225564,0.6,0.5669467095138409,0.6520417729159422,0.0
1999-07-01,1999,1998,3,44,20,16,32,0.01,0.0381992906332016,0.3574237739123191,0.1277517541577246,0.2779517513513565,-0.536863207912476,-2.350963022466709,-0.2421052631578947,0.6,0.6,0.4372109592273175,0.0
2000-01-03,2000,1999,3,44,20,16,64,0.01,0.041940707713365555,0.29014926993013795,0.08418659884099207,0.251824951171875,-0.012771113876596019,-2.786729777751535,0.08270676691729321,0.4,0.3481553119113957,0.741931829915168,0.0
2000-07-03,2000,1999,3,44,20,16,32,0.01,0.04020814597606659,0.31384528779960447,0.09849886467401657,0.2786696699261665,-0.18494874795809402,-4.454905280076894,-0.33579393919437384,0.35,0.2449489742783178,0.5152717494755398,0.0
2001-01-02,2001,2000,3,44,20,16,32,0.01,0.03581537306308746,0.32048853700574936,0.10271290235208556,0.2750039786100388,-0.23564393807020245,-5.048244982827402,-0.018045112781954885,0.5,0.5,0.8153233058076439,0.0
2001-07-02,2001,2000,3,44,20,16,32,0.01,0.03491731733083725,0.3529025396738086,0.12454020250822402,0.30476720035076144,-0.4982280000989354,-20.666724068527326,-0.18345864661654135,0.5,0.4923659639173309,0.5336887552672394,0.0
2002-01-02,2002,2001,3,44,20,16,32,0.01,0.0377085842192173,0.36452317236661635,0.1328771431922219,0.32581786572933197,-0.5985220233650754,-8.591739193794972,-0.15939849624060148,0.4,0.30550504633038933,0.7162398494963175,0.0
2002-07-01,2002,2001,3,44,20,16,32,0.01,0.03812069073319435,0.36500718733857906,0.13323024680882056,0.32220027685165403,-0.6027698864219013,-18.887985343551602,-0.303121495674748,0.55,0.5345224838248488,0.515285504289113,0.0
2003-01-02,2003,2002,3,44,20,16,32,0.01,0.03820662572979927,0.2900734141876876,0.08414258561850177,0.24538934946060179,-0.012241631500772954,-20.997673170574167,0.11401124018805123,0.85,0.0,0.621626301328145,0.0
2003-07-01,2003,2002,3,44,20,16,32,0.01,0.03983783721923828,0.35613400078193247,0.1268314265129455,0.27755163252353665,-0.5257915971482165,-4.813610101220081,-0.2556390977443609,0.5,0.5,0.3513757934916215,0.0
2004-01-02,2004,2003,3,44,20,16,32,0.01,0.03821168094873428,0.3630442605047172,0.13180113508541696,0.2942419666051865,-0.5855775649373469,-54.64175664612282,-0.05563909774436089,0.45,0.4629100498862757,0.8526403803924021,0.0
2004-07-01,2004,2003,3,44,20,16,64,0.01,0.03996068611741066,0.33374685154813755,0.11138696091829454,0.27627404421567914,-0.3399935148065507,-8.639059390947589,-0.13834586466165413,0.45,0.4879500364742666,0.5629658671306026,0.0
2005-01-03,2005,2004,3,44,20,32,64,0.01,0.040404144674539566,0.2674905829164696,0.07155121194899271,0.22221167027950287,0.13923354046324565,-23.48851374809719,0.3639097744360902,0.65,0.5590169943749475,0.6659201459638614,0.0
2005-07-01,2005,2004,3,44,20,16,32,0.01,0.033817533403635025,0.28514592121828225,0.08130819638742283,0.24609746903181073,0.021856284061078757,-40.55246703871582,0.2586072710063133,0.65,0.3535533905932738,0.4943343179896452,0.0
2006-01-03,2006,2005,3,44,20,16,64,0.01,0.03738490864634514,0.28611045725397005,0.08185919375007582,0.2493115332722664,0.01522774435999008,-31.09677489467635,0.12260900061972219,0.5,0.4,0.3377914578452061,0.0
2006-07-03,2006,2005,3,44,20,16,32,0.01,0.041294049471616745,0.3482629175595171,0.121287059747067,0.30157453030347825,-0.4590924480850165,-5.846518264692798,-0.22255639097744356,0.55,0.7254762501100116,0.5308801097090521,0.0
2007-01-03,2007,2006,3,44,19,16,64,0.01,0.04024051874876022,0.3134264080388201,0.09823611325611696,0.25949893384098677,-0.1821078961819409,-14.244090610595288,0.1456140350877193,0.47368421052631576,0.30151134457776363,0.6674044194656088,0.0
2007-07-02,2007,2006,3,44,20,16,64,0.01,0.04215501621365547,0.3176575235260897,0.10090630225272826,0.2656569761037827,-0.21391040304034004,-8.762365451744815,-0.4586466165413533,0.45,0.4494665749754947,0.5511724388310526,0.0
2008-01-02,2008,2007,3,44,20,16,32,0.01,0.04083116725087166,0.3290826443987465,0.10829538684447186,0.2791365933418274,-0.3028016462492853,-7.7069974031043085,-0.29172932330827067,0.55,0.44280744277004763,0.8894336969833619,0.0
2008-07-01,2008,2007,3,44,20,16,32,0.01,0.038407474756240845,0.3260390187881097,0.10630144177231335,0.26653573513031004,-0.2788143371105367,-4.892515408455833,-0.4090225563909774,0.25,0.3333333333333333,0.5254017697931039,0.0
2009-01-02,2009,2008,3,44,19,16,32,0.01,0.039362091571092606,0.29963713151775934,0.08978241058419101,0.2650052453507347,-0.08038167402976515,-12.235391595660907,0.2421052631578947,0.5263157894736842,0.5330017908890261,0.6832221044750045,0.0
2009-07-01,2009,2008,3,44,19,16,32,0.01,0.03947502374649048,0.2921402689159287,0.08534593672227113,0.24756826959818687,-0.02699610522466278,-0.9908239899977076,0.057894736842105256,0.3157894736842105,0.5270462766947299,0.626423328034221,0.0
2010-01-04,2010,2009,3,44,20,16,32,0.01,0.038277167826890945,0.35113774557474337,0.12329771636731321,0.3157589969038963,-0.4832807984037679,-21.94246388261982,0.27104801451113764,0.5,0.6882472016116853,1.0150443148874275,0.0
2010-07-01,2010,2009,3,44,20,16,32,0.01,0.04128849133849144,0.3311220834687637,0.10964183416069492,0.2598668473958969,-0.3189995087000894,-1.1756928363173738,0.1533834586466165,0.6,0.7453559924999299,0.8824243313504341,0.0
2011-01-03,2011,2010,3,44,20,32,32,0.01,0.04010989889502525,0.2690948223891408,0.07241202343664323,0.21177926868200297,0.1288779135441418,-16.664300677985242,0.41353383458646614,0.7,0.6963106238227913,0.6310962340774777,0.0
2011-07-01,2011,2010,3,44,20,32,64,0.01,0.03959016501903534,0.2899800179211653,0.08408841079355933,0.24452922046184544,-0.01158990428342066,-7.087384132503566,0.2706766917293233,0.5,0.40201512610368484,0.4191729042963205,0.0
