rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,9,50,20,16,64,0.01,0.02995755337178707,0.2869261201186186,0.08232659840632395,0.2412290301918983,0.00960483120211797,0.5800969500334539,0.28421052631578947,0.25,0.3333333333333333,0.9999999813735485,0.0
1999-01-04,1999,1998,9,50,20,32,64,0.01,0.033735595643520355,0.3486702886748575,0.12157097020460847,0.29161855578422546,-0.4625079122358915,0.34520861886307186,0.15939849624060148,0.45,0.3922322702763681,0.5558953096291281,0.0
2000-01-03,2000,1999,9,50,20,16,32,0.01,0.03877948224544525,0.3261192071931908,0.1063537373003153,0.26744877427816394,-0.2794434562443946,-2.9851446406342492,0.06475910958496596,0.6,0.5945883900105632,0.7789231333215645,0.0
2001-01-02,2001,2000,9,50,20,16,32,0.01,0.032983142882585526,0.326453777072624,0.1065720685649825,0.2809593826532364,-0.2820699977742256,-3.45562564681466,0.02482136316939624,0.55,0.4330127018922193,0.7434031960618739,0.0
2002-01-02,2002,2001,9,50,20,32,32,0.01,0.03482269495725632,0.36027925288273993,0.12980114005774526,0.2845078730583191,-0.56151747437889,-7.406530280103594,-0.13834586466165413,0.45,0.6236095644623235,0.8338422909080161,0.0
2003-01-02,2003,2002,9,50,20,32,32,0.01,0.038056597113609314,0.33642667038297375,0.11318290454497407,0.2677744933962822,-0.36159885166886085,-1.2093115900254006,-0.14436090225563908,0.7,0.5048781642974013,0.8726118125170093,0.0
2004-01-02,2004,2003,9,50,20,16,64,0.01,0.040827516466379166,0.2617845871768129,0.06853117008333436,0.21544564455747608,0.17556487117793274,-5.3034079732801285,0.4332456116840071,0.7,0.7319250547113999,0.5428200902242343,0.0
2005-01-03,2005,2004,9,50,20,32,32,0.01,0.0353802852332592,0.3763368012346242,0.14162938796350905,0.29651845216751094,-0.7038121860271762,-41.18122123870956,-0.12781954887218044,0.4,0.40201512610368484,1.0410567587806348,0.0
2006-01-03,2006,2005,9,50,20,16,32,0.01,0.032319121062755585,0.27924266964248634,0.07797646854906276,0.22981098264455796,0.06193722046240291,-4.606386699824703,0.306165062206635,0.85,0.7669649888473704,0.649645238470743,0.0
2007-01-03,2007,2006,9,50,19,16,32,0.01,0.03743341565132141,0.30940790215553954,0.09573324991629194,0.26714356049606347,-0.15199010732604634,-5.666731276963362,-0.2625368520192991,0.631578947368421,0.36187343222787294,0.42547020943935276,0.0
2008-01-02,2008,2007,9,50,20,32,64,0.01,0.038140617311000824,0.32652769000706805,0.10662033234135193,0.277461850643158,-0.2826506146328054,-2.6276022691246865,-0.08721804511278194,0.6,0.0,0.7294766192534912,0.0
2009-01-02,2009,2008,9,50,19,16,32,0.01,0.034834567457437515,0.29678383162819805,0.0880806427159146,0.23994408725371327,-0.05990373401483917,-0.9061233768919803,0.2508771929824561,0.5789473684210527,0.50709255283711,0.7094063030754197,0.0
2010-01-04,2010,2009,9,50,20,32,64,0.01,0.040727999061346054,0.3606173196702717,0.13004485124617096,0.2982404787838459,-0.5644493382998008,-4.450302293980619,-0.5593984962406015,0.35,0.33149677206589795,0.7955055826703432,0.0
