rebalance_date,ticker,invest_year,select_year,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_batch,best_lr,best_val_loss
1998-01-02,AIG,1998,1997,0.027550,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,BMY,1998,1997,0.063594,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,C,1998,1997,0.087570,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,CSCO,1998,1997,0.094081,0.400000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,DIS,1998,1997,0.032654,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,GE,1998,1997,0.043734,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,IBM,1998,1997,0.076941,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,INTC,1998,1997,0.078668,0.400000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,JNJ,1998,1997,0.012546,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,KO,1998,1997,0.029420,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,LLY,1998,1997,0.083102,0.200000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,MRK,1998,1997,0.046279,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,MSFT,1998,1997,0.033951,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,PEP,1998,1997,0.046317,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,PFE,1998,1997,0.084351,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,PG,1998,1997,0.026183,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,T,1998,1997,0.049372,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,VZ,1998,1997,0.033926,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,WMT,1998,1997,0.038689,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-01-02,XOM,1998,1997,0.011072,0.000000,0.000000,25.600000,0.240000,44.800000,0.010000,0.036468
1998-02-02,AIG,1998,1997,0.033322,0.075590,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,BMY,1998,1997,0.057289,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,C,1998,1997,0.088227,0.070995,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,CSCO,1998,1997,0.067706,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,DIS,1998,1997,0.041181,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,GE,1998,1997,0.035369,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,IBM,1998,1997,0.081539,0.100940,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,INTC,1998,1997,0.064683,0.060045,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,JNJ,1998,1997,0.030104,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,KO,1998,1997,0.042232,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,LLY,1998,1997,0.069676,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,MRK,1998,1997,0.041162,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,MSFT,1998,1997,0.030072,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,PEP,1998,1997,0.045279,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,PFE,1998,1997,0.077620,0.077067,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,PG,1998,1997,0.031592,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,T,1998,1997,0.042659,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,VZ,1998,1997,0.052045,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,WMT,1998,1997,0.047045,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-02-02,XOM,1998,1997,0.021197,0.000000,0.000000,25.600000,0.240000,38.400000,0.010000,0.037808
1998-03-02,AIG,1998,1997,0.045795,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,BMY,1998,1997,0.051923,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,C,1998,1997,0.061850,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,CSCO,1998,1997,0.056115,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,DIS,1998,1997,0.066928,0.103077,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,GE,1998,1997,0.030477,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,IBM,1998,1997,0.048720,0.072820,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,INTC,1998,1997,0.046093,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,JNJ,1998,1997,0.050990,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,KO,1998,1997,0.022092,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,LLY,1998,1997,0.068124,0.087830,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,MRK,1998,1997,0.061147,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,MSFT,1998,1997,0.037944,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,PEP,1998,1997,0.050686,0.143624,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,PFE,1998,1997,0.069234,0.128457,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,PG,1998,1997,0.041427,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,T,1998,1997,0.051576,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,VZ,1998,1997,0.031900,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,WMT,1998,1997,0.063233,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-03-02,XOM,1998,1997,0.043744,0.000000,0.000000,25.600000,0.220000,38.400000,0.010000,0.037565
1998-04-01,AIG,1998,1997,0.031144,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,BMY,1998,1997,0.032528,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,C,1998,1997,0.032436,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,CSCO,1998,1997,0.042580,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,DIS,1998,1997,0.058136,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,GE,1998,1997,0.031874,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,IBM,1998,1997,0.056427,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,INTC,1998,1997,0.077617,0.152880,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,JNJ,1998,1997,0.034701,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,KO,1998,1997,0.038327,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,LLY,1998,1997,0.055408,0.144850,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,MRK,1998,1997,0.059081,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,MSFT,1998,1997,0.051487,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,PEP,1998,1997,0.065830,0.140428,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,PFE,1998,1997,0.069795,0.258453,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,PG,1998,1997,0.051620,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,T,1998,1997,0.057027,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,VZ,1998,1997,0.047657,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,WMT,1998,1997,0.062910,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-04-01,XOM,1998,1997,0.043412,0.000000,0.000000,28.800000,0.220000,32.000000,0.010000,0.042401
1998-05-01,AIG,1998,1997,0.031005,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,BMY,1998,1997,0.053637,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,C,1998,1997,0.040669,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,CSCO,1998,1997,0.075966,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,DIS,1998,1997,0.067947,0.170468,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,GE,1998,1997,0.047882,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,IBM,1998,1997,0.058783,0.083907,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,INTC,1998,1997,0.046114,0.102603,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,JNJ,1998,1997,0.041192,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,KO,1998,1997,0.028572,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
1998-05-01,LLY,1998,1997,0.041032,0.000000,0.000000,32.000000,0.200000,44.800000,0.010000,0.039074
