rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.29627274491817557,0.08777753938135033,0.2550812393426895,-0.055970398572635416,-0.47449403123254896,-0.3002901667680179,0.35,0.0,0.3,1,1,0.5,100,5,1.0,1.0,0.045437698472973964,0.9999999701976776,0.0
1998-07-01,1998,1997,20,0.2757316105096684,0.07602792103425546,0.23784585893154145,0.0853783935728667,-1.2485458821475395,0.29172932330827067,0.6,0.36187343222787294,0.1,5,10,0.5,100,1,1.0,1.0,-0.0026420221924963183,0.5519830331611422,0.0
1999-01-04,1999,1998,20,0.27785659592602674,0.0772042878995993,0.23757323175668713,0.0712266117341438,-3.3492220411845715,0.1700527193210732,0.65,0.511766315719159,0.05,5,1,0.5,100,3,1.0,0.8,0.00016785110981387685,0.8171712448106876,0.0
1999-07-01,1999,1998,20,0.2918914136407592,0.0852005973572008,0.25029269069433213,-0.02496959226707718,-1.9735686614463455,0.09135601603300182,0.55,0.529150262212918,0.05,2,1,0.5,200,3,1.0,0.8,0.02478691553944712,0.4320765123997415,0.0
2000-01-03,2000,1999,20,0.2806539118502853,0.07876661823686773,0.24927589297294617,0.05243166030835822,-3.124698850625144,0.19849624060150375,0.5,0.4605661864718383,0.05,2,10,0.5,100,5,0.8,0.8,0.07624348626234778,0.6107036288886777,0.0
2000-07-03,2000,1999,20,0.30744007719089916,0.09451940106314603,0.267286008298397,-0.13707550151153125,-4.505533646483149,-0.4090402733722679,0.35,0.31622776601683794,0.05,2,10,0.5,200,5,1.0,0.8,-0.02293138559566521,0.5665233189499438,0.0
2001-01-02,2001,2000,20,0.2900129223731069,0.08410749514338972,0.24850207865238189,-0.011819490446793646,-5.360531281770615,-0.01583118967153259,0.5,0.5345224838248488,0.05,1,1,0.5,200,5,1.0,1.0,0.01588803943625261,0.5891872881706915,0.0
2001-07-02,2001,2000,20,0.2987471104719656,0.08924983601534883,0.255462908744812,-0.07368223777863259,-22.79462384652605,0.014807013015237677,0.45,0.0,0.05,1,1,0.5,200,3,1.0,0.8,0.020917419100944912,0.5076994062526363,0.0
2002-01-02,2002,2001,20,0.3081532035419491,0.0949583968531659,0.26930745840072634,-0.14235665387267238,-8.568068187537381,-0.5194327264188504,0.25,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.13202004400297485,0.6066335413355972,0.0
2002-07-01,2002,2001,20,0.2920466604694105,0.08529125189133516,0.255440616607666,-0.0260601731288439,-20.460387292069132,0.023994627402923647,0.3,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.10551050418821362,0.35221060180418706,0.0
2003-01-02,2003,2002,20,0.2775342866770601,0.07702528028134459,0.23939068913459777,0.07338008684096742,-17.37691159287652,0.29770144926060954,0.75,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.07216493515885536,0.9949318894740796,0.0
2003-07-01,2003,2002,20,0.272832718604716,0.07443769234124012,0.23811433911323548,0.10450896431590817,-4.915596016205929,0.5086046545751162,0.7,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.025562498718481708,0.5793745221957243,0.0
2004-01-02,2004,2003,20,0.2780013416349841,0.07728474595085112,0.2406010192632675,0.07025869532810691,-54.525489500545504,0.3233067825392753,0.8,0.5773502691896257,0.3,2,1,0.5,100,3,1.0,1.0,0.007641512405050621,0.7364194223122079,0.0
2004-07-01,2004,2003,20,0.2945701515145505,0.08677157416330526,0.24790092408657075,-0.04386856136307071,-10.138318214869262,-0.15118466657723162,0.65,0.5976143046671968,0.1,5,5,0.5,200,1,1.0,1.0,0.014488076708310316,0.3090134288037416,0.0
2005-01-03,2005,2004,20,0.28205826606255674,0.07955686545421606,0.23397998809814452,0.042924926866573676,-29.869651086351748,0.30626128011561987,0.5,0.46770717334674267,0.3,2,1,0.5,100,3,1.0,1.0,0.015358895384825155,0.7817215931550022,0.0
2005-07-01,2005,2004,20,0.28025624576354463,0.07854356328947634,0.23819617718458175,0.055115028096525354,-36.31364698265717,0.30613014575588693,0.7,0.5863019699779287,0.1,5,1,0.5,100,1,1.0,0.8,0.06812748350344988,0.754922785364996,0.0
2006-01-03,2006,2005,20,0.2799650163150049,0.07838041036026096,0.24482174515724187,0.05707777010212389,-28.70161731794749,0.22138579323232552,0.6,0.5916079783099616,0.3,5,1,0.5,100,3,1.0,0.8,0.01742817040419653,0.7404992499953927,0.0
2006-07-03,2006,2005,20,0.31002148969626675,0.09611332407349243,0.27357124209403993,-0.15625051516983368,-6.081913109418829,-0.2659724977378573,0.95,0.0,0.3,5,10,0.5,100,1,1.0,1.0,0.04522368322817483,0.4792455507896579,0.0
2007-01-03,2007,2006,19,0.291262846930533,0.08483404600207911,0.24954204017765969,-0.020836353558352005,-23.49777175434639,-0.08967965241408951,0.3684210526315789,0.337099931231621,0.3,2,1,0.5,100,3,1.0,1.0,0.003724481466871765,0.5847348795463652,0.0
2007-07-02,2007,2006,19,0.300003795579487,0.0900022773620986,0.2549413865292832,-0.08302740425725341,-15.76081483073041,-0.057894736842105256,0.5263157894736842,0.0,0.05,5,5,0.5,200,1,1.0,0.8,-0.032034838203567784,0.48073338918312747,0.0
2008-01-02,2008,2007,20,0.31457378383544576,0.09895666547654977,0.2599278515577316,-0.19045612603368123,-8.825702404116951,-0.21378435699343595,0.25,0.28005601680560194,0.05,1,1,0.5,200,5,1.0,0.8,0.021528832735787984,0.8079022261044012,0.0
2008-07-01,2008,2007,20,0.328808717509152,0.10811517271001332,0.27102633267641063,-0.3006336566618142,-5.053620110312425,0.023334602755143475,0.15,0.23570226039551584,0.05,2,1,0.5,200,1,1.0,0.8,-0.013299276629765489,0.47985622234160913,0.0
2009-01-02,2009,2008,19,0.2929582269690201,0.08582452274883187,0.2527521800796741,-0.03275509041094371,-12.287420795898958,-0.0773969272830482,0.47368421052631576,0.3988620176087328,0.3,5,10,0.5,100,5,1.0,1.0,0.010215490758391121,0.7531591741417171,0.0
2009-07-01,2009,2008,19,0.2885498700035698,0.08326102747907704,0.2484780639162354,-0.0019076973315603762,-1.4663267924097974,0.057894736842105256,0.7894736842105263,0.0,0.05,5,5,0.5,200,5,1.0,0.8,-0.0022461032252398816,0.4723917794235426,0.0
2010-01-04,2010,2009,20,0.2860833453640378,0.08184368049467931,0.24798972785472867,0.015414369988820176,-21.643167745898108,0.20331348358070706,0.05,0.0,0.1,2,1,0.5,135,1,1.0,1.0,-0.018268852184687212,0.6944722840983466,0.0
2010-07-01,2010,2009,20,0.29973211624890583,0.08983934151104761,0.2593434703350067,-0.08077403321561016,-1.040617369336292,-0.22307449652219283,0.85,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.0017785795939495586,0.48351714834406684,0.0
2011-01-03,2011,2010,20,0.2948280140712116,0.08692355788117456,0.25518199503421785,-0.045696936916385766,-22.07333694019924,-0.31582264310541264,0.6,0.3333333333333333,0.05,1,1,0.5,135,1,1.0,1.0,-0.07467221991762507,0.6251695408605362,0.0
2011-07-01,2011,2010,20,0.2744262064919689,0.07530974280957277,0.23665229499340054,0.09401813161416228,-10.404418056669153,0.4257310084407007,0.6,0.3333333333333333,0.05,1,1,0.5,100,5,1.0,1.0,-0.005881042025132066,0.35521721459137634,0.0
2012-01-03,2012,2011,20,0.283305456808833,0.08026198185766155,0.2478477656841278,0.03444232351685361,-7.160553575729663,0.3193979298523786,0.85,0.0,0.05,2,5,0.5,200,1,1.0,1.0,0.002072186185081981,0.7193684674491998,0.0
2012-07-02,2012,2011,20,0.2752002707102163,0.07573518899897633,0.23932979166507726,0.08889998196720217,-22.920410246819998,0.34527070807437743,0.6,0.4494665749754947,0.3,2,10,0.5,100,1,1.0,1.0,0.003144786512172315,0.7061205053147219,0.0
2013-01-02,2013,2012,20,0.28871802169765576,0.08335809605300802,0.24962791919708258,-0.0028041630437056764,-8.400243736215504,0.05413533834586466,0.75,0.0,0.05,1,1,0.5,200,3,0.8,0.8,-0.014744444569835258,0.5666468236565748,0.0
2013-07-01,2013,2012,20,0.299239701353011,0.08954439886583919,0.2546827507019042,-0.07722585101761426,-7.888684020743417,-0.4126289047732539,0.9,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.04319809254929985,0.33692699861704073,0.0
