rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.30217335305342297,0.0913087352955486,0.25776085615158084,-0.09845095092389289,-84.8651243390094,0.10669980913999659,0.7,0.0,0.05,5,10,0.001,300,1.0,1.0,0.0674702259127622,0.999999925494194,0.0
1998-02-02,1998,1997,20,0.322456255096692,0.10397803645098291,0.2744720152020454,-0.2508635964028021,-76.27935675996602,-0.16339179656354239,0.65,0.4,0.005,5,3,0.005,100,1.0,1.0,-0.03319661347864411,0.6587368556192481,0.0
1998-03-02,1998,1997,20,0.2922239628100983,0.08539484444043773,0.25433639854192724,-0.027306399283461458,-32.80296705092531,0.1533834586466165,0.7,0.0,0.005,5,10,0.001,300,1.0,1.0,-0.005833651083832603,0.573949948746611,0.0
1998-04-01,1998,1997,20,0.29148297114989596,0.08496232247037108,0.2460510641336441,-0.022103127463110717,-41.64980214440643,0.023325815482094118,0.55,0.4264014327112209,0.05,1,10,0.001,100,1.0,1.0,0.0347680668447401,0.6014774009241813,0.0
1998-05-01,1998,1997,20,0.2990070516672089,0.08940521694671694,0.2541818380355835,-0.07555148206576745,-102.64980167897748,-0.2928801212842395,0.4,0.0,0.01,1,1,0.001,100,1.0,1.0,-0.002693163580798519,0.41412822040435404,0.0
1998-06-01,1998,1997,20,0.2792465825765996,0.07797865388070967,0.23245673865079883,0.061910930758379834,-17.708540420400382,0.3151560959993037,0.75,0.5887840577551898,0.01,2,3,0.001,100,1.0,1.0,-0.022241346557827946,0.6232956314874867,0.0
1998-07-01,1998,1997,20,0.3004018879123363,0.09024129426129587,0.26795254439115523,-0.08560955502310796,-66.15483193956088,-0.09323308270676692,0.35,0.3178208630818641,0.01,2,5,0.001,300,1.0,1.0,0.24578571415778117,0.5170881458855473,0.0
1998-08-03,1998,1997,20,0.32288656149504863,0.10425573159409582,0.2706450393795968,-0.2542042898537842,-18.82752271935477,0.07218045112781954,0.35,0.0,0.05,5,1,0.005,100,1.0,1.0,0.06022837886974031,0.5191468854156047,0.0
1998-09-01,1998,1997,20,0.3150665815297857,0.09926695079686512,0.26889434903860093,-0.19418888176679827,-32.73969926823381,-0.18359674121390207,0.5,0.30151134457776363,0.01,5,5,0.001,100,1.0,1.0,0.05428736801424916,0.5393296891857375,0.0
1998-10-01,1998,1997,20,0.30272920600655534,0.0916449721693594,0.2643390962481499,-0.1024959057968049,-6.901091541216197,-0.20233171795659358,0.85,,0.05,1,1,0.001,300,1.0,1.0,0.07978379701167149,0.4173732866387119,0.0
1998-11-02,1998,1997,20,0.3057043474202587,0.09345514803164623,0.26273107826709746,-0.12427245752356342,-27.161566487820085,-0.06624190033132644,0.75,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014915956402773656,0.3352175293725883,0.0
1998-12-01,1998,1997,20,0.2861225700931968,0.08186612511673631,0.2473698323965073,0.015144359497908821,-52.21283713123702,0.18134287302314311,0.8,0.5773502691896257,0.05,2,1,0.001,100,1.0,1.0,-0.11067821635002906,0.3682735626662235,0.0
1999-01-04,1999,1998,20,0.3024603799054773,0.09148228141256566,0.2566833925247193,-0.10053872376018824,-28.753856974175875,-0.530537737464562,0.8,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.05526138003768488,0.6702296336660369,0.0
1999-02-01,1999,1998,20,0.3048704350630259,0.0929459821755187,0.2599266833066941,-0.11814715399120246,-83.5417652147327,0.23069739598748434,0.45,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.17822411036325203,0.3670882511421718,0.0
1999-03-01,1999,1998,20,0.3185761237956129,0.10149074665263766,0.27253008633852,-0.220941313114438,-47.720488148558466,-0.1799022599509448,0.75,0.46770717334674267,0.005,10,5,0.001,100,1.0,1.0,0.03273790424601375,0.6494504716460712,0.0
1999-04-01,1999,1998,20,0.28973567053988786,0.08394675878319845,0.24877689599990843,-0.009885819948251884,-30.52072671669965,0.30647625117536215,0.55,0.0,0.005,10,1,0.005,100,1.0,1.0,-0.12598435920177398,0.6286944404329777,0.0
1999-05-03,1999,1998,20,0.3675428431358364,0.13508774154037403,0.32048686772584917,-0.625115687703748,-67.98261931575028,-0.452902438464911,0.45,0.3960590171906697,0.01,1,1,0.001,300,1.0,1.0,0.13582439166688498,0.6997056510777621,0.0
1999-06-01,1999,1998,20,0.2751588684545887,0.07571240288920963,0.23346472203731533,0.08917410058093667,-18.83194037516763,0.5473068429301267,0.8,0.0,0.005,10,1,0.001,300,1.0,1.0,-0.04996159628608665,0.4913849867812077,0.0
1999-07-01,1999,1998,20,0.3047229053338224,0.0928560490350857,0.2607157504558563,-0.1170652515499031,-89.23545436186392,-0.2004400111528008,0.3,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.1400838659723893,0.7828082056210984,0.0
1999-08-02,1999,1998,20,0.28579822895185386,0.08168062767201628,0.24418542087078093,0.01737590770506725,-41.37451359278675,0.25527137382911,0.7,0.5345224838248488,0.005,10,1,0.01,100,1.0,1.0,-0.054781804800627665,0.8775820709665377,0.0
1999-09-01,1999,1998,20,0.3449922456939278,0.11901964958893943,0.3015741738677025,-0.43181533340077505,-59.655127625011765,-0.5859346033018082,0.2,0.2,0.005,5,3,0.01,100,1.0,1.0,-0.021121263608048668,0.5947287650402138,0.0
1999-10-01,1999,1998,20,0.30810732589972384,0.09493012427307865,0.27038417607545856,-0.1420165326084648,-11.04241669113143,-0.1807912810485162,0.6,0.6262242910851494,0.05,1,10,0.001,200,1.0,1.0,0.1809135848250053,0.5925534651105085,0.0
1999-11-01,1999,1998,20,0.2940555037440902,0.08646863928219065,0.25199050098657605,-0.04022423196620317,-52.05375070691504,0.019593117138249058,0.45,0.28867513459481287,0.01,1,10,0.001,300,1.0,1.0,0.05941599675352194,0.4484564300391878,0.0
1999-12-01,1999,1998,20,0.2835512887621223,0.08040133335866047,0.23923519045114516,0.03276591448228017,-17.879501079847028,0.14898424082111725,0.55,0.4264014327112209,0.005,2,10,0.001,200,1.0,1.0,0.039509479713706885,0.5851315060338779,0.0
2000-01-03,2000,1999,20,0.3051347425064448,0.09310721108447438,0.25415504693984986,-0.1200867498884135,-27.59426640151853,-0.2536389299120253,0.5,0.0,0.01,1,1,0.001,100,1.0,1.0,-0.09095216722203303,1.0743551763408186,0.0
2000-02-01,2000,1999,20,0.24407299511621636,0.05957162694500058,0.2134086352586746,0.283348848781948,-15.533041968657578,0.4992475541259585,0.6,0.649519052838329,0.05,1,1,0.001,100,1.0,1.0,0.18066182825751376,0.7423490996141655,0.0
2000-03-01,2000,1999,20,0.2911978908477885,0.08479621163420056,0.2524257433414459,-0.020104801614442946,-10.374000518850398,0.29671138515103207,0.85,0.0,0.005,2,10,0.001,100,1.0,1.0,-0.0969722415938159,0.5786780457174632,0.0
2000-04-03,2000,1999,20,0.32059360708875434,0.1027802609061786,0.26499989032745364,-0.23645426654049428,-31.8550513784567,-0.2690466380364658,0.3,0.32659863237109044,0.01,1,10,0.001,200,1.0,1.0,0.24430085972402682,0.45492232328244897,0.0
2000-05-01,2000,1999,20,0.302931028676749,0.09176720813515331,0.25730254769325256,-0.1039664136559797,-24.06837501827949,-0.07008766440504624,0.45,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.11100741020014215,0.4626232918345497,0.0
2000-06-01,2000,1999,20,0.30121460072418843,0.09073023568943227,0.25585628509521485,-0.09149155716610258,-43.986170017384794,0.20974272640116867,0.75,0.0,0.05,2,5,0.001,300,1.0,1.0,-0.16283677605171754,0.3685631908302488,0.0
2000-07-03,2000,1999,20,0.2994281420331333,0.08965721224141422,0.2556942027807236,-0.07858300440799071,-64.0096910165279,-0.029281035666767954,0.45,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.09319709260211839,0.08900277863787977,0.0
2000-08-01,2000,1999,20,0.3093600227420176,0.09570362367094168,0.2645626273751259,-0.1513217885226068,-24.953740552904158,-0.04210526315789473,0.45,0.42640143271122083,0.05,5,3,0.001,200,1.0,1.0,0.17159701377592407,0.5714856237904457,0.0
2000-09-01,2000,1999,20,0.30677285159761186,0.0941095824773304,0.2664043408632279,-0.1321453531107415,-18.352379066061694,-0.019675019181970656,0.6,0.0,0.005,10,3,0.001,100,1.0,1.0,-0.06552921757625585,0.7644585331482925,0.0
2000-10-02,2000,1999,20,0.30314561136308976,0.09189726168870145,0.2581948614120483,-0.10553096768362646,-26.191091466922614,0.2649064714130087,0.45,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.025963731715187954,0.5434035683566641,0.0
2000-11-01,2000,1999,20,0.279072187143466,0.0778812856370377,0.2325370970368385,0.06308227805067412,-27.320265684394567,0.2736570574513975,0.65,0.6030226891555273,0.005,2,3,0.001,100,1.0,1.0,-0.0310843022884979,0.656714899877937,0.0
2000-12-01,2000,1999,20,0.32589381152151553,0.10620677638802108,0.2762022769451141,-0.27767550541980235,-34.26556749552615,-0.15789473684210525,0.45,0.28284271247461906,0.05,5,1,0.001,200,1.0,1.0,0.12460413181130547,0.6934036490798394,0.0
2001-01-02,2001,2000,20,0.3005842989940521,0.0903509208017457,0.2562031215429306,-0.0869283705473165,-15.196334969002166,0.570672505863777,0.5,0.0,0.05,1,10,0.001,300,1.0,1.0,0.17772868507219097,0.664248786345688,0.0
2001-02-01,2001,2000,20,0.3091299980361332,0.09556135568581972,0.2659790274500847,-0.14961029396474856,-20.183186826135383,-0.24595714413310815,0.25,0.3429971702850177,0.01,2,5,0.001,100,1.0,1.0,0.0909580568470798,0.3767734539212321,0.0
2001-03-01,2001,2000,20,0.3350094510402984,0.1122313322863221,0.28131723016500476,-0.35015136585049134,-28.624642131951727,-0.09853329015730022,0.4,0.5423261445466404,0.05,5,1,0.001,300,1.0,1.0,0.17925834323498535,0.5608906757475282,0.0
