rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
1999-01-04,1999,1998,PFE,0.05065980553627014,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,MSFT,0.05023731291294098,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,BMY,0.04440503567457199,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,AIG,0.04053085297346115,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,PG,0.03925788775086403,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,T,0.038246262818574905,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,MRK,0.03368816524744034,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,GE,0.028541019186377525,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,JNJ,0.028541019186377525,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,VZ,0.02458580583333969,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,KO,0.019437475129961967,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
1999-01-04,1999,1998,XOM,0.009999025613069534,0.0,0.0,0.1,2,100,1,1.0,1.0,0.005361
2000-01-03,2000,1999,IBM,0.09969686716794968,0.608112,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,INTC,0.08330808579921722,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,JNJ,0.07079612463712692,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,GE,0.06815958023071289,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,WMT,0.0678626075387001,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,MSFT,0.06650719791650772,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,CSCO,0.06522605568170547,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,C,0.06510106474161148,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,ORCL,0.06196368485689163,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,PG,0.055143848061561584,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,XOM,0.05162104591727257,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,HD,0.048342227935791016,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,AIG,0.048342227935791016,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,VZ,0.03678460046648979,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,BMY,0.03471915423870087,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,QCOM,0.018156753852963448,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,KO,0.017901672050356865,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,MRK,0.017901672050356865,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,PFE,0.012465816922485828,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2000-01-03,2000,1999,T,0.009999698959290981,0.0,0.0,0.1,5,200,3,1.0,1.0,0.163215
2001-01-02,2001,2000,MSFT,0.10000722855329514,0.843896,0.0,0.05,1,200,5,1.0,1.0,0.023999
2001-01-02,2001,2000,BMY,0.08849897980690002,0.0,0.0,0.05,1,200,5,1.0,1.0,0.023999
