rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.29604936764948353,0.08764522808565907,0.25707042813301084,-0.054378683737251965,-4.178081727272009,-0.1518796992481203,0.55,0.0,0.05,1,100,5,0.7,0.7,0.03367638369040904,0.9999998845160007,0.0
1998-04-01,1998,1997,20,0.28818277409316906,0.0830493112840345,0.25082432478666306,0.0009105409439459367,-15.367442753625845,0.006015037593984962,0.5,0.0,0.05,1,100,3,0.7,0.7,-0.004878684521540277,0.407284088885099,0.0
1998-07-01,1998,1997,20,0.29027277934663476,0.08425828642962012,0.24538576006889343,-0.013633520957835987,-10.7130193758784,0.16842105263157892,0.6,0.628970902033151,0.05,1,100,5,0.7,0.7,0.018545142026311412,0.6078269017527103,0.0
1998-10-01,1998,1997,20,0.2758648962491377,0.07610144098254751,0.23517029136419296,0.08449394306709779,0.2828099872609343,0.4124788522903725,0.95,,0.05,1,100,5,1.0,1.0,0.016450005682460023,0.8012482038139433,0.0
1999-01-04,1999,1998,20,0.28432816602990413,0.08084250599792873,0.25128378272056584,0.027458574461007745,-12.515690240311235,0.16826410158371094,0.65,0.0,0.05,1,100,5,1.0,0.7,-0.011809743358013547,0.9669876026301834,0.0
1999-04-01,1999,1998,20,0.28289926859239795,0.08003199617011372,0.24024225771427155,0.037209068630210895,-9.902282304668455,0.12335465332669646,0.65,0.0,0.05,1,100,3,0.7,0.7,0.012597369506167633,0.4580183067200456,0.0
1999-07-01,1999,1998,20,0.29320330125286476,0.08596817586557817,0.25243238180875777,-0.034203619435526855,-25.12085078545987,-0.06466165413533834,0.35,0.2672612419124244,0.05,1,100,1,0.7,0.7,-0.005084119330985626,0.557672210812145,0.0
1999-10-01,1999,1998,20,0.2798952495386055,0.07834135071427825,0.23866010725498202,0.05754766058011107,-2.2081883484788563,0.4055932886227068,0.7,0.5773502691896257,0.05,1,100,1,1.0,1.0,-0.005531672597555604,0.3307167595484113,0.0
2000-01-03,2000,1999,20,0.27570630654999645,0.07601396747144061,0.24022123664617542,0.0855462559826694,-5.433070568403579,0.485563992478342,0.55,0.31622776601683794,0.05,1,100,5,1.0,0.7,0.02405512460358039,0.718802629549632,0.0
2000-04-03,2000,1999,20,0.2934275385119973,0.08609972035720966,0.2546659052371979,-0.035786109560416834,-8.064429800191808,-0.2120300751879699,0.3,0.0,0.05,1,100,3,0.7,0.7,0.012362808935594827,0.8632229061887471,0.0
2000-07-03,2000,1999,20,0.2855846305317744,0.0815585811959701,0.2446722626686096,0.01884413598832979,-12.466673734810737,0.019548872180451125,0.6,0.5222329678670935,0.05,1,100,5,0.7,0.7,0.008084260392103526,0.5468018549784831,0.0
2000-10-02,2000,1999,20,0.2945447701364465,0.08675662161473208,0.25450856983661646,-0.04368868107948365,-8.874644497857263,-0.17976015398920714,0.35,0.0,0.05,1,100,5,1.0,1.0,-0.0067055137399156806,0.459127219867712,0.0
