rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.28578509898157106,0.08167312279990638,0.2483332753181457,0.017466191880825543,-59.94308420520197,0.1490670906671823,0.7,0.3933978962347216,0.2,3,10,0.5,100,1,1.0,1.0,0.04455744004332718,1.0000000167638063,0.0
1998-02-02,1998,1997,20,0.2871364511586961,0.08244734158401028,0.24617333829402926,0.008152281696116925,-55.71624316939147,0.07867919360337612,0.6,0.5163977794943222,0.2,5,1,0.5,100,1,1.0,1.0,-0.0007898038241249683,0.34826755667782555,0.0
1998-03-02,1998,1997,20,0.2959488157537009,0.087585701546018,0.2567651987075805,-0.05366257498969018,-28.14438098140657,-0.14402757363210988,0.8,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.0224164540521119,0.5445199389808547,0.0
1998-04-01,1998,1997,20,0.2883140669151647,0.08312500118116206,0.25,-1.4209468268688852e-08,-38.09815833997464,,0.45,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-1.0969003483296547e-13,0.5751596341124106,0.0
1998-05-01,1998,1997,20,0.28788427966117386,0.08287735847603298,0.25,0.002979146152987,-89.83845805995358,0.057807331301608,0.4,0.2700308624336608,0.2,1,1,0.5,100,1,1.0,1.0,0.022154726957891335,0.1850951496537817,0.0
1998-06-01,1998,1997,20,0.29113186915229966,0.08475776523611174,0.2519248783588409,-0.019642288554727605,-14.993939920328744,-0.18212952314801395,0.75,0.0,0.2,1,1,0.5,100,1,1.0,1.0,0.0069885770825338644,0.41027556943359955,0.0
1998-07-01,1998,1997,20,0.28923910468899433,0.08365925968129104,0.2514326214790344,-0.006427184135831876,-64.0608828370378,-0.151744244666721,0.55,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.0034110848693016393,0.494644291955732,0.0
1998-08-03,1998,1997,20,0.28831406691516465,0.08312500118116205,0.25000000000000006,-1.4209468268688852e-08,-17.145228362783993,,0.05,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-1.092459456231154e-13,0.31880437604451023,0.0
1998-09-01,1998,1997,20,0.2883187203645123,0.08312768451262983,0.25,-3.22948887798713e-05,-25.593518205704108,,0.55,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-1.0946799022804043e-13,0.07576329509668642,0.0
1998-10-01,1998,1997,20,0.28831406691516465,0.08312500118116205,0.25,-1.4209468268688852e-08,-6.254895326236073,,1.0,,0.2,1,1,0.5,100,1,1.0,1.0,-1.092459456231154e-13,0.0844506874356594,0.0
1998-11-02,1998,1997,20,0.28582511470788535,0.08169599619777582,0.24982537925243378,0.01719102318465182,-21.488675206890452,0.22017290099596437,0.65,0.6567895774291853,0.05,2,1,0.5,200,5,1.0,1.0,-0.044403137957627736,0.7462467316924901,0.0
1998-12-01,1998,1997,20,0.2807526465190668,0.07882204852746007,0.24091085791587835,0.05176482974484142,-42.758763137789416,0.580094069929849,0.7,0.0,0.2,1,1,0.5,100,5,1.0,1.0,-0.005374823936252104,0.8108581251099356,0.0
1999-01-04,1999,1998,20,0.28236392170674934,0.07972938428161527,0.24266866445541382,0.0408495124016206,-22.181479931771477,0.4176562376617707,0.65,0.5863019699779287,0.2,2,1,0.5,100,1,1.0,1.0,0.027079681596675842,0.7766734472187103,0.0
1999-02-01,1999,1998,20,0.2883140654649876,0.08312500034494917,0.25000000000000006,-4.149764532002109e-09,-59.4213856046838,,0.45,0.0,0.2,1,1,0.5,100,5,1.0,1.0,-1.092459456231154e-13,0.5673581580085462,0.0
1999-03-01,1999,1998,20,0.2891635059746949,0.08361553318757743,0.24969543814659123,-0.005901151128751003,-39.14056734486434,0.12048368497049522,0.8,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.029652962359188573,0.18161360602797402,0.0
