rebalance_date,n_stocks,best_learning_rate,best_max_depth,best_reg_lambda,best_n_estimators,best_gamma,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.01,5,5,100,0.0,0.3008632626457041,0.09051870280981796,0.25790436565876007,-0.08894680071961436,-0.03458646616541353,0.75,0.6236095644623235
1998-04-01,20,0.01,2,5,50,0.0,0.2868594361337525,0.08228833609897443,0.2485184907913208,0.01006512963639783,0.21742929638164799,0.75,0.0
1998-07-01,20,0.01,5,1,50,0.0,0.28681917023141845,0.08226523641223939,0.24701130539178848,0.010343020604638986,0.1789473684210526,0.4,0.2773500981126146
1998-10-01,20,0.01,3,5,50,0.0,0.28165653998051177,0.07933040651379361,0.2431511789560318,0.04564924494684386,0.3665790819920926,0.9,
1999-01-04,20,0.01,1,5,50,0.0,0.2823656012485507,0.07973033276845555,0.245762836933136,0.040838102033617485,0.6066160766557869,0.65,0.0
1999-04-01,20,0.01,1,5,50,0.0,0.28933658501989906,0.08371565943097728,0.24921365380287175,-0.007105677365140117,-0.16222969752275437,0.65,0.0
1999-07-01,20,0.01,2,5,50,0.0,0.294191321488566,0.08654853363918882,0.2538374543190002,-0.041185367087986036,-0.20497414852322093,0.3,0.0
1999-10-01,20,0.01,1,5,50,0.0,0.2863612004509685,0.08200273712371979,0.247211931347847,0.01350090678231819,0.17858189560949633,0.55,0.0
2000-01-03,20,0.01,1,5,50,0.0,0.28839775868426915,0.08317326721410993,0.25103293061256415,-0.0005806582148564221,-0.061665703576420615,0.5,0.0
2000-04-03,20,0.01,1,5,50,0.0,0.29321201599430635,0.08597328632344535,0.2560466647148132,-0.03426509862791405,-0.32346296941963704,0.3,0.0
2000-07-03,20,0.01,1,5,50,0.0,0.29091761577031866,0.08463305916548676,0.2508040738105774,-0.01814206514871275,-0.1502233535030976,0.45,0.0
2000-10-02,20,0.01,3,5,50,0.0,0.28462913513780635,0.08101374456929562,0.24706641733646392,0.025398561572383516,0.043625426176514596,0.55,0.529150262212918
2001-01-02,20,0.01,2,3,50,0.0,0.2892151162810053,0.08364538348543545,0.24997975975275044,-0.006260252456366189,0.06254725855671815,0.2,0.3333333333333333
2001-04-02,20,0.01,2,5,50,0.0,0.2838894648209538,0.08059322823632756,0.24360965043306354,0.03045740467575886,0.3344753260935012,0.65,0.0
2001-07-02,20,0.01,1,5,50,0.0,0.29300990202718685,0.08585480268598164,0.25293022096157075,-0.03283973156068165,-0.5242341352596458,0.4,0.0
2001-10-01,20,0.01,1,5,100,0.0,0.275856945623704,0.07609705444883919,0.2402789726853371,0.08454671339742337,0.5184261907609994,0.65,0.511766315719159
2002-01-02,20,0.01,3,5,50,0.0,0.3007871151526921,0.09047288864187884,0.2626288518309593,-0.0883956528346328,-0.6586466165413534,0.3,0.0
2002-04-01,20,0.01,1,1,100,0.0,0.30492514039429436,0.09297934124448011,0.2629514873027802,-0.11854846609900882,-0.7357707776722455,0.25,0.28005601680560194
2002-07-01,20,0.01,1,5,100,0.0,0.29252173466783066,0.08556896525307671,0.25436195135116574,-0.029401085751298517,-0.11001700384127923,0.05,0.0
2002-10-01,20,0.01,2,5,50,0.0,0.2873456816998263,0.08256754079153791,0.24499585330486298,0.00670627619202524,0.05591302792539868,0.55,0.0
2003-01-02,20,0.01,1,5,50,0.0,0.2837591554005231,0.08051925827361821,0.2461941659450531,0.03134726888880346,0.3039913703566064,0.2,0.0
2003-04-01,20,0.01,1,5,50,0.0,0.2860389485720306,0.08181828010019278,0.24743371903896336,0.01571993864429755,0.20519746658975782,0.95,0.0
2003-07-01,20,0.01,2,5,50,0.0,0.28120506341534846,0.07907628769043015,0.2449669241905213,0.048706313498584786,0.3571975970588483,0.65,0.3535533905932738
2003-10-01,20,0.01,1,5,50,0.0,0.28572013182569544,0.08163599373049278,0.2457813739776611,0.017912857377530456,0.17009708866359335,0.85,0.0
