rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
1998-07-01,1998,1997,MSFT,0.04344768449664116,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,PG,0.0369885116815567,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,GE,0.0369885116815567,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,IBM,0.0369885116815567,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,AIG,0.0369885116815567,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,WMT,0.0369885116815567,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,BMY,0.0369885116815567,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,PEP,0.009999957866966724,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,JNJ,0.009999957866966724,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,KO,0.009999957866966724,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,XOM,0.009999957866966724,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1998-07-01,1998,1997,MRK,0.009999957866966724,0.0,0.0,0.05,1,100,5,1.0,1.0,-0.025279
1999-01-04,1999,1998,C,0.10000666975975037,0.868623,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,BAC,0.10000666975975037,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,INTC,0.10000666975975037,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,CSCO,0.10000666975975037,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,HD,0.10000666975975037,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,VZ,0.08465369790792465,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,KO,0.08465369790792465,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,MRK,0.05779135972261429,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,XOM,0.05779135972261429,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,AIG,0.05142372474074364,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,WMT,0.02430347539484501,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,GE,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,MSFT,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,BMY,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,PFE,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,IBM,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,PG,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,JNJ,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,LLY,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-01-04,1999,1998,T,0.01548325177282095,0.0,0.0,0.05,1,100,5,1.0,0.7,-0.028869
1999-07-01,1999,1998,C,0.10000205785036087,0.559558,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,INTC,0.10000205785036087,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,BAC,0.09462711215019226,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,LLY,0.07793321460485458,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,HD,0.07238335907459259,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,XOM,0.0680818259716034,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,AIG,0.06426988542079926,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,CSCO,0.059849243611097336,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,JNJ,0.053957466036081314,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,IBM,0.04487171769142151,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,MSFT,0.0427364856004715,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,WMT,0.0427364856004715,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,BMY,0.0417950376868248,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,PG,0.034396056085824966,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,GE,0.02593584544956684,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,T,0.021238861605525017,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,MRK,0.0191182903945446,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,VZ,0.015743089839816093,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,KO,0.010160934180021286,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
1999-07-01,1999,1998,PFE,0.010160934180021286,0.0,0.0,0.05,2,100,3,1.0,1.0,0.02019
2000-01-03,2000,1999,ORCL,0.09958741813898087,0.679123,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,INTC,0.09958741813898087,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,IBM,0.097976453602314,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,CSCO,0.08138420432806015,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,WMT,0.07604581862688065,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,GE,0.05905499681830406,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,MSFT,0.0555279515683651,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,PFE,0.05497231334447861,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,VZ,0.049675408750772476,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,JNJ,0.04771331697702408,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,C,0.04521993175148964,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,AIG,0.03930002450942993,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,XOM,0.037935685366392136,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,BMY,0.03336009010672569,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,T,0.027586432173848152,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,HD,0.027015110477805138,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,PG,0.026013780385255814,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,MRK,0.017699984833598137,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,QCOM,0.014344001188874245,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-01-03,2000,1999,KO,0.009999590925872326,0.0,0.0,0.05,2,100,3,0.7,0.7,0.076013
2000-07-03,2000,1999,PG,0.09927998483181,0.711806,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,ORCL,0.0902654156088829,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,INTC,0.08662845939397812,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,QCOM,0.08171787112951279,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
2000-07-03,2000,1999,CSCO,0.07091128081083298,0.0,0.0,0.05,1,100,5,0.7,0.7,0.057231
