rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected
1998-01-02,1998,1997,INTC,0.10000503063201904,1.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,CSCO,0.10000503063201904,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,MSFT,0.09151741862297058,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,LLY,0.08173086494207382,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,T,0.06968866288661957,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,C,0.0664835199713707,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,AIG,0.06603363901376724,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,DIS,0.061640333384275436,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,IBM,0.05859823897480965,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,XOM,0.05852622166275978,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,PEP,0.051043570041656494,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,BMY,0.042327236384153366,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,PFE,0.03129955753684044,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,GE,0.025350263342261314,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,MRK,0.024245262145996094,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,PG,0.024017537012696266,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,JNJ,0.01631181314587593,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,VZ,0.01039195992052555,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,KO,0.01039195992052555,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-01-02,1998,1997,WMT,0.01039195992052555,0.0,0.0,0.01,2,3,0.001,300,1.0,1.0,0.057458
1998-04-01,1998,1997,INTC,0.10000275075435638,0.403987,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,IBM,0.10000275075435638,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,C,0.08670486509799957,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,BMY,0.08670486509799957,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,CSCO,0.07322902232408524,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,AIG,0.06933978945016861,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,DIS,0.06780000776052475,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,PEP,0.06463649868965149,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,LLY,0.06354838609695435,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
1998-04-01,1998,1997,T,0.06092663109302521,0.0,0.0,0.005,5,5,0.01,100,1.0,1.0,-0.099726
