rebalance_date,n_stocks,best_learning_rate,best_max_depth,best_reg_lambda,best_n_estimators,best_gamma,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.01,2,1,200,0.0,0.2844242345394659,0.08089714519336111,0.24504400342702864,0.026801260831746276,0.14516736641495376,0.55,0.0
1998-07-01,20,0.01,2,1,50,0.0,0.2775118301085579,0.0770128158502011,0.24124615490436555,0.07353003488479881,0.47872651116124487,0.65,0.3779644730092272
1999-01-04,20,0.01,1,5,50,0.0,0.28194522348107104,0.07949310904379109,0.24508848488330842,0.04369192127770127,0.43595826836901613,0.7,0.0
1999-07-01,20,0.01,1,5,50,0.0,0.2829695872528082,0.08007178731002462,0.2409333348274231,0.03673037822526759,0.27906921596247375,0.5,0.0
2000-01-03,20,0.01,1,3,50,0.0,0.286637308517461,0.08216094663413413,0.24929257035255437,0.011597634476581908,0.1921321251067661,0.55,0.0
2000-07-03,20,0.01,3,5,50,0.0,0.28866770194473296,0.08332904214605318,0.2550632581114769,-0.0024546423585345423,0.033872810451014715,0.4,0.264575131106459
2001-01-02,20,0.01,2,5,50,0.0,0.2908621452408519,0.08460078753411042,0.24997607171535488,-0.017753834996817153,-0.1838738685281835,0.3,0.0
2001-07-02,20,0.01,1,1,50,0.0,0.2906963731973079,0.08450438139006852,0.25366435945034027,-0.01659406183541079,-0.10627748551072741,0.45,0.0
2002-01-02,20,0.05,1,5,50,0.0,0.3185954799781769,0.10150307986252491,0.2824503019452095,-0.2210896825566906,-0.5270406112821926,0.45,0.43204937989385733
2002-07-01,20,0.01,1,1,200,0.0,0.28905900497986176,0.08355510835994776,0.2527683228254317,-0.005174235909145564,0.025174268653329994,0.45,0.4879500364742666
2003-01-02,20,0.01,1,3,50,0.0,0.28476860093420403,0.08109315607802395,0.2475244402885437,0.024443235151591858,0.08239087398543114,0.85,0.0
2003-07-01,20,0.01,1,5,50,0.0,0.2830009367165873,0.08008953018246587,0.24598444104194642,0.03651693013574886,0.5267789279649905,0.8,0.0
2004-01-02,20,0.01,5,5,50,0.0,0.29829039722384704,0.08897716107596046,0.25686213791370394,-0.07040193775591508,-0.35488721804511275,0.6,0.36187343222787294
2004-07-01,20,0.01,1,5,50,0.0,0.2915264529089252,0.08498767274565978,0.25190452933311464,-0.02240809318086967,-0.29775550096067205,0.7,0.0
