rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
1998-01-02,1998,1997,MSFT,0.0953267365694046,1.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,C,0.0953267365694046,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,LLY,0.0953267365694046,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,PFE,0.0953267365694046,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,INTC,0.08062054216861725,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,GE,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,KO,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,XOM,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,WMT,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,BMY,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,PG,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,MRK,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,AIG,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,JNJ,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,DIS,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,VZ,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,T,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,PEP,0.0398523285984993,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,IBM,0.009996128268539906,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-01-02,1998,1997,CSCO,0.009996128268539906,0.0,0.0,0.2,3,10,0.5,100,1,1.0,1.0,0.044557
1998-02-02,1998,1997,XOM,0.09832530468702316,0.348268,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,INTC,0.09832530468702316,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,PFE,0.06601575762033463,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,MSFT,0.06601575762033463,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,C,0.06601575762033463,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,PEP,0.06601575762033463,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,BMY,0.06601575762033463,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,LLY,0.06601575762033463,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,AIG,0.044589895755052567,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,KO,0.044589895755052567,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,WMT,0.044589895755052567,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,PG,0.044589895755052567,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,VZ,0.044589895755052567,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,GE,0.029051056131720543,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,MRK,0.029051056131720543,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,JNJ,0.029051056131720543,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,CSCO,0.029051056131720543,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,DIS,0.029051056131720543,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,T,0.029051056131720543,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-02-02,1998,1997,IBM,0.009999015368521214,0.0,0.0,0.2,5,1,0.5,100,1,1.0,1.0,-0.00079
1998-03-02,1998,1997,LLY,0.10000753402709961,0.54452,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,PEP,0.10000753402709961,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,CSCO,0.10000753402709961,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,IBM,0.10000753402709961,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,C,0.10000753402709961,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,INTC,0.10000753402709961,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,MRK,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,PFE,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,GE,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,XOM,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,MSFT,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,KO,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,JNJ,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,WMT,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,BMY,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,PG,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,AIG,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,DIS,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,VZ,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-03-02,1998,1997,T,0.028568197041749954,0.0,0.0,0.05,2,5,0.5,300,5,1.0,1.0,-0.022416
1998-04-01,1998,1997,KO,0.05000000074505806,0.57516,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
1998-04-01,1998,1997,MSFT,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
1998-04-01,1998,1997,XOM,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
1998-04-01,1998,1997,GE,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
1998-04-01,1998,1997,INTC,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
