rebalance_date,ticker,assigned_weight,updated_mktcap_bn,turnover_at_rebalance
1998-01-02,KO,0.08651200403285093,164.75,1.0
1998-01-02,MSFT,0.08263143523283414,157.36,0.0
1998-01-02,XOM,0.07894515742821737,150.34,0.0
1998-01-02,GE,0.07529563737948707,143.39,0.0
1998-01-02,INTC,0.06005692201054423,114.37,0.0
1998-01-02,MRK,0.059757608855468505,113.8,0.0
1998-01-02,PG,0.05578252011174358,106.23,0.0
1998-01-02,IBM,0.050274107836753554,95.74,0.0
1998-01-02,PFE,0.04801613140372619,91.44,0.0
1998-01-02,BMY,0.04696065869898549,89.43,0.0
1998-01-02,WMT,0.04652481673633137,88.6,0.0
1998-01-02,JNJ,0.04652481673633137,88.6,0.0
1998-01-02,LLY,0.040617320254573715,77.35,0.0
1998-01-02,VZ,0.03710432901342183,70.66,0.0
1998-01-02,DIS,0.03519292570732425,67.02,0.0
1998-01-02,AIG,0.033134491377680694,63.1,0.0
1998-01-02,C,0.03239408515196707,61.69,0.0
1998-01-02,CSCO,0.029427209141128778,56.04,0.0
1998-01-02,PEP,0.028592282971707034,54.45,0.0
1998-01-02,T,0.026255539918922894,50.0,0.0
1999-01-04,MSFT,0.12014233057691512,348.11,0.17126242373554812
1999-01-04,GE,0.06896337507075113,199.82,0.0
1999-01-04,INTC,0.06782445435343816,196.52,0.0
1999-01-04,WMT,0.06248878335657192,181.06,0.0
1999-01-04,XOM,0.06127738586633903,177.55,0.0
1999-01-04,KO,0.05701161008876679,165.19,0.0
1999-01-04,IBM,0.055675966702099754,161.32,0.0
1999-01-04,MRK,0.054033159849248315,156.56,0.0
1999-01-04,PFE,0.05290459295663818,153.29,0.0
1999-01-04,CSCO,0.05038516227894584,145.99,0.0
1999-01-04,BMY,0.043713847895412564,126.66,0.0
1999-01-04,PG,0.04146016538509325,120.13,0.0
1999-01-04,C,0.041166807018512636,119.28,0.0
1999-01-04,JNJ,0.03890622195839143,112.73,0.0
1999-01-04,BAC,0.03578626944793407,103.69,0.0
1999-01-04,LLY,0.033618868810138466,97.41,0.0
1999-01-04,VZ,0.02937034940707097,85.1,0.0
1999-01-04,HD,0.029070088490688463,84.23,0.0
1999-01-04,AIG,0.029035575741678976,84.13,0.0
1999-01-04,T,0.027164984745364936,78.71,0.0
2000-01-03,MSFT,0.14733618000873025,604.18,0.19616362748474375
2000-01-03,CSCO,0.08660005998990415,355.12,0.0
2000-01-03,WMT,0.0750702930482431,307.84,0.0
2000-01-03,GE,0.07440942865712843,305.13,0.0
2000-01-03,XOM,0.06831045506975657,280.12,0.0
2000-01-03,INTC,0.0669228837098147,274.43,0.0
2000-01-03,C,0.049055159009825176,201.16,0.0
2000-01-03,IBM,0.044826602352287054,183.82,0.0
2000-01-03,HD,0.038610575293426236,158.33,0.0
2000-01-03,ORCL,0.03855204855768176,158.09,0.0
2000-01-03,KO,0.035108725604715306,143.97,0.0
2000-01-03,PG,0.0348599869778013,142.95,0.0
2000-01-03,MRK,0.03432593051413299,140.76,0.0
2000-01-03,AIG,0.03387966415408139,138.93,0.0
2000-01-03,JNJ,0.03159712146004697,129.57,0.0
2000-01-03,QCOM,0.030409516447232054,124.7,0.0
2000-01-03,BMY,0.029512106499150145,121.02,0.0
2000-01-03,PFE,0.028839049038088715,118.26,0.0
2000-01-03,T,0.028458625255749645,116.7,0.0
2000-01-03,VZ,0.023315588352204143,95.61,0.0
2001-01-02,XOM,0.08104896999149817,302.2,0.13966248635916645
2001-01-02,GE,0.0762348435475955,284.25,0.0
2001-01-02,CSCO,0.0738318032725332,275.29,0.0
